job ID,institution,Job Catagory,Job Number,List ID,CountMethod,URL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,BNY MELLON,Asset Management,61,1,wordcount,https://jobs.bnymellon.com/jobs?page=1&categories=Asset+Management,"('investment', 290)","('management', 241)","('service', 184)","('financial', 158)","('data', 143)","('asset', 135)","('business', 134)","('market', 128)","('product', 98)","('global', 96)","('solutions', 78)","('process', 74)","('time', 67)","('wealth', 67)","('individual', 65)","('services', 57)","('assets', 56)","('markets', 53)","('investor', 49)","('provide', 46)","('ability', 45)","('investors', 44)","('high', 44)","('risk', 35)","('products', 33)","('system', 33)","('role', 33)","('based', 32)","('trade', 31)","('processes', 30)","('firms', 30)","('intermediaries', 27)","('systems', 26)","('opportunities', 26)","('scale', 26)","('institutions', 23)","('key', 23)","('industry', 22)","('trading', 22)","('current', 19)","('regulatory', 16)","('real', 16)","('platform', 12)","('equity', 12)","('models', 12)","('economic', 11)","('future', 9)","('technology', 9)","('credit', 9)","('customer', 7)","('bank', 7)","('potential', 7)","('findings', 6)","('state', 6)","('transaction', 6)","('platforms', 5)","('capital', 5)","('access', 5)","('lending', 5)","('risks', 5)","('insurance', 4)","('banks', 4)","('transactions', 4)","('regulators', 4)","('user', 4)","('entities', 3)","('alternative', 2)","('providers', 2)","('users', 2)","('cost', 2)","('infrastructure', 2)","('automated', 2)","('banking', 2)","('case', 2)","('customers', 1)","('digital', 1)","('insurers', 1)","('smart', 1)","('funding', 1)","('online', 1)","('identity', 0)","('traditional', 0)","('payment', 0)","('payments', 0)","('forum', 0)","('uncertainties', 0)","('implications', 0)","('dlt', 0)","('scenario', 0)","('states', 0)","('introduction', 0)","('incumbents', 0)","('conclusion', 0)","('fis', 0)","('transfer', 0)","('ecosystem', 0)","('attributes', 0)","('mobile', 0)","('crowdfunding', 0)","('distributed', 0)"
1,BNY MELLON,Asset Management,61,2,TF/IDF,https://jobs.bnymellon.com/jobs?page=1&categories=Asset+Management,"('team', 197)","('experience', 149)","('report', 84)","('time', 67)","('wealth', 67)","('create', 54)","('lead', 53)","('provide', 46)","('high', 44)","('focus', 36)","('system', 33)","('role', 33)","('trade', 31)","('processes', 30)","('opportunities', 26)","('supporting', 26)","('change', 25)","('model', 22)","('trading', 22)","('quantitative', 21)","('early', 19)","('strategy', 18)","('low', 17)","('partners', 16)","('matter', 13)","('models', 12)","('share', 11)","('frastructure', 11)","('offer', 11)","('core', 10)","('incumbent', 9)","('power', 8)","('technologies', 8)","('regulation', 8)","('approach', 8)","('impact', 7)","('officer', 7)","('channels', 7)","('potential', 7)","('growth', 7)","('futures', 6)","('executive', 6)","('open', 6)","('gain', 5)","('major', 5)","('subject', 5)","('pressure', 5)","('lend', 5)","('access', 5)","('demand', 4)","('user', 4)","('card', 4)","('innovation', 4)","('transactions', 4)","('offering', 3)","('context', 3)","('advice', 3)","('retail', 3)","('emerging', 3)","('case', 2)","('alternative', 2)","('users', 2)","('increasing', 2)","('critical', 2)","('circa', 1)","('flows', 1)","('usage', 1)","('signs', 1)","('offerings', 1)","('funding', 1)","('chief', 1)","('authentication', 0)","('manufacturers', 0)","('connected', 0)","('lower', 0)","('increasingly', 0)","('forces', 0)","('forbes', 0)","('increased', 0)","('challenger', 0)","('externalization', 0)","('paths', 0)","('merchants', 0)","('adoption', 0)","('venture', 0)","('entrants', 0)","('studies', 0)","('ecosystems', 0)","('experts', 0)","('chain', 0)","('crowdfund', 0)","('ecosystem', 0)","('fintech', 0)","('techs', 0)","('continued', 0)","('distributors', 0)","('insurtechs', 0)","('director', 0)","('underwriting', 0)","('competition', 0)"
1,BNY MELLON,Asset Management,61,3,TextRank,https://jobs.bnymellon.com/jobs?page=1&categories=Asset+Management,"('manage', 402)","('invest', 341)","('data', 143)","('require', 127)","('product', 98)","('base', 75)","('process', 74)","('manager', 65)","('providing', 62)","('requirements', 61)","('requirement', 61)","('required', 60)","('services', 57)","('managers', 51)","('investor', 49)","('provide', 46)","('institution', 41)","('inform', 40)","('marketing', 38)","('information', 36)","('risk', 35)","('products', 33)","('based', 32)","('investments', 25)","('managed', 24)","('regulator', 20)","('production', 16)","('regulatory', 16)","('platform', 12)","('provides', 11)","('servicing', 10)","('technology', 9)","('investment solution', 9)","('managing', 8)","('regulation', 8)","('transact', 6)","('bases', 6)","('risks', 5)","('banks', 4)","('insurance', 4)","('increase', 4)","('transactions', 4)","('regulators', 4)","('informed', 4)","('processing', 3)","('requires', 3)","('customized', 2)","('increasing', 2)","('institute', 2)","('insurers', 1)","('insure', 1)","('insurer', 1)","('digital', 1)","('digit', 1)","('institutional investors', 1)","('investing', 1)","('capitalize', 1)","('banked', 0)","('customization', 0)","('customs', 0)","('insuring', 0)","('insured', 0)","('payments', 0)","('financially', 0)","('financials', 0)","('risking', 0)","('customer adoption', 0)","('retail banking', 0)","('increased', 0)","('increases', 0)","('deutsche bank', 0)","('manageable', 0)","('manages', 0)","('productivity', 0)","('global financial institutions provided', 0)","('digitization', 0)","('incumbent service providers', 0)","('processed', 0)","('accounts shifting customers', 0)","('transacting', 0)","('lowering market', 0)","('regulated', 0)","('regulate', 0)","('regulates', 0)","('regulating', 0)","('ceo', 0)","('invested', 0)","('investable', 0)","('invests', 0)","('technologically', 0)","('identities', 0)","('worlds', 0)","('standardize processes', 0)","('keys', 0)","('provider especially', 0)","('requiring', 0)","('identity solutions', 0)","('capitals', 0)","('capitalization', 0)","('traditional', 0)"
2,BNY MELLON,Asset Servicing,302,1,wordcount,https://jobs.bnymellon.com/jobs?page=1&categories=Asset%20Servicing,"('service', 1096)","('process', 720)","('data', 711)","('financial', 688)","('services', 566)","('investment', 524)","('business', 516)","('asset', 457)","('management', 409)","('market', 404)","('time', 321)","('provide', 315)","('assets', 308)","('product', 305)","('solutions', 281)","('system', 268)","('markets', 264)","('processes', 258)","('industry', 234)","('investor', 212)","('investors', 211)","('risk', 196)","('high', 190)","('trade', 189)","('transaction', 169)","('individual', 163)","('transactions', 143)","('systems', 132)","('role', 126)","('ability', 124)","('institutions', 116)","('global', 114)","('products', 109)","('state', 109)","('regulatory', 105)","('technology', 100)","('key', 83)","('opportunities', 78)","('trading', 74)","('findings', 53)","('risks', 51)","('payment', 47)","('based', 47)","('future', 46)","('firms', 36)","('payments', 35)","('customer', 32)","('potential', 31)","('transfer', 31)","('scale', 30)","('user', 29)","('current', 28)","('access', 27)","('platform', 27)","('models', 27)","('capital', 21)","('case', 19)","('scenario', 17)","('cost', 17)","('infrastructure', 17)","('entities', 17)","('platforms', 16)","('economic', 16)","('bank', 14)","('online', 13)","('equity', 11)","('smart', 11)","('insurance', 10)","('customers', 9)","('digital', 9)","('states', 9)","('alternative', 8)","('regulators', 7)","('credit', 7)","('distributed', 7)","('users', 6)","('real', 6)","('implications', 4)","('wealth', 4)","('conclusion', 3)","('banking', 3)","('forum', 2)","('banks', 1)","('introduction', 1)","('identity', 0)","('traditional', 0)","('uncertainties', 0)","('providers', 0)","('lending', 0)","('insurers', 0)","('dlt', 0)","('intermediaries', 0)","('incumbents', 0)","('fis', 0)","('funding', 0)","('automated', 0)","('ecosystem', 0)","('attributes', 0)","('mobile', 0)","('crowdfunding', 0)"
2,BNY MELLON,Asset Servicing,302,2,TF/IDF,https://jobs.bnymellon.com/jobs?page=1&categories=Asset%20Servicing,"('team', 1182)","('experience', 949)","('report', 827)","('time', 321)","('provide', 315)","('system', 268)","('processes', 258)","('lead', 216)","('supporting', 204)","('high', 190)","('trade', 189)","('low', 188)","('focus', 163)","('transactions', 143)","('role', 126)","('create', 124)","('early', 112)","('change', 108)","('growth', 92)","('share', 85)","('matter', 84)","('opportunities', 78)","('offer', 75)","('trading', 74)","('gain', 61)","('regulation', 52)","('model', 45)","('offering', 42)","('impact', 42)","('approach', 39)","('strategy', 37)","('offerings', 36)","('quantitative', 32)","('potential', 31)","('technologies', 30)","('user', 29)","('open', 28)","('partners', 27)","('models', 27)","('access', 27)","('adoption', 23)","('signs', 23)","('card', 23)","('case', 19)","('flows', 18)","('frastructure', 17)","('critical', 16)","('power', 14)","('pressure', 14)","('incumbent', 14)","('subject', 13)","('emerging', 13)","('core', 11)","('major', 10)","('advice', 8)","('alternative', 8)","('increased', 6)","('futures', 6)","('users', 6)","('continued', 6)","('demand', 5)","('retail', 4)","('wealth', 4)","('fintech', 4)","('lower', 3)","('executive', 3)","('innovation', 3)","('forces', 2)","('experts', 2)","('channels', 2)","('usage', 1)","('studies', 1)","('increasing', 1)","('authentication', 0)","('manufacturers', 0)","('connected', 0)","('circa', 0)","('increasingly', 0)","('forbes', 0)","('challenger', 0)","('externalization', 0)","('paths', 0)","('merchants', 0)","('context', 0)","('venture', 0)","('entrants', 0)","('ecosystems', 0)","('officer', 0)","('chain', 0)","('crowdfund', 0)","('lend', 0)","('ecosystem', 0)","('techs', 0)","('funding', 0)","('distributors', 0)","('insurtechs', 0)","('chief', 0)","('director', 0)","('underwriting', 0)","('competition', 0)"
2,BNY MELLON,Asset Servicing,302,3,TextRank,https://jobs.bnymellon.com/jobs?page=1&categories=Asset%20Servicing,"('manage', 800)","('invest', 799)","('process', 720)","('data', 711)","('require', 621)","('services', 566)","('required', 405)","('inform', 337)","('provide', 315)","('product', 305)","('information', 297)","('investments', 221)","('investor', 212)","('providing', 202)","('risk', 196)","('transact', 169)","('requirement', 166)","('processing', 161)","('requirements', 159)","('transactions', 143)","('provides', 137)","('institution', 131)","('base', 120)","('regulator', 113)","('products', 109)","('regulatory', 105)","('technology', 100)","('manager', 84)","('servicing', 65)","('manages', 65)","('managers', 64)","('production', 56)","('managing', 54)","('regulation', 52)","('risks', 51)","('investing', 47)","('based', 47)","('payments', 35)","('productivity', 32)","('informed', 29)","('platform', 27)","('processed', 19)","('bases', 17)","('requires', 15)","('managed', 13)","('insurance', 10)","('increase', 10)","('digital', 9)","('digit', 9)","('marketing', 8)","('requiring', 8)","('regulators', 7)","('increased', 6)","('customized', 3)","('regulated', 2)","('regulate', 2)","('invested', 2)","('banks', 1)","('customization', 1)","('financials', 1)","('increasing', 1)","('institutional investors', 1)","('investment solution', 1)","('capitalization', 1)","('banked', 0)","('customs', 0)","('insurers', 0)","('insure', 0)","('insurer', 0)","('insuring', 0)","('insured', 0)","('financially', 0)","('risking', 0)","('customer adoption', 0)","('retail banking', 0)","('increases', 0)","('deutsche bank', 0)","('manageable', 0)","('global financial institutions provided', 0)","('digitization', 0)","('incumbent service providers', 0)","('institute', 0)","('accounts shifting customers', 0)","('transacting', 0)","('lowering market', 0)","('regulates', 0)","('regulating', 0)","('ceo', 0)","('investable', 0)","('invests', 0)","('technologically', 0)","('identities', 0)","('worlds', 0)","('standardize processes', 0)","('keys', 0)","('provider especially', 0)","('identity solutions', 0)","('capitalize', 0)","('capitals', 0)","('traditional', 0)"
3,BNY MELLON,Audit,12,1,wordcount,https://jobs.bnymellon.com/jobs?page=1&categories=Audit,"('process', 86)","('business', 80)","('processes', 78)","('risk', 54)","('regulatory', 40)","('financial', 38)","('management', 32)","('role', 31)","('risks', 25)","('technology', 21)","('solutions', 17)","('data', 12)","('opportunities', 11)","('individual', 11)","('ability', 11)","('based', 10)","('potential', 10)","('institutions', 9)","('services', 9)","('system', 9)","('service', 9)","('industry', 9)","('findings', 8)","('models', 7)","('case', 7)","('time', 5)","('conclusion', 3)","('systems', 2)","('product', 2)","('identity', 1)","('key', 1)","('products', 1)","('access', 1)","('lending', 1)","('provide', 1)","('trading', 1)","('customers', 0)","('market', 0)","('platforms', 0)","('customer', 0)","('digital', 0)","('traditional', 0)","('bank', 0)","('insurance', 0)","('alternative', 0)","('investors', 0)","('payment', 0)","('investment', 0)","('banks', 0)","('economic', 0)","('payments', 0)","('forum', 0)","('capital', 0)","('uncertainties', 0)","('implications', 0)","('future', 0)","('providers', 0)","('insurers', 0)","('transactions', 0)","('dlt', 0)","('state', 0)","('scenario', 0)","('intermediaries', 0)","('regulators', 0)","('user', 0)","('states', 0)","('users', 0)","('introduction', 0)","('incumbents', 0)","('asset', 0)","('high', 0)","('platform', 0)","('global', 0)","('equity', 0)","('fis', 0)","('smart', 0)","('credit', 0)","('cost', 0)","('trade', 0)","('infrastructure', 0)","('transfer', 0)","('real', 0)","('transaction', 0)","('funding', 0)","('automated', 0)","('markets', 0)","('banking', 0)","('online', 0)","('ecosystem', 0)","('attributes', 0)","('firms', 0)","('scale', 0)","('mobile', 0)","('entities', 0)","('current', 0)","('wealth', 0)","('investor', 0)","('crowdfunding', 0)","('assets', 0)","('distributed', 0)"
3,BNY MELLON,Audit,12,2,TF/IDF,https://jobs.bnymellon.com/jobs?page=1&categories=Audit,"('processes', 78)","('experience', 68)","('lead', 46)","('team', 43)","('regulation', 34)","('role', 31)","('model', 28)","('core', 19)","('critical', 18)","('low', 16)","('report', 12)","('focus', 12)","('opportunities', 11)","('potential', 10)","('advice', 9)","('system', 9)","('incumbent', 8)","('gain', 7)","('case', 7)","('early', 7)","('models', 7)","('time', 5)","('approach', 4)","('frastructure', 3)","('impact', 2)","('quantitative', 2)","('partners', 1)","('change', 1)","('technologies', 1)","('trading', 1)","('lend', 1)","('provide', 1)","('emerging', 1)","('access', 1)","('authentication', 0)","('manufacturers', 0)","('power', 0)","('connected', 0)","('demand', 0)","('create', 0)","('lower', 0)","('circa', 0)","('flows', 0)","('increasingly', 0)","('major', 0)","('share', 0)","('forces', 0)","('offering', 0)","('forbes', 0)","('usage', 0)","('increased', 0)","('subject', 0)","('challenger', 0)","('externalization', 0)","('paths', 0)","('merchants', 0)","('user', 0)","('adoption', 0)","('context', 0)","('pressure', 0)","('signs', 0)","('futures', 0)","('supporting', 0)","('trade', 0)","('venture', 0)","('alternative', 0)","('executive', 0)","('high', 0)","('matter', 0)","('entrants', 0)","('studies', 0)","('ecosystems', 0)","('officer', 0)","('retail', 0)","('open', 0)","('card', 0)","('experts', 0)","('users', 0)","('chain', 0)","('channels', 0)","('wealth', 0)","('crowdfund', 0)","('offerings', 0)","('ecosystem', 0)","('fintech', 0)","('strategy', 0)","('techs', 0)","('offer', 0)","('increasing', 0)","('continued', 0)","('funding', 0)","('distributors', 0)","('insurtechs', 0)","('chief', 0)","('director', 0)","('underwriting', 0)","('innovation', 0)","('transactions', 0)","('growth', 0)","('competition', 0)"
3,BNY MELLON,Audit,12,3,TextRank,https://jobs.bnymellon.com/jobs?page=1&categories=Audit,"('process', 86)","('require', 71)","('risk', 54)","('manage', 50)","('requirements', 44)","('requirement', 44)","('regulator', 40)","('regulatory', 40)","('regulation', 34)","('risks', 25)","('technology', 21)","('required', 20)","('data', 12)","('base', 11)","('information', 11)","('inform', 11)","('manager', 10)","('based', 10)","('services', 9)","('institution', 9)","('manages', 7)","('requires', 7)","('managing', 4)","('product', 2)","('provide', 1)","('providing', 1)","('managers', 1)","('products', 1)","('invest', 1)","('banks', 0)","('banked', 0)","('customized', 0)","('customization', 0)","('customs', 0)","('marketing', 0)","('provides', 0)","('insurance', 0)","('insurers', 0)","('insure', 0)","('insurer', 0)","('insuring', 0)","('insured', 0)","('payments', 0)","('financially', 0)","('financials', 0)","('risking', 0)","('platform', 0)","('customer adoption', 0)","('retail banking', 0)","('increasing', 0)","('increase', 0)","('increased', 0)","('increases', 0)","('servicing', 0)","('deutsche bank', 0)","('managed', 0)","('manageable', 0)","('production', 0)","('productivity', 0)","('global financial institutions provided', 0)","('digital', 0)","('digit', 0)","('digitization', 0)","('incumbent service providers', 0)","('processing', 0)","('processed', 0)","('institute', 0)","('accounts shifting customers', 0)","('transactions', 0)","('transacting', 0)","('transact', 0)","('institutional investors', 0)","('lowering market', 0)","('regulators', 0)","('regulated', 0)","('regulate', 0)","('regulates', 0)","('regulating', 0)","('investor', 0)","('ceo', 0)","('investing', 0)","('invested', 0)","('investments', 0)","('investable', 0)","('invests', 0)","('bases', 0)","('technologically', 0)","('identities', 0)","('worlds', 0)","('informed', 0)","('investment solution', 0)","('standardize processes', 0)","('keys', 0)","('provider especially', 0)","('requiring', 0)","('identity solutions', 0)","('capitalize', 0)","('capitals', 0)","('capitalization', 0)","('traditional', 0)"
4,BNY MELLON,Communications,5,1,wordcount,https://jobs.bnymellon.com/jobs?page=1&categories=Communications%2FCorp+Affairs,"('business', 15)","('management', 10)","('service', 10)","('financial', 9)","('key', 8)","('services', 7)","('time', 7)","('global', 7)","('ability', 7)","('market', 6)","('technology', 6)","('individual', 5)","('provide', 4)","('industry', 4)","('digital', 3)","('based', 3)","('process', 3)","('opportunities', 3)","('scale', 3)","('risk', 2)","('investors', 2)","('investment', 2)","('findings', 2)","('potential', 2)","('asset', 2)","('platform', 2)","('trade', 2)","('product', 2)","('markets', 2)","('investor', 2)","('assets', 2)","('institutions', 1)","('platforms', 1)","('traditional', 1)","('future', 1)","('state', 1)","('risks', 1)","('solutions', 1)","('customers', 0)","('identity', 0)","('data', 0)","('customer', 0)","('bank', 0)","('insurance', 0)","('products', 0)","('alternative', 0)","('payment', 0)","('banks', 0)","('economic', 0)","('payments', 0)","('forum', 0)","('capital', 0)","('uncertainties', 0)","('implications', 0)","('access', 0)","('systems', 0)","('providers', 0)","('lending', 0)","('insurers', 0)","('transactions', 0)","('processes', 0)","('system', 0)","('dlt', 0)","('regulatory', 0)","('scenario', 0)","('intermediaries', 0)","('regulators', 0)","('user', 0)","('states', 0)","('users', 0)","('introduction', 0)","('incumbents', 0)","('high', 0)","('conclusion', 0)","('equity', 0)","('fis', 0)","('smart', 0)","('credit', 0)","('cost', 0)","('infrastructure', 0)","('models', 0)","('trading', 0)","('transfer', 0)","('real', 0)","('transaction', 0)","('funding', 0)","('automated', 0)","('banking', 0)","('online', 0)","('case', 0)","('ecosystem', 0)","('attributes', 0)","('firms', 0)","('mobile', 0)","('entities', 0)","('current', 0)","('wealth', 0)","('role', 0)","('crowdfunding', 0)","('distributed', 0)"
