0,"Senior Transaction Manager, Issuer Services, Corporate Trust","
Locations:
London, United Kingdom
","Team Description: (Overview of the team)
 
The Senior Transaction Manager through broad knowledge and experience is responsible for reviewing highly complex specialized deals transactions/structures aligned to a business or multiple product segments from initiation through closing. Key liaison with outside counsel and in conjunction with Client & Business Development may drive and take lead in negotiation of the terms of the structure. Serves as primary contact with internal and external parties on new and existing transactions and deal documentation in order to ensure the life of issue meets all operational and documentation standards and mitigates any risk. May mentor junior/new team members. Provides back up supervisory support in absence of Team Leader.
 
Acts as the Subject Matter ""Go To"" Expert/country specialist for product/country ensuring the business is kept up to date with market and competitor data and new regulations and laws for specific products or country regulations.
 
Essential Functions – Key Roles &Responsibilities
 
Deal Acceptance:

Lends in-depth knowledge and collaborates with appointed outside counsel from BNY Mellon's approved list to provide consultation on multiple types of highly sophisticated transactions. Reviews, negotiates and executes all governing documents for new transactions ensuring deal documentation accurately reflects operational responsibilities, structure terms and documentation standards including pricing input.
Keeps internal Legal department abreast of any unusual or novel features in deal documents in order to mitigate any potential litigation issues.
Interfaces with Client & Business Development and/or Global ClientSolutions to ensure that all Know Your Customer, account setup and tax related requirements are completed prior to closing.
Coordinates with Client & Business Development the presentation ofnew transactions at BAC forum(s), ensuring the deal has been properly approved by BNY Mellon prior to execution of the governing documents.
Prepares and presents deals to the local Trust Committee for new business and where applicable for amendments and exercises of discretion and prepares any required submissions to the Jurisdictional Acceptance Committee.
Deal Closing

Liaises with internal working group parties to coordinate closing timeframes
Develops instructions for support utilities to open the necessary accounts on relevant applications, including cash, custody, trust accounting (US only) and bondholder recordkeeping systems
Controls and coordinates the bond/program issuance and closing with the relevant support utilities, Depository, Client Service Delivery, respective counsels and other parties, including the performance of initial flow of funds; Announces closing to internal working group party distribution
Co-ordinates invoice payment at closing, including related counsel fees with appropriate parties
Receives at closing the global notes and any credit facilities, UCCs, bond insurance policies and other collateral, and facilitates forwarding such by secure means to Client & Business Development and/or Global Client Solutions for safekeeping.
Deal Set Up

Procures the safe keeping and scanning of all investor documents and contractual documents entered into by BNY Mellon entities, including the complete closing transcript where applicable
Expeditiously completes the appropriate checklist for effective transfer of the deal to Client & Business Development, Global Client Solutions and/or Client Service Delivery, (as applicable). Reviews approvals of the Deal Synopsis (limited to confirmation of adherence to BNY Mellon documentation standards policy) and complete the pertinent elements of the Deal Closing Checklist
Identifies actions/events dictated by the governing deal documents; ensures initial government contract policy compliance; performs initial REG 9 review if applicable; prepares and files Transfer Agency forms for success ordeals .
Life of Issue

Responsible for the review of substantive post-closing matters (including supplements, amendments, document interpretation, contracts for redemptions, consent solicitations, note holder meetings), during life of issue with support of internal and/or external counsel, subject to business and trust acceptance policies and bondholder consent (where required)
Examines documents and assists to resolves any issues that arise during the life of the deal.
Liaises with the Default Administration Group (DAG) related to defaulted transactions and escalates to DAG regarding all defaults or potential default issues as per BNY Mellon policy.
General Transaction Management

Maintains an understanding of BNY Mellon policies concerning the exercises of discretion in a fiduciary role as it relates to various jurisdictions. Serves as a resource for Global TMG.
Develop strong working relationships with client and all appropriate external and internal partners such as law firms, financial advisors, and investment bankers, Client & Business Development, Global Client Solutions,Client Service Delivery, Compliance, Audit, Risk and internal Legal, Business Acceptance and Jurisdictional Acceptance Committees.
Supports Client & Business Development and Global Client Solutionsas appropriate or the timely collection of any legal bills related to TMG appointments of counsel. Provides feedback on external counsel performance to internal legal group.
May mentor new or junior team members and provides back up supervisory support in absence of Team Leader.
Oversees TMG functional protocol and interaction with DAG to ensure negotiation of any workouts, restructures or enforcements pursuant to the deal documentation in accordance with BNY Mellon standards and contracted operational responsibilities, ensuring effective legal and operational risk mitigation in all defaulted deal transaction documentation matters. Qualifications Requirements:

Qualified in either English, Italian or German law is desired (but not essential)
Business Expertise
Experience of private legal practice, Corporate Trust and/or banking environment. Knowledge and experience in debt market document negotiation.
Skill to successfully negotiate with internal and external parties to mitigate risk.
Ability to work under tight and demanding deadlines.
Problem Solving
Find and propose:

a) Innovative legal solutions that are often complex to ensure that BNY Mellon’s documentation standards are upheld.


b) Satisfactory solutions to business issues with internal and external parties.

Nature & Area of Impact

Interact with clients, their advisors and agents, and other working group party members to come to mutually agreeable terms with respect to deal documents that affect the business.
Strive for excellent client service delivery under tight timeframes.
Interaction / Interpersonal Skills

Excellent oral and written communication skills necessary to persuade, negotiate and influence others, often at higher levels.
Effectively influence client, external counsel and other working group party members.
Manage internal and external relationship difficulties in a time sensitive, pressured environment.
Optimize client service delivery while complying with the Company’s policies and preferred practices. #LI-SK1 BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater London-London Job: Corporate Trust Internal Jobcode: 70364 Organization: Corporate Trust-HR06320 Requisition Number: 1816000"
1,"Regulatory Reporting Analyst - Sr. Specialist, External Reporting","
Locations:
New York, New York
","Manages the production and quality of the external reporting process. Assigned business/business partner areas are large and highly complex. Incumbent demonstrates extensive knowledge of regulatory reporting best practices and a specialized understanding with the corporate process standards established globally. Responsible for developing data, gathering processes and procedures, supporting analytics, and reporting controls. Recognized throughout the organization as the external reporting point of contact for a particular business/business partner areas. Gathers and reports useable, accurate and timely financial information for the entire spectrum of the reporting process to external reporters ensuring accuracy and correctness and transforms data where needed. In partnership with management, establishes the regulatory reporting strategy for the business/business partner area and is accountable for ensuring the implementation of that strategy. Leverages complex regulatory reporting techniques to achieve business objectives. Designs, builds and drives implementation activities to develop a common end-state reporting process in support of their direct supervisor and the global process owners. Sustains the integrity of the reporting process and addresses highly-complex external reporting matters associated with the process. Uses existing strategic relationships to influence at all levels of the organization. Liaises with internal and external regulators to ensure compliance to prescribed standards. Coordinates the delivery of process documentation, training content, and will advocate continuous improvement work efforts. Acts as a coach and mentor to less experienced team members to perform effectively in their role. No direct reports. Oversees, advises and guides less experienced External Reporting roles and may direct their work. Responsibilities are primarily specialized to address the external reporting management needs of a particular business/business partner area. However, tasks often produce cross-regional impacts. Modified based upon local regulations/requirements. Bachelor s Degree or the equivalent combination of education and experience is required. 7-10 years of experience in regulatory reporting preferred. Experience in external reporting and/or internal audit preferred. Qualifications Bachelor s Degree or the equivalent combination of education and experience is required. 7-10 years of experience in regulatory reporting preferred. Experience in external reporting and/or internal audit preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 85077 Job: Finance/Accounting Organization: Finance-HR06599 Requisition Number: 1816834"
2,Specialist App Support,"
Locations:
Toronto, Canada
","Specialist - Application Support>> Maintains and supports applications and their operating environments. Provides technical and/or business guidance to the SCM team as well as other groups. May allocate/coordinate work within a team/project. Analyzes system requirements. May review SCM plans and SCM scripts/programs.Monitors changes to applications and their operating environment. Analyzes any complex issues. Provides application support input with regard to SCM activities. May interact directly with clients regarding project activities. Recommends technical solutions on application problems. Reviews and analyzes product migrations through all systems environments. Reviews and develops updates of contingency documentation and processes. Contributes to the achievement of related teams' objectives.  Qualifications Bachelor's degree in computer science or a related discipline, or equivalent work experience required, advanced degree is beneficial, 6-8 years of diverse experience in information technology required, experience in the securities or financial services industry is a plus. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.BNY Mellon's Asset Servicing business is dedicated to dynamically supporting our clients' investments and safeguarding their assets, keeping them working around the clock and across the world. It's part of our commitment to being a true partner for our clients'  investment success. We specialize in operational solutions and capabilities for today's market-enhancing management and administration of investments with services that process, monitor and measure investment data from around the world. By leveraging BNY Mellon's global footprint and deep expertise, we deliver insight-driven solutions for every phase of investing.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Canada-Ontario-Toronto Job: Asset Servicing Internal Jobcode: 60558 Organization: AS Eagle Cloud And EMS-HR06432 Requisition Number: 1816944"
3,"Senior Representative, Fund/Client Accounting - Eagle Model Office","
Locations:
Wilmington, Delaware
","Fund/Client Accounting - S4 Serves as a lead for the day-to-day operations of a small fund accounting support team, providing work direction and technical assistance on complex matters. Helps to lead the day-to-day accounting and net asset value (NAV) production functions (including NAV construction & validation, NAV review, dissemination and reporting activities) for more complex funds. Assists in reviewing data and assists in resolving escalated problems that may arise during the normal daily, weekly or monthly accounting and reporting. Tracks data and maintains accounting records for funds of higher complexity in accordance with department policies and procedures. Assists in establishing data maintenance and summarization processes to improve team efficiency and best support the accounting team. Assists in leading team in preparing system-generated reports. Coordinates review of reports and the sharing of reports with accounting teams. Reviews work of junior team members. Regularly works with client staff to exchange information with respect to cash, accounting, and reporting of daily and monthly client activities and initiatives. Communicates data needs and answers client questions. Assists in identifying and implementing process improvements to reduce audit and financial exposure and improve team efficiency. No direct reports; may have work allocation and team lead responsibilities . Supports the achievement of team objectives.   Qualifications Bachelor's degree in accounting or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred; experience in accounting support preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Delaware-Wilmington Internal Jobcode: 70512 Job: Asset Servicing Organization: Glb Fund Accnt & Fund Admin-HR13984 Requisition Number: 1816987"
4,"Lead Representative, Middle Office - Markets","
Locations:
Pittsburgh, Pennsylvania
","BNY Mellon Markets Securities Finance is comprised of two complementary product offerings – Agency  and Principal Securities Finance.  By leveraging our global perspective and innovative capabilities across these solutions, Securities Finance is able to help clients optimize portfolio return, source liquidity to manage funding needs and reduce operating costs.  As a member of the Securities Finance team, you will be part of a global market leader, working with a world class group in multiple global locations and servicing some of the largest clients worldwide. 
  
 Middle Office - Serves as a lead for the day-to-day operations of a Middle Office support team, providing work direction and technical assistance on complex matters. Leads the daily activities of a Middle Office support team servicing multiple funds. Reviews data and assists in resolving escalated problems that may arise during the normal daily, weekly or monthly accounting and reporting. Supervises the tracking of fund data and trades, as well as the maintenance of records. Establishes data maintenance and summarization processes and procedures to improve team efficiency and best support the Middle Office support team. Searches for fail points in processes and provides error reports to clients in compliance with established service level agreements. Reviews error reports from more junior team members and provides feedback. Ensures error reports from support staff comply with service level agreements before they are shared with Middle Office teams. Escalates external errors. Correction of internal errors is at the discretion of the client. Reviews for exceptions. If exceptions are found, confirms that internal and client procedures were followed, processing was on time and in line with FCC regulations and no unnecessary steps were taken. Checks exceptions identified by more junior level team members. Dictates how support team handles incorrectly managed exceptions and enforces adherence to procedures. Leads team in preparing system-generated reports. Sets standards for teams report output to be shared with client teams. Coordinates review of reports and the sharing of reports with Middle Office teams. Reviews work of junior team members. Assists in identifying and implementing process improvements to reduce audit and financial exposure and improve team efficiency. Supervises a team of Middle Office support staff. May be responsible for specific supervisory review and approval actions. Supports the achievement of team objectives.   Qualifications High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree a plus, mutual fund industry background preferred. 3-5 years of total work experience preferred. Experience in accounting support or the mutual fund industry preferred.. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As our clients address evolving liquidity, risk and collateral eligibility needs as a result of changing regulations, Global Collateral Services helps them move collateral where and when they need it.  

Backed by modern technology and multi-dimensional thinking, we're ready to deliver the expertise, products and services institutional investors and intermediaries need as they address their collateral, liquidity and securities financing needs. Our innovative, insight-driven solutions help our clients, whether on the buy-side or the sell-side, improve the way they manage their collateral, engage in more investment opportunities to help maximize their investment returns and access new financing alternatives.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70549 Job: Global Markets Organization: Securities Finance Total-HR10447 Requisition Number: 1809960"
5,"Senior Analyst, Client Service - Mutual Funds Custody - Everett, MA","
Locations:
Everett, Massachusetts
","Client Service - IC2 Works with external clients to resolve moderately complex day-to-day issues and direct them to appropriate resources at BNY Mellon. Supports clients in addressing moderately complex operational and technical issues and ensuring requests are executed. Applies intermediate problem solving skills, experience and judgement to analyze information. Uses communication skills to deliver high quality service to a specialized client base. Provides clients information related to BNY Mellon products and services representing multiple lines of business and geographies and directs them to the appropriate resources, as needed. Leverages a good understanding of broader BNY Mellon services and offerings. Monitors client inquiries, resolves non-routine issues and escalates complex issues to the appropriate team member, as needed. Uses knowledge of client issues and needs to contribute to business development efforts. Participates in internal activities and initiatives designed to improve the client experience. Recommends process improvements. May have people management responsibilities in some geographies. Provides guidance to less experienced team members. Supports multiple, moderately complex client accounts. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred. Experience in an operational area and/or client services preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Everett Internal Jobcode: 70105 Job: Asset Servicing Organization: Custody Client Service-HR09095 Requisition Number: 1817155"
6,"Principal, Data Management & Quantitative Analysis - Chief Data Office","
Locations:
New York, New York
"," Oversees the development of statistical, financial and/or econometric models for analyzing Instrument, Pricing, Reference, Product and other related data domains.  Provides analytical and project leadership for assigned data domains with primary responsibility to ensure the integrity of data and to implement the data quality framework and taking steps requisite to ensure data is accurate, reliable and complete. 
   
 Performs advanced, complex statistical and quantitative analyses within Instrument, Pricing, Reference, Product and other related data domains.  Leads data modeling, quantitative and quality analysis projects and serves as resource to less experienced colleagues. Owns, researches, and remediates data issues identified by the Data Quality team.    
     
 Uses technology applications to conduct data quality analyses; applies techniques such as SQL and querying and macro development to extract data for populating models and presents to  management. Identifies and documents key fields to be retained related to Instrument, Pricing, Reference, Product and related data. Identifies the golden source for each key field. Works with Technology, Operations, the rest of the CDO team and business lines to establish master databases to house data.  
   
 Has a deep understanding of Instrument, Pricing, Reference, Product and related data. Develops, maintains and distributes data dictionaries for critical data elements; establishes and communicates data standards for fields in the data dictionary. Documents and understands data flows establishing the underlying source and controls in place to ensure accuracy of the respective key fields. Leads new or evolving data processes including initiatives with cross-functional or enterprise-wide impact.  
   
 Analyzes, formulates findings and reports on trends in Instrument, Pricing, Reference, Product and related data and delivers results to management and/or other leaders. Provides recommendations for addressing observed outcomes. Translates complex technical concepts and analyses to non-technical audiences.                
   
 Ensures accuracy of analysis, reports and calculations performed by less experienced colleagues and gives guidance when appropriate. Participates and advises in vendor selection during data acquisition and validation process.               
    
 No formal supervisory responsibility but may provide work oversight for to less experienced analysts and provide input into their performance assessments. 
 Impact of work is felt beyond immediate team and sub function and contributes to the achievement of functional goals, business unit and overall business.  Qualifications Bachelor's degree or the equivalent combination of education and experience. Advanced degree in quantitative analysis preferred. 10 + years total work experience preferred. Experience in quantitative finance and technology preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 70693 Job: Operations Organization: CSD Data Governance Global-HR16384 Requisition Number: 1817271"
7,"Sr. Tech, Fraud Detection/Surv","
Locations:
Wilmington, Delaware
","Fraud Detection and Surveillance - S4 May serve as a team lead for Fraud Detection/Surveillance support staff to ensure deadlines are met. Reviews the most complex cases escalated by more junior staff and monitors high risk queues to detect both debit and check fraud, as needed. Reviews highly complex AML alerts and high risk accounts received through surveillance systems, recurrent reporting and staff inquiries to determine if activity is concerning. Performs review and processing of the most complex check and debit transactions for Brokers/Funds and their clients to detect/flag and resolve fraudulent activity. Reviews AML issues that have been flagged by more junior staff. Conducts thorough investigations and inquiries on identified and suspicious accounts. Determines follow up actions required, Incident Reports and conducts follow up review with AMLOC. Works with dispute specialists to investigate fraud claims. Communicates with clients to resolve the most complex cases. Interacts with clients and is regularly available and responsive. Demonstrates strong understanding of the job and skills required to accomplish them accurately, safely, and more rapidly than others in general. Supports learning for more junior staff. Reviews complex cases escalated by more junior staff. Identifies errors or problems and independently investigates. May recommend solutions to team members or supervisors. May allocate work to support staff. Ensures deadlines are met by team. Supports coordinating data preparation and reviewing documentation on instant reporting, training, tracking and operations. May recommend changes to improve operating objectives and/or compliance. May participate in testing for new technology solutions or enhancements, ensuring that Fraud Detection/Surveillance processes remain intact. Serves as lead for support staff. Contributes to the achievement of team goals. High School/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 3-5 years of total work preferred. Experience in criminal justice preferred. Qualifications  High School/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred.  
1-2 years of total work preferred. Experience in criminal justice preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Delaware-Wilmington Internal Jobcode: 70336 Job: Operations Organization: Paymnt & Treasury Svc Delivery-HR06382 Requisition Number: 1817111"
8,"Lead Analyst, Data Management & Quantitative Analysis","
Locations:
London, United Kingdom
","Data Management and Quantitative Analysis - IC3 Under moderate guidance, works with internal and external datasets and client reference data and provides analysis in the development statistical, financial and/or econometric models for analyzing asset performance, securities data, derivative pricing, risk exposure or other sophisticated concepts. Provides analytical support and prepares drafts of standard and ad hoc reports for assigned area. With moderate guidance, supports assigned area with more advanced statistical and quantitative analyses. Serves as resource to less experienced colleagues. Runs models, looks for exceptions, takes corrective action. Uses technology tools to conduct analyses. Applies techniques such as SQL and querying and macro development to extract data for populating models. Has a good understanding of the relevant processes and products in assigned area and which analyses, methodologies and approaches best support assessment of performance, risk, or valuation. Interprets findings and prepares initial drafts of standard reports. Prepares ad-hoc reports at the request of managers and/or other leaders. Translates complex technical concepts and analyses to non-technical audiences. Reviews accuracy of reports and calculations performed by less experienced colleagues. No direct reports. Provides guidance to more junior analysts. Primarily responsible for the accuracy and quality of own work. Work contributes to the achievement of team goals. Qualifications Bachelors degree or the equivalent combination of education and experience. Advanced degree in quantitative analysis preferred.. Experience in quantitative finance and technology preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As our clients address evolving liquidity, risk and collateral eligibility needs as a result of changing regulations, Global Collateral Services helps them move collateral where and when they need it.  

Backed by modern technology and multi-dimensional thinking, we're ready to deliver the expertise, products and services institutional investors and intermediaries need as they address their collateral, liquidity and securities financing needs. Our innovative, insight-driven solutions help our clients, whether on the buy-side or the sell-side, improve the way they manage their collateral, engage in more investment opportunities to help maximize their investment returns and access new financing alternatives.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater London-London Job: Global Markets Internal Jobcode: 70126 Organization: Securities Finance Total-HR10447 Requisition Number: 1816636"
9,Sr.Spec'st Bus.Analysis Cons't,"
Locations:
New York, United States
","Sr. Specialist Business Analysis Consultant->> Consults with stakeholders to analyze, define, challenge and prioritize the business requirements, functional specifications and operational architecture for a functional work stream within a highly complex strategic, global program. Formulates and defines program scope and objectives for the work stream with thorough understanding of business processes in a specific business domain. Tailors standard processes and templates for team to elicit, challenge, and prioritize requirements, and translates into functional design and use case models. Develops project scope, objectives, constraints and assumptions for a large, strategic, multi-year program. Prepares and manages the project plan, issues and risks, and is accountable for overall delivery of their assigned functional work stream on a large-scale program. Provides guidance in development of the technical design, test plans, and user documentation. Leads implementation/conversion strategy planning and implementation. Manages scope and change throughout the initiative utilizing formal change control and requirements traceability. Gathers and analyzes information and develops recommendations to address strategic business objectives that span multiple, global business and technology areas. Participates in industry forums and keeps current on domain knowledge for their specific business and application areas of expertise. Applies experiences across various software and/or systems development processes to define and collect metrics and identify and implement opportunities for improvement to increase quality of requirements and speed time-to-market. Actively influences software and/or systems development process improvement initiatives. Contributes to the achievement of related area objectives. Bachelor's degree in business or technical-related discipline, or equivalent work experience required, advanced degree preferred, 8-10 years of experience in providing consulting advice to senior IT and business management required, experience in the securities or financial services industry is a plus. Qualifications Bachelor's degree in business or technical-related discipline, or equivalent work experience required, advanced degree preferred, 8-10 years of experience in providing consulting advice to senior IT and business management required, experience in the securities or financial services industry is a plus. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York- Internal Jobcode: 45169 Job: Information Technology Organization: BNY Mellon Technology-HR06363 Requisition Number: 1814039"
