0,"Senior Specialist, Financial Planning & Analysis","
Locations:
Jersey City, New Jersey
","Delivers advanced financial analytics and reporting in support of Pershing’s net interest income and balance sheet.   Identifies financial planning and reporting needs, and partners with various customers and stakeholders to ensure their needs are met. Performs advanced analyses to support end to end processes within Finance including the support for the monthly close, analyses of performance such as forecasted revenue and expenses against actual results, and metrics and scorecard reporting. Identifies and monitors trends, and presents findings to finance leadership and/or the business. Updates short term and long range forecasts and methodologies using multiple inputs and assumptions to reflect changes in business strategies and business intelligence in the competitive environment impacting lines of business. Conducts advanced trend analysis on financial data and operating performance. Develops recommendations on improving efficiency and effectiveness against benchmarks. Participates in the development of annual operating, capital and strategic plans. Compiles financial information, conducts sophisticated analysis as needed, and interprets results and business implications. No direct reports, however, supervises the work of an offshore four-member team and provides guidance to less experienced team members as needed. May lead small projects and/or analyses. Primarily responsible for the accuracy and quality of own work and the work of assigned project team members.  Qualifications Bachelor's degree in finance, accounting, or business or the equivalent combination of education and experience. Desired candidate has experience working in a large clearing broker-dealer, has a solid understanding of its balance sheet, liquidity dynamics, customer protection rules, funds transfer pricing and net interest margin.   MBA or CFA preferred. 10+ years of total work experience preferred; experience in financial planning and analysis preferred.   BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 85069 Job: Finance/Accounting Organization: Pershing Domestic-HR06431 Requisition Number: 1901439"
1,"Senior Specialist, Financial Planning & Analysis","
Locations:
Pittsburgh, Pennsylvania
","Delivers advanced financial analytics and reporting in support of assigned line of business, corporate function, or region.  Identifies financial planning and reporting needs, and partners with the customer to ensure needs are met.

Performs advanced analyses to support end to end processes within Finance including the support for the period close, analyses of performance such as forecasted period revenue and expenses against actual results, and metrics and scorecard reporting.  Identifies and monitors trends, and presents findings to finance leadership and/or the business.

Updates short term and long range forecasts and methodologies using multiple inputs and assumptions to reflect changes in business strategies and business intelligence in the competitive environment impacting lines of business.

Conducts advanced trend analysis on financial data and operating performance.  Develops recommendations on improving efficiency and effectiveness against benchmarks.

Participates in the development of annual operating, capital and strategic plans.  Compiles financial information, conducts sophisticated analysis as needed, and interprets results and business implications.

No direct reports; provides guidance to less experienced team members as needed.  May lead small projects and/or analyses.

Primarily responsible for the accuracy and quality of own work and the work of assigned project team members. Work contributes to the achievement of area goals.

Modified based upon local regulations/requirements.   Qualifications Bachelor's degree in finance, accounting, or business or the equivalent combination of education and experience. MBA or CFA preferred. 7-10 years of total work experience preferred; experience in financial planning and analysis preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 85069 Job: Finance/Accounting Organization: Finance-HR06599 Requisition Number: 1900891"
2,"Group Mgr, Fund/Client Accounting (Private Equity Fund Accounting and Waterfall Analysis)","
Locations:
New York, New York
"," BNY Mellon is seeking a qualified candidate to manage the migration of Private Equity Funds onto the end-state waterfall solution.  This Manager will lead the project implementation team that supports the conversion of Funds onto Cascade Suite, an automated waterfall vendor solution that is integrated with Investran, the current accounting platform for the Alternative Investment Services group.  In addition, this person will oversee the development of Excel models that support complex waterfall calculations.  Qualifications • Bachelor’s degree in accounting or the equivalent combination of education and experience is required • 10+ years of Private Equity Fund accounting experience, including waterfall analysis and specification and/or development experience strongly preferred • 3+ years of management experience strongly preferred • Investran and Cascade proficiency strongly preferred • Waterfall Software strongly preferred • Advanced Excel required; VBA programming a strong plus • Strong analytical and quantitative skills experience strongly preferred • Ability to read and analyze a Fund Limited Partnership Agreement (“LPA”), the legal document that governs the waterfall calculation strongly preferred • Ability to translate language from LPA to business requirements strongly preferred • Desire and proven ability to master accounting applications strongly preferred • Experience in large systems conversion projects a plus     For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery  manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 70504 Job: Finance/Accounting Organization: AIS Operations-HR08997 Requisition Number: 1900782"
3,"Specialist, Financial Planning & Analysis","
Locations:
Chennai, India
","Delivers financial analytics and reporting in support of assigned line of business, corporate function, or region. Assists in addressing customer analytics and reporting needs. Performs analyses to support end to end processes within Finance including the support for the period close, analyses of performance such as forecasted period revenue and expenses against actual results, and metrics and scorecard reporting. Identifies and monitors trends. Updates short term and long range forecasts and methodologies using multiple inputs and assumptions to reflect changes in business strategies and business intelligence in the competitive environment impacting lines of business. Conducts trend analysis on financial data and operating performance. Assists in developing recommendations on improving efficiency and effectiveness against benchmarks. Participates in the development of annual operating, capital and strategic plans. Compiles financial information and conducts analysis as needed. No direct reports; provides guidance to less experienced team members as needed. Primarily responsible for the accuracy and quality of own work. Work contributes to the achievement of team goals. Modified based upon local regulations/requirements. Bachelor's degree in finance, accounting, or business or the equivalent combination of education and experience. 5-7 years of total work experience preferred; experience in financial planning and analysis preferred Qualifications B.COM/M.COM/MBA For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Finance helps our internal clients outperform over time. At BNY Mellon, Finance serves our internal clients by providing world-class accounting operations and control and decision support while instituting world-class change management.

Global Procurement is responsible for establishing the programs to acquire products and services for BNY Mellon by employing deep category knowledge and commodity expertise, coupled with an understanding of the needs of our businesses and business partner groups.

The Corporate Treasury group is responsible for managing the investment portfolios and the liquidity and capital positions of the various subsidiary banks and of  BNY Mellon.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Tamil Nadu-Chennai Job: Finance/Accounting Internal Jobcode: 85068 Organization: Finance-HR06599 Requisition Number: 1900652"
4,"Senior Analyst, Accounting","
Locations:
Chennai, India
","Supports a standard legal entity, line of business, country, region or accounting process, as assigned. Assists with the completion of assigned activities, including consolidations and financial reporting of business outcomes. May complete other assignments, as needed, including less complex accounting activities. Assists with end to end accounting processes and research required to transform data into information for reporting purposes. Activities may include processing less complex general ledger events and transactions, assisting with continuous improvement activities such as the analysis of exceptions, providing support for audits and completing assigned tasks to support the maintenance of the control environment. Contributes to the completion of journal entries. With direct guidance, performs reconciliations of general ledger accounts or other financial data. Identifies and escalates issues, as needed. Assists with assignments across lines of business, legal entities and geographies that have an impact on internal reporting, accounting and accounting processes. Assignments may include assisting with the implementation of new or revised reporting, accounting and accounting process policies, procedures and reporting templates in order to provide effective financial planning, accounting and reporting of financial information. Contributes to the identification and reporting of risks, patterns or recurring issues. No direct reports. Contributes to the achievement of the assigned line of business, country, region or accounting process' objectives. Modified based upon local regulations/requirements. Bachelor's degree or equivalent combination of education and work experience required. Accounting concentration preferred. 0-3 years of total work experience preferred; knowledge of GAAP and accounting and finance concepts and analysis techniques preferred. Qualifications B.Com BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Tamil Nadu-Chennai Job: Finance/Accounting Internal Jobcode: 85082 Organization: Finance-HR06599 Requisition Number: 1901070"
5,"Senior Specialist, Third Party Governance, Process Design & Automation Analyst","
Locations:
Wilmington, Delaware
","Responsible for maintaining the global vendor or interaffiliate-TPG framework. Supports change management processes to achieve outsourcing management consistency and embed an effective risk management culture while meeting all regulatory and legal requirements. Independently enacts policies to achieve results that satisfy the requirements of relevant regulators. Is responsible for developing and implementing a consistent and robust process to sustain compliance with all local regulatory and legal requirements, providing transparency and comfort to the relevant lines of business and ensuring continued high levels of service delivery. Implements all aspects of the unique strategy and direction for vendor and interaffiliate governance, control and risk related matters. Directs the ongoing development of the TPG framework with a focus on all applicable regulatory requirements, developing material from regulatory guidelines into workable and measurable training and support solutions. Independently manages and delivers vendor and interaffiliate-focused solutions to TPG requirements. Regularly engages with senior stakeholders to understand regulatory requirements and drive compliance. Ensures regulatory requirements and quality standards across vendor and interaffiliate populations. Maintains an overview of all interactions with relevant stakeholders in co-ordination with the Head of TPG, global management, the Legal Department and Compliance. Ensures appropriate and up to date contractual documentation exists and is accessible. Develops strategies for efficient implementation of key TPG policies, processes and systems. Directs the day to day interactions with functional stakeholders including Legal, Compliance and Risk to ensure TPG processes are developed and maintained to a standard that is acceptable to regulators. Responsible for addressing escalated process issues. Facilitates regular meetings to assess the quality of the TPG framework delivery and discuss any other relevant topics in relation to the outsourced services with TPG group, sponsors, stakeholders, vendors and interaffiliates. Manages vendor and interaffiliate relationships in scope with appropriate measurement and management tools and other related documentation. Drives a consistent global approach to BAU outsourcing management. Delivers robust metrics and reporting on global outsourcing activity. Ensures key ways of working are embedded and developed to maintain a positive control on regulatory governance. Supports the design and implementation of an information repository to hold all completed outsourcing documentation. Continues to build strong relationships with all key stakeholders, such as Business and Legal Entity Managers and all key stakeholders and vendors. Builds and maintain strong relationships within the TPG group in order to present a single client face to customers. No direct reports. Directs more junior staff. Contributes to the achievement of global objectives and fulfillment of local and regional accountabilities. Modified based upon local regulations/requirements. Bachelor's degree or equivalent combination of education and work experience required. 7-10 years of total work experience preferred. Qualifications Bachelor's degree or equivalent combination of education and work experience required. 7-10 years of total work experience preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Delaware-Wilmington Internal Jobcode: 85238 Job: Finance/Accounting Organization: BNY Mellon CAO-HR16507 Requisition Number: 1901221"
6,"Intermediate Representative, Fund/Client Accounting","
Locations:
Orlando, Florida
","Fund/Client Accounting - S3

Provides accounting support activities for funds of higher complexity.  Reviews work of more junior colleagues and provides technical assistance on complex matters.

Performs a variety of accounting and net asset value (NAV) production functions (including NAV construction and validation, NAV review, dissemination and reporting activities) for more complex assigned funds.  Assists in reviewing data and resolving intricate problems that may arise during the normal daily, weekly or monthly accounting and reporting.

Tracks data and maintains accounting records for funds of higher complexity in accordance with department policies and procedures.  Provides requested data to team members.

Prepares system-generated accounting reports or templates consisting of multiple or advanced data sets and conducts general data validation and reconciliation.  Reviews work of junior team members.

Regularly works with client staff to exchange information with respect to cash, accounting, and reporting of daily and monthly client activities and initiatives.  Communicates data needs and answers client questions.

No direct reports. Provides guidance to less experienced Fund/Client Accounting Support staff, as needed.

Responsible for the quality and completion of own work.   Qualifications Bachelors degree in accounting or the equivalent combination of education and experience is required. 2-3 years of total work experience preferred. Experience in accounting support preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Florida-Orlando Internal Jobcode: 70513 Job: Finance/Accounting Organization: AIS Operations-HR08997 Requisition Number: 1901663"
7,"Lead Representative, Corporate Services","
Locations:
New York, New York
","Assists more senior corporate services
professionals in completing tasks related to service activities for a
key/critical operational area. Often owns a specific process/procedure related
to the area of service supported. Services will be specific to the  Corporate Card , and travel.
Independently field and triage the full range of customer questions and
complaints related to the provided service(s); serve as escalation point for
more complex questions or issues. Employs communication tactics to turn
customer dissatisfaction around to a mutually agreeable conclusion. Creates
documentation for dissemination to on-site services providers related to
operating policies, procedures, etc. Provides input into the content based on
experience with customer feedback. Identifies and recommends areas for new or
enhanced procedures based on customer feedback. Leads records management
related to service delivery activities or vendor information. Ensures
completeness and accuracy, resolving issues when identified. Pulls and analyzes
data on service delivery activities; provides reports to more senior staff. May
directly provide contracted service during peak hours or staffing shortages. No
direct reports. May provide guidance to more junior team members, as needed.
Job scope is limited to the timely completion and accuracy of own work.
Modified based upon local regulations/requirements.  Qualifications Bachelor s Degree or the equivalent combination of education and experience is preferred. 5-7 years of total work experience preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 85379 Job: Finance/Accounting Organization: BNY Mellon CAO-HR16507 Requisition Number: 1901228"
8,"Senior Specialist, Financial Planning & Analysis","
Multiple Locations:
New York, New York; Pittsburgh, Pennsylvania
","Delivers advanced financial analytics and reporting in support of Banking Operations. Identifies financial planning and reporting needs, and partners with the customer to ensure needs are met. Performs advanced analyses to support end to end processes within Finance including the support for the period close, analyses of performance such as forecasted period revenue and expenses against actual results, and metrics and scorecard reporting. Identifies and monitors trends, and presents findings to finance leadership and/or the business. Updates short term and long range forecasts and methodologies using multiple inputs and assumptions to reflect changes in business strategies and business intelligence in the competitive environment impacting lines of business. Conducts advanced trend analysis on financial data and operating performance. Develops recommendations on improving efficiency and effectiveness against benchmarks. Participates in the development of annual operating, capital and strategic plans. Compiles financial information, conducts sophisticated analysis as needed, and interprets results and business implications. No direct reports; provides guidance to less experienced team members as needed. May lead small projects and/or analyses. Primarily responsible for the accuracy and quality of own work and the work of assigned project team members. Work contributes to the achievement of area goals. Modified based upon local regulations/requirements.  Qualifications Bachelor's degree in finance, accounting, or business or the equivalent combination of education and experience. MBA or CFA preferred. 7-10 years of total work experience preferred; experience in financial planning and analysis preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 85069 Job: Finance/Accounting Organization: Finance-HR06599 Requisition Number: 1901158"
9,"Senior Representative, Financial Planning & Analysis","
Locations:
Pittsburgh, Pennsylvania
","Performs more in-depth research and analyses to produce financial data for use in short-term and strategic planning and reporting. May lead less experienced support staff's completion of activities. Deciphers complex financial information in support of Banking Operations. Reviews work performed by more junior support staff. Performs financial accounting and systems analyses to support management in measuring and evaluating performance for an assigned line of business, corporate function or region. Deciphers complex financial information and analyzes trends; may make financial recommendations. Assists more junior level support staff in identifying more complex differences. May review work completed by junior support staff. Identifies and escalates errors and issues to management. Supports variance analyses, Key Performance Indicators (KPI) metrics tracking, scorecard reporting, capital planning, project planning, and budget management, as assigned. Contributes to the completion of financial activities, including financial transactions, budgeting, forecasting, planning and reporting, and analysis of general ledger accounts, operating performance, profitability and industry trends. May complete special and ad hoc projects, as needed. Analyzes and documents the needs of the assigned line of business, corporate function or region, helps to develop a solution and composes project requests to address the identified need. Assists with the preparation of daily, weekly and monthly financial and accounting policies, reports and statements. Assists with regulatory reporting. May participate in analyses of new business and new product offering opportunities and provide decision support to professional and management teams. May interact with those at a senior level in other groups to obtain feedback on issues or improvements, competitive performance, profitability of products and customers and comparative analytics. No direct reports. May serve in a lead capacity, providing work guidance or review/approval oversight to lower level peers. Impact related to own work, supports the achievement of team objectives. Modified based upon local regulations/requirements.  Qualifications High School/secondary school or the equivalent combination of education and experience is required; Bachelor s degree preferred. 3-5 years of total work experience preferred; experience in brokerage/banking operations preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 85329 Job: Finance/Accounting Organization: Finance-HR06599 Requisition Number: 1901160"
