0,Executive Assistant,"
Locations:
New York, New York
","Executive Assistant
·        Independently completes the full range of advanced administrative activities, in support of one or more executives, who are responsible for leading a small business unit or group and generally Level S. Interactions are sometimes at the leadership level. Appropriately and effectively addresses highly complex issues escalated to assigned executive's office/team. 
·        Schedules meetings, prepares and distributes meeting agendas and minutes.  Makes travel arrangements and maintains calendar of appointments for assigned executive(s) and/or team. Exercises autonomy in anticipating a diverse range of highly complex issues and troubleshooting these issues as they arise.
·        Manages supply orders and resolves associated issues on behalf of the office, executive(s) and/or team. 
·        Responsible for the timeliness, quality and accurate completion of own work as well as effective collaboration with leadership and the executive's direct reports/wider team on behalf of the executive. 
·        Uses a wide range of business software applications (Microsoft Word, PPT, Excel, Outlook, etc.) to conduct assigned activities such as the preparation of correspondence, reports, presentations, agendas, minutes, etc. 
·        Activities include calendar management, meeting planning, travel booking, expense reporting, filing, mail/courier arrangements, data entry, document management services, records management and other related areas.   
·        Additional administrative functions such as print production, mail services or conference room setup. Independently completes the full range of advanced administrative activities, in support of one or more executives (Level S), who are responsible for leading a small business unit or group. 
·        Supports executive(s) in completing activities required for the management of teams responsible for similar tasks.  The assistant's tasks are frequently diverse, highly complex in nature and may include but are not limited to, calendar management, travel booking, expense reporting, word processing, data entry.  
·        Effectively prioritizes the needs of the office, executive(s) and/or team as prescribed by established guidelines, managing competing requests and switching focus as needed; often must negotiate prioritization of administrative activities with/among higher level team members/managers. Evaluates non-standard problems and uses judgement to develop appropriate solutions or procedures. 
·        Operates independently and effectively with a significant degree of time management and work method/approach latitude. Responsible for daily interaction and management of communication with the assigned executive's/team member's direct reports. Interactions are sometimes at the leadership level. Appropriately and effectively addresses highly complex issues escalated to assigned executive's office/team. 
·        May participate in ad-hoc special projects or administrative initiatives.  May serve as a support team lead, assigning activities to  other support staff and checking completion. S/he will need to be proactive in their duties and not necessarily look for direction on every item.   
·        Must also work well under pressure.
·        Performs advanced, diversified and often confidential administrative duties requiring broad and comprehensive experience, skill and knowledge of organizational policies and procedures. 
Screens calls and visitors, and resolves inquiries.   Qualifications
High school/secondary school or the equivalent combination of education and experience is required; bachelor’s degree preferred.
Applicable vocational training (e.g., courses on relevant business software like the Microsoft Office Suite of products, basic business writing, or similar) preferred; AA degree or relevant business certifications preferred. 
Where proficiency in standard activities within a professional discipline is pertinent (e.g., Human Resources, Finance, etc.), relevant degree or industry certifications for the discipline are desirable.
5-7 years of total work experience preferred.  
Bachelor's degree in lieu of some experience may be considered.
  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 76003 Job: Information Technology Organization: Asset Servicing Technology-HR07302 Requisition Number: 1901520"
1,Senior Specialist Systems Engineer/Programmer,"
Multiple Locations:
White Plains, New York; Based At Home, Home Based Empl and Pensioners
","Sr. Specialist Systems Engineer/Programmer->> Leads the design and development of highly complex application problems, system administration issues, or network concerns. Performs systems management and integration functions. Conducts and leads analysis to correct systems, applications, software, and hardware that are not compliant with Corporate policy/procedures. Works closely with external vendors on large infrastructure engineering projects. Works closely with Application Development and Quality Assurance and Testing teams to understand infrastructure needs during the development and testing processes. Applies IT expertise in strategizing how to best develop infrastructure that will allow development and testing processes to be secure and efficient.Provides input and recommends processes in developing project plans. Monitors project progress and provides regular status reports to management team. Evaluates the effectiveness of the organization's existing infrastructure technology. Stays informed of current industry trends and emerging technologies. Researches and analyzes trends to recommend and implement upgrades that enhance the reliability and efficiency of the IT infrastructure. Contributes to the achievement of area objectives. Qualifications Bachelor's degree in computer science or a related discipline, or equivalent work experience is required, advanced degree is preferred.Eight to ten (8-10) years of related experience is required.Experience in the securities or financial services industry is a plus. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-White Plains Internal Jobcode: 45173 Job: Information Technology Organization: Technology Services Group-HR06725 Requisition Number: 1814907"
2,Specialist Developer,"
Multiple Locations:
Pittsburgh, Pennsylvania; Everett, Massachusetts
","Specialist Developer->> Provides application software development services or technical support in more complex situations. May also be responsible for requirements gathering and BRD/SRD preparation. Has thorough knowledge of the Software Development Life Cycle. Conducts reviews of the test Plan and test Data. May allocate/ coordinate work within a team/project. Analyzes, defines and documents requirements for data, workflow, logical processes, hardware and operating system environment, interfaces with other systems, internal and external checks, controls, and outputs using BNY Mellon's standard development methodology. Coordinates coding, testing, implementation and documentation of solution. Ensures that expected application performance levels are achieved. Contributes to defining time tables and project plans. Analyzes and estimates feasibility, cost, time, and compatibility with hardware and other programs. Conducts analysis of organizational needs and goals for the development and implementation of application systems. Proposes innovative, creative technology solutions. Contributes to the achievement of related teams' objectives. Qualifications  Bachelor's degree in computer science engineering or a related discipline, or equivalent work experience required, 6-8 years of experience in software development required, experience in the securities or financial services industry is a plus.  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 45144 Job: Information Technology Organization: Operations & Shared Technology-HR13644 Requisition Number: 1818217"
3,Principal Java Developer,"
Multiple Locations:
Jersey City, New Jersey; New York, New York
","The Clearance and Collateral Technology (CCT) group is
responsible for building technology to support three of the most critical
services of BNY Mellon – US Govt Securities Clearance, US Triparty Repo and
Global Collateral Management. These platforms are responsible for clearing and
settling equity and fixed-income transactions in markets around the globe, and
managing more than $3 trillion in global collateral.
 
The group is transforming itself into a data-centric
organization and we are seeking strong technologists who can adapt to a dynamic
and fast-paced work environment. If you thrive on solving problems, thinking
critically and creating change, we want you to be a part of our team!
 
Join us in our journey and we’ll together build the
financial services industry’s next-generation data services platform.

Responsibilities:

As a member of the team, you will be responsible for
building and enhancing Java platforms that provide critical data services for
our businesses. You will be expected to design application modules, build test
suites, analyze business requirements and propose innovative technology
solutions. You will also actively liaise with multiple stakeholders and users
to define the direction of the platforms.    Principal Developer->> Consults with internal business groups to provide high-level application software development services or technical support. Provides comprehensive senior-level technical consulting to IT management and senior technical staffs. Evaluates compliance with the organization's technology standards. Works with internal business groups on implementation opportunities, challenges, and requirements of various applications. Analyzes information and provides recommendations to address and resolve business issues for a specific business group. Guides and consults with IT management and technical staffs regarding use of emerging technologies and associated services. Participates in defining corporate implementation and integration strategies of new technologies. Advocates for innovative, creative technology solutions. Contributes to the achievement of area objectives. Bachelor's degree in computer science engineering or a related discipline, or equivalent work experience required, 10-12 years of experience in software development required, experience in the securities or financial services industry is a plus.  Qualifications BS
/ MS (Computer Science, Math, Engineering)10+
years overall experienceStrong
CS fundamentals, core Java, multithreading and problem-solving skills are
requiredExperience
building distributed high-performance, high-availability systemsExperience
with and strong understanding of capital markets is preferredExperience
working in a strong agile environment is preferred
BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 45198 Job: Information Technology Organization: Clearing Markets ISS Svcs Tech-HR16624 Requisition Number: 1901604"
4,Java Developer,"
Locations:
Jersey City, New Jersey
","Team and the new
generation platform The Clearance and Collateral Technology (CCT) group is
responsible for building technology to support three of the most critical
services of BNY Mellon - US Govt Securities Clearance, US Triparty Repo and
Global Collateral Management. These platforms are responsible clearing and
settling equity and fixed-income transactions in markets around the globe, and
managing more than $3 trillion in global collateral.The group is building solutions to help our clients in security
master sourcing, optimization and high-performance real-time transaction
processing. To meet new market challenges and provide new functionality
to our clients, our group is working on building the next generation platform.
The new platform will be mission-critical, high-performance, high-availability,
and will include big-data, machine-learning analytics capabilities. The work environment is fast-paced with very high levels of
collaboration with global product managers.  Role
We are looking for strong developers who are excited about
building this next generation system. They will have the unique opportunity to
build a sophisticated high performance security master system using the latest
technology stack and best software engineering practices. They will become the members
of the core team driving it forward and will have a significant impact in how
it’s implemented. 

Specialist Developer->> Provides application software development services or technical support in more complex situations. May also be responsible for requirements gathering and BRD/SRD preparation. Has thorough knowledge of the Software Development Life Cycle. Conducts reviews of the test Plan and test Data. May allocate/ coordinate work within a team/project. Analyzes, defines and documents requirements for data, workflow, logical processes, hardware and operating system environment, interfaces with other systems, internal and external checks, controls, and outputs using BNY Mellon's standard development methodology. Coordinates coding, testing, implementation and documentation of solution. Ensures that expected application performance levels are achieved. Contributes to defining time tables and project plans. Analyzes and estimates feasibility, cost, time, and compatibility with hardware and other programs. Conducts analysis of organizational needs and goals for the development and implementation of application systems. Proposes innovative, creative technology solutions. Contributes to the achievement of related teams' objectives. Bachelor's degree in computer science engineering or a related discipline, or equivalent work experience required, 6-8 years of experience in software development required, experience in the securities or financial services industry is a plus.
 Qualifications
BS (Computer Science, Math, Physics,
Engineering) 1-3 years application development experienceGood CS fundamentals, core Java, multithreading and
problem solving skills are requiredExposure to distributed system development in
the Financial Industry is preferredExposure to working in an agile environment is
preferred

 
 
 
For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Technology Solutions provides our business partners with client-focused, technology-based solutions. These enhance their ability to be successful through world-class software solutions and leading-edge infrastructure. Client Technology Solutions provides employees with the tools and resources to enhance their professional qualifications and careers.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 45144 Job: Information Technology Organization: Clearing Markets ISS Svcs Tech-HR16624 Requisition Number: 1901577"
5,"Java Web Developer (J2EE, Liferay)","
Locations:
London, United Kingdom
","We are looking for a strong Java/JEE Developer to be a core member of our Web Development team. The job involves designing, developing and supporting enterprise and custom solutions supported by strong web experience and skills. We are also looking for a candidate who can bring experience working directly with clients and with cloud architectures.   We make use of Liferay as a core product, so any experience in this product or any other portal platform is desired but not mandatory. A willingness to learn about Liferay is a must.   Responsibilities: Design, develop and support a range of web-based Java applications, primarily based on Liferay, but also using other proven advanced technologies.Develop and enhance testing strategies for all applications.Collaborate with other developer team members on best practices, code reviews, internal tools and process improvements.  Write readable, maintainable, and efficient code.Work with our platform engineers to develop the platforms to which we deploy our applications.Work with clients to understand their requirements and offer suitable solutions considering technology, budgets and time constraints. Qualifications BA/BS degree in Computer Science or related
field required. Advanced technical degree and/or related training a plus.Strong Java/JEE skills and object-oriented
design experience, including working knowledge of the Java web technology
platform, applied use of design patterns, and MVC technologies.Experience designing and implementing web
applications.Knowledge of portal development required.
Knowledge of JSR 168,JSR 286 and OSGi an advantage.Experience of Liferay preferred but not
mandatory. Experience of other Portal software useful. Must be capable of
adapting to using Liferay.Knowledge of session management, object
relational mapping, web services (SOAP and REST), and agile development
methodologies desired.Experience with web server and app server
configuration desired.An ability to work independently; designing,
developing and deploying solutions with minimal direction.Solid verbal and written communication skills. Java Development
Tools:Proficient in most of the following
development tools and practices:Java,
J2EESpring
Framework and Spring MVCJSR 168 and JSR 286OSGiEclipse,
GIT, Maven, NexusJSP,
ServletsHTML,
CSS, JavaScriptXMLJunit
and unit testingExperience in the following would be
preferable:Liferay
7, or a minimum of Liferay 6.2FreemarkerApache
HTTPD server, Apache Tomcat, NginxXML
& XSL BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater London-London Job: Information Technology Internal Jobcode: 60144 Organization: Asset Mgmt Technology-HR15726 Requisition Number: 1819109"
6,"Sr. Java Web Developer (J2EE, Liferay)","
Locations:
London, United Kingdom
","We are looking for a strong Java/JEE Developer to be a core member of our Web Development team. The job involves designing, developing and supporting enterprise and custom solutions supported by strong web experience and skills. We are also looking for a candidate who can bring experience working directly with clients and with cloud architectures.   We make use of Liferay as a core product, so any experience in this product or any other portal platform is desired but not mandatory. A willingness to learn about Liferay is a must.   Responsibilities: Design, develop and support a range of web-based Java applications, primarily based on Liferay, but also using other proven advanced technologies.Develop and enhance testing strategies for all applications.Collaborate with other developer team members on best practices, code reviews, internal tools and process improvements.  Write readable, maintainable, and efficient code.Work with our platform engineers to develop the platforms to which we deploy our applications.Work with clients to understand their requirements and offer suitable solutions considering technology, budgets and time constraints. Qualifications BA/BS degree in Computer Science or related field required. Advanced technical degree and/or related training a plus.Strong Java/JEE skills and object-oriented design experience, including working knowledge of the Java web technology platform, applied use of design patterns, and MVC technologies.Experience designing and implementing web applications.Knowledge of portal development required. Knowledge of JSR 168,JSR 286 and OSGi an advantage.Experience of Liferay preferred but not mandatory. Experience of other Portal software useful. Must be capable of adapting to using Liferay.Knowledge of session management, object relational mapping, web services (SOAP and REST), and agile development methodologies desired.Experience with web server and app server configuration desired.An ability to work independently; designing, developing and deploying solutions with minimal direction.Solid verbal and written communication skills.   Java Development Tools: Proficient in most of the following development tools and practices:  Java, J2EESpring Framework and Spring MVCJSR 168 and JSR 286OSGiEclipse, GIT, Maven, NexusJSP, ServletsHTML, CSS, JavaScriptXMLJunit and unit testing Experience in the following would be preferable: Liferay 7, or a minimum of Liferay 6.2FreemarkerApache HTTPD server, Apache Tomcat, NginxXML & XSL   BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater London-London Job: Information Technology Internal Jobcode: 60172 Organization: Asset Mgmt Technology-HR15726 Requisition Number: 1819111"
7,Lead - Process Improvement,"
Locations:
Pune, India
"," Requirements 
   

8+ years’ experience as a Scrum Master working in an Agile environment managing product or programs while demonstrating effective coordination across engineering (Dev/QE) and Product Owners

 Highly desirable is previous experience transitioning teams from Waterfall to Agile Scrum 
Strong conflict resolution, negotiation and leadership skills
Understanding of test-driven development and software test automation processes
Knowledge of continuous delivery practices  
Must be an excellent communicator, able to gain the respect of the team, external stakeholders, and leadership 

Demonstrated ability to understand business needs and drive predictability
Capable of owning JIRA changes to support organization needs
   
 Desired 

BS degree in computer science or equivalent
Scrum Master Certification or equivalent training
Experience in an engineering role
Experience in leading or managing individuals

 Comfortable delivering presentations to large groups 

 Experience in a start-up culture or company 

 Experience solving agile scale issues cross functionally   Qualifications  Strong conflict resolution, negotiation and leadership skills 
Understanding of test-driven development and software test automation processes
Knowledge of continuous delivery practices  
Must be an excellent communicator, able to gain the respect of the team, external stakeholders, and leadership 

Demonstrated ability to understand business needs and drive predictability
Capable of owning JIRA changes to support organization needs
   
 Desired 

BS degree in computer science or equivalent
Scrum Master Certification or equivalent training
Experience in an engineering role
Experience in leading or managing individuals

 Comfortable delivering presentations to large groups 

 Experience in a start-up culture or company 

 Experience solving agile scale issues cross functionally   For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Technology Solutions provides our business partners with client-focused, technology-based solutions. These enhance their ability to be successful through world-class software solutions and leading-edge infrastructure. Client Technology Solutions provides employees with the tools and resources to enhance their professional qualifications and careers.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Information Technology Internal Jobcode: 60546 Organization: BNY Mellon Technology-HR06363 Requisition Number: 1901376"
8,NEXEN Fullstack Developer,"
Locations:
Wroclaw, Poland
","
NEXEN is BNY Mellon's next-generation technology platform that consists of seven core components among others including private cloud, API store exposed to the clients and building blocks for frontend layer. 

AIS Nexen project is simply set of services making use of the above to deliver our internal and external clients tools to manage all kinds of investment funds. Apart functional projects we plan to migrate to newer version of Angular.

Team:


Location: USA, Poland, India
Size: 20 Devs (divided into smaller teams)
Office hours: ~9-17 
Travels: no
Work from home policy: on ad-hoc basis and irregular


Tech stack and tools:


Frontend:  AngularJS (1.2), Angular (5+), Bootstrap (v3.3.7), Angular Material 
Backend:  Java (1.8), Spring, Spring Integration, Spring Batch (4.3), Spring
Boot and OAuth 2
Deployment: private cloud infrastructure (VMs or containers), Docker,Jenkins, Sonar
Code Repository: GitLab
Development and knowledge base: IntelliJ, JIRA, Confluence, Scrum


Profile:


Design: 20% 
Development: 60% 
Tests: 10%
Support and maintenance/bug fixing: 10%

 Qualifications
What skills you should demonstrate:
 
 • Java 8, Spring 4+, Spring Integration, Spring Batch, Spring Boot, Spring MVC 
 • Apache Tomcat, PL/SQL, Maven, Mockito 
 • Formal education in Computer Science or Engineering 
 • Strong communication skills  
  What we can offer you:Full time contract of employmentCompetitive salaryHealth & Life InsuranceMultisport card / Cinema Tickets / Nursery subsidiaryPension schemeExcellent opportunities for training, growth and professional developmentOpportunities to engage in diverse projects due to growth of business migrationsA multitude of opportunities to get involved in additional charity projectsA collaborative culture and great teams

If you feel that this role is exactly what you are looking for, feel free to apply!

 
 
If you apply for this role this means you agree with the following statement:
 
Through my application for a role with BNY Mellon (Poland) sp. z.o.o. (the Company) I hereby authorize the Company to process my personal data for the purposes of recruitment. Furthermore I declare that I am aware of the voluntary submission of data and I am informed about the right to access the data and the right to correct it, pursuant to the Personal Data Protection Act of 29 August 1997 (Journal of Laws [Dz.U] No. 133, item 883)”. I authorise the Company to process my personal data for future recruitment processes.

Furthermore, I authorize BNY Mellon and its’ affiliates, Taleo (UK) Limited to process my personal data.

BNY Mellon and affiliates registration details.-

BNY Mellon (Poland) sp. z.o.o Registered office – Swobodna 3, 50-088 Wroclaw
The Bank of New York Mellon (International) Limited – 1 Canada Square, London, E14 5AL
The Bank of New York Mellon SA/NV – 46 Rue Montoyerstraat, B-1000 Brussels, Belgium
Taleo (UK) Limited Registered office - 78-586 Chiswick High Road, London W4 5RP, United Kingdom, 
Please note that during the recruitment process you may be asked to provide further information and supporting documents. The information provided may be verified and reviewed, to the extent permitted by the law, as to their veracity and accuracy.
 For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Technology Solutions provides our business partners with client-focused, technology-based solutions. These enhance their ability to be successful through world-class software solutions and leading-edge infrastructure. Client Technology Solutions provides employees with the tools and resources to enhance their professional qualifications and careers.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Poland-Dolnoslaskie-Wroclaw Job: Information Technology Internal Jobcode: 60172 Organization: Asset Servicing Technology-HR07302 Requisition Number: 1817920"
9,Tech Lead App Dev,"
Locations:
Pune, India
","Tech Lead - Applications Development>> Provides application software development services or technical support in situations of moderate complexity. May also be responsible for requirements gathering and BRD/SRD preparation. Has thorough knowledge of the Software Development Life Cycle. Conducts reviews of the test Plan and test Data. Manages a small team of Developers, including but not restricted to PMP & Compensation related activities. Writes new programs of moderate complexity and scope, working with basic application system designs and specifications, utilizing BNY Mellon's standard development methodology, procedures and techniques. Designs and codes programs, and creates test transactions and runs tests to find errors and revise programs. Prepares the final and detailed versions of system modification requirements and ensures turnovers are done on time and correctly. Interfaces with architects to design, code, test and implement application programs. Conducts analysis of organizational needs and goals for the development and implementation of application systems. Proposes innovative, creative technology solutions. Supervises a team by providing instruction, making assignments, directing and checking the work of applications developers. Provides training in technical tools and skills, as well as specific applications and their business functions to maximize their contribution. Completes final testing for conformance to standards and adherence to design specifications. Provides application and user support, troubleshooting, application testing, and post-implementation review of new/changed applications. Develops, enhances, and maintains quality application systems to support the client area. Manages a small development team. Contributes to the achievement of related teams' objectives.  Qualifications Bachelor's degree in computer science engineering or a related discipline, or equivalent work experience required, 4-6 years of experience in software development required. Experience in the securities or financial services industry is a plus. Should have thorough knowledge of the software development cycle. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Technology Solutions provides our business partners with client-focused, technology-based solutions. These enhance their ability to be successful through world-class software solutions and leading-edge infrastructure. Client Technology Solutions provides employees with the tools and resources to enhance their professional qualifications and careers.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Information Technology Internal Jobcode: 60624 Organization: Operations & Shared Technology-HR13644 Requisition Number: 1901609"
