0,"Sr. Rep, DataTrans,Integ&Qual","
Locations:
Pune, India
","Data Transfer, Integration and Quality Analysis - S4 Independently completes data entry tasks and requests from throughout the organization. Fully adheres to defined processes for confirming that data processing is performed in compliance with department standards and company policy. Responsible for ensuring the support teams accurate completion of daily data management activities and escalation of identified errors in compliance with data procedures. Works effectively with external vendors that handle data enrichment to confirm use of correct information and with Data Governance team to confirm use of correct data points. Uses long-standing relationships with these teams to negotiate and resolve issues. Identifies errors in use of information and data. Directly addresses findings with external vendors and the Data Governance team. Expertly uses data systems and approved processes to create or amend ID numbers for customers. Reviews entries and errors identified from more junior team members and provides feedback or approval to submit. Analyses highly-complex data to confirm client information is correct within the database. Runs reports on data sources and reviews to ensure proper data handling procedures were followed. Escalates procedural errors to management and assists when addressing errors with clients. Provides guidance to more junior team members and reviews their work for accuracy. Provides feedback to guide performance improvement. No direct reports. Contributes to the achievement of team objectives. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 3-5 years of total work experience preferred. Experience with basic visualization tools preferred. Qualifications Bachelors Degree with 3-5 years experience preferred BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Asset Management Internal Jobcode: 70142 Organization: BNYM IM EMEA Ltd-HR14104 Requisition Number: 1901251"
1,Investment Management Market Research Analyst,"
Locations:
New York, New York
","MBC Investments Corporation seeks Investment Management (IM) Market Research Analyst in New York, NY, to serve as key stakeholder of the market strategy team’s capital markets research products and other content creation for the firm’s investment management business. Requirements: Bachelor’s degree or equivalent in Finance, Economics, or a related field and 3 years of experience in the job offered or related occupation: performing quantitative, statistical, and econometric modeling; collecting macroeconomic data and performing data analysis; researching financial market activity, macroeconomic, and investment trends; summarizing current economic trends and forecasts for senior management and internal stakeholders; conducting independent and counter-consensus analyses of macroeconomics, financial markets, and the effect of financial market dynamics on asset classes; and utilizing Microsoft Office, Bloomberg, Factset, and Global Financial Data. Qualified applicants please apply online at www.bnymellon.com/careers and utilize reference code #1816259.  Please indicate “referral source – advertisement – EXT”
  Qualifications   BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 33672 Job: Asset Management Organization: Product Strategy & Perf-HR14831 Requisition Number: 1816259"
2,Research Analyst,"
Locations:
Pune, India
","The incumbent will work with onshore research team and support quantitative research process related to active fixed income strategies.  She/he will possess extensive knowledge of all major sectors of the fixed income market (and associated derivatives) as well as the valuation considerations and research techniques most effective for each market.  She/he will test, and recommend enhancements to improve the efficiency and structure of the research process.  The ideal candidate should be detail oriented and highly organized.

Masters degree.  Ph. D. or masters degree in quantitative field such as Physics, Economics, Finance, Math, Engineering from premier institutes IIT/IIM preferred.  0-4  years in financial services industry preferred. Qualifications Masters degree. Ph. D. or masters degree in quantitative field such as Physics, Economics, Finance, Math, Engineering from premier institutes IIT/IIM preferred. 0-4 years in financial services industry preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As one of the world's leading investment management organizations and one of the top U.S. wealth managers, BNY Mellon Investment Management combines agility, insight and scale to create and deliver strategies and solutions to address our clients' needs. Encompassing BNY Mellon's investment management firms, wealth management organization and global distribution teams, we draw on deep expertise to collaborate with clients and tailor our best ideas and resources to meet their specific needs. We pride ourselves on providing dedicated service through our network of global professionals who have a deep understanding of local requirements.  
 
With our extensive experience in anticipating and responding to the investment and financial needs of the world's governments, pension plan sponsors, corporations, foundations, endowments, advisors, intermediaries, individuals and families, and family offices, BNY Mellon Investment Management is dedicated to helping clients reach their goals.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Asset Management Internal Jobcode: 53600 Organization: NA Investment Boutiques-HR13428 Requisition Number: 1812265"
3,GHR Specialist,"
Locations:
Uniondale, New York
"," The Global Holdings Reporting Group (GHR Group) coordinates the delivery of securities holdings data from BNY Mellon entities worldwide; analyzes the data against various shareholder reporting requirements of 40+ jurisdictions globally; and prepares International Disclosure forms, Takeover Panel forms, Short Positions forms, Large Treasury, 13H and 13F&G filing forms for review, execution and delivery by the GHR Rules and Guidance team on behalf of The Bank of New York Mellon Corporation and/or its subsidiaries. The GHR Group also monitors limits and restrictions on holdings in accordance with Section 3 and 4 of the US Bank Holding Companies Act.  The goal of the GHR group is to provide timely and accurate operational support as part of BNY Mellon’s compliance culture.   
   
 Responsibilities include: 
 Take on a leadership role in projects, get involved in testing of files and data maintenance. Work jointly with the data steward team to ensure data integrity. Work with the subsidiaries to resolve data issues. Incumbent must be proficient in Excel specially pivots and vlookup, dealing with large amount of data and perform complex analysis using their securities knowledge. Should be comfortable doing Bloomberg lookups and securities research. Be responsible for access control and monthly review of users for the data warehouse. In addition, also be involved in daily and monthly operational tasks.   Qualifications 
BS/BA or equivalent; Masters preferred. 
5 -7 years experience preferred. 
Knowledge of Securities.
 
Preferred Qualifications:

Excellent analytical and communication skills.  
Problem solver, team player, and able to work effectively under pressure and strict deadlines. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-Uniondale Internal Jobcode: 31825 Job: Asset Management Organization: IM Infrastructure-HR14826 Requisition Number: 1900659"
4,Sr Data Admin Ops,"
Locations:
Uniondale, New York
"," The Global Holdings Reporting Group (GHR Group) coordinates the delivery of securities holdings data from BNY Mellon entities worldwide; analyzes the data against various shareholder reporting requirements of 40+ jurisdictions globally; and prepares International Disclosure forms, Takeover Panel forms, Short Positions forms, Large Treasury, 13H and 13F&G filing forms for review, execution, and delivery by the GHR Rules and Guidance team on behalf of The Bank of New York Mellon Corporation and/or its subsidiaries. The GHR Group also monitors limits and restrictions on holdings in accordance with Section 3 and 4 of the US Bank Holding Companies Act.  The goal of the GHR group is to provide timely and accurate operational support as part of BNY Mellon’s compliance culture.  
   
 The primary function of the role is analyzing data for the preparation of daily execution of timely disclosures to regulators and issuers with a strong focus on data quality. Participate in a number of daily/monthly monitoring activities and report reviews. Keep logs and procedures updated. Maintain monthly scorecard for various activities including regulatory filings, special requests from Senior Management and legal. The individual will be responsible for interacting with our Rules and Guidance team, offshore team in Pune, India, Investment Management/Asset Servicing firms and Technology departments.   Qualifications 4 years knowledge of financial products. College Degree in Finance or Economics preferred. Technical knowledge of database programs a plus. Ability to work with other lines of business to resolve issues as they arise and deliver resolutions to problems in a timely manner. Excellent analytical, communication and interpersonal skills. Proficient with personal computers and general office automation products. Ability to function effectively under pressure and adhere to strict deadlines. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-Uniondale Internal Jobcode: 03709 Job: Asset Management Organization: IM Infrastructure-HR14826 Requisition Number: 1900661"
5,Senior Portfolio Analyst,"
Locations:
Boston, Massachusetts
"," OUR COMPANY: 
 Mellon is a specialist multi-asset investment management firm dedicated to serving sophisticated investors globally, providing clients with high-quality single and multi-asset investment solutions using both active and passive strategies. Coming together in 2018 through the combination of Mellon Capital, Standish, and The Boston Company, the combined asset manager has the scale and investment capabilities to offer institutional and intermediary clients a broad range of specialist investment solutions. The Boston Company, Standish, and Mellon Capital are product brands of BNY Mellon Asset Management North America. 
   
   
 The Senior Portfolio Analyst is responsible for assisting Portfolio Managers in complex aspects of the management of portfolios, both domestic and international along with researching of potential business profitability.  The Senior Portfolio Analyst will also work closely with the Portfolio Managers to calculate the effect of any strategy changes on the portfolio and analyze the suitability of the transaction.  
   
 Responsibilities also include: 


 Interpret performance attribution, tracking error reports, and generate other portfolio analytics.  

 Investment reporting and analytics for their assigned investment teams, and support the marketing and client service teams with data requests. 

 Prepare trades and monitor and clear compliance notifications.  

 Interpret performance attribution and track error reports in order to generate other portfolio analytics.  

 Conduct research and detailed portfolio analysis, and prepare reports to be utilized for impactful business decisions.  Qualifications 
Bachelor's degree or the equivalent combination of education and experience is required. MBA and/or CFA preferred. 
3-5 years prior financial/investment experience. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As one of the world's leading investment management organizations and one of the top U.S. wealth managers, BNY Mellon Investment Management combines agility, insight and scale to create and deliver strategies and solutions to address our clients' needs. Encompassing BNY Mellon's investment management firms, wealth management organization and global distribution teams, we draw on deep expertise to collaborate with clients and tailor our best ideas and resources to meet their specific needs. We pride ourselves on providing dedicated service through our network of global professionals who have a deep understanding of local requirements.  
 
With our extensive experience in anticipating and responding to the investment and financial needs of the world's governments, pension plan sponsors, corporations, foundations, endowments, advisors, intermediaries, individuals and families, and family offices, BNY Mellon Investment Management is dedicated to helping clients reach their goals.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Boston Internal Jobcode: 80015 Job: Asset Management Organization: NA Investment Boutiques-HR13428 Requisition Number: 1901222"
6,"Mellon, Client Service Representative","
Locations:
Pittsburgh, Pennsylvania
","Mellon is a global multi-specialist manager dedicated to serving our clients globally with a full spectrum of single and multi-asset investment strategies and solutions. With roots dating back to 1933, Mellon has been innovating across asset classes for generations and has the combined scale and capabilities to offer clients a broad range of solutions. From asset class expertise to broad market exposures, clients drive what we do. We are holistic in approach, client driven and committed to investment excellence. We aim to be a key partner for our clients by delivering customized investment outcomes and best-in-class service.
 
General Summary
The Client Service Representative (CSR) position involves joining a team with the objective of servicing our clients to the best of our ability in a timely and professional manner.  The CSR will support a number of Relationship Managers in the servicing of their client relationships.  This requires learning the legal and investment issues surrounding our institutional client relationships as well as Mellon’s client service internal policies and procedures.  The CSR will be primarily responsible for account documentation, database maintenance, acting as the primary internal contact for Relationship Managers (RMs), serving as the secondary client contact to RMs and completing various client service projects. 
 
Essential Responsibilities


 Assist RMs in handling various types of client requests  

 Responsible for the complete, accurate and timely compilation and review of legal and operations items, including documentation for new client fundings, strategy changes and terminations 

 Properly organize legal files and ensure all documentation and contracts are received in the appropriate timeframe 

 Update and maintain the client databases with consistency and accuracy 

 Fulfill client communication requirements, including submission of summary cards to Client Reporting and maintenance of Client Service correspondence files 

 Respond to client and auditors’ requests, process cash notifications and participate in new account onboarding 

 Create and maintain various client lists, including the watch list, client alert list, and holiday card list 

 Maintain up-to-date procedures for client service; post on the shared portal and client home pages 

 Assist with or coordinate projects as assigned; maintain client service project files 

 Serve as back-up to Relationship Managers as necessary 
  Qualifications Minimum Experience, Skills, Certification or Academic Background Required


 BA or BS degree in business, economics or finance or equivalent work experience required 

 Three to five years’ experience in investment or trust field 

 CSR will need to obtain or possess Series 3, 7, 63 Licenses 

 Excellent organizational skills and an aptitude for details while working under strict deadlines 

 Accurate and timely completion of projects 

 Excellent communication skills 

 Knowledge of Excel, Word, Power Point and database applications 

 Excellent interpersonal skills with an emphasis on team work 

 Education or experience in legal contracts, accounting and/or finance is a plus 
  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 07209 Job: Asset Management Organization: NA Investment Boutiques-HR13428 Requisition Number: 1900387"
7,Quantitative Analyst,"
Locations:
Boston, Massachusetts
","Hiring founding members to build a core team for an exciting trading research and development effort. Our group provides all trading-related services to a Boston-based asset management firm, with a global, multi-asset investment footprint. Get involved from the ground-up, as we design, architect and build a state-of-the-art platform, to empower extensive research and real-time analytics, in support of a global, multi-asset trading organization. Help us build a fast-paced, ambitious, yet cerebral and collegial culture of a start-up effort, while enjoying the benefits of an established, stable asset management firm and one of the world’s greatest financial services companies.
 
Responsibilities
•       Play a significant role in design, research, development and deployment of:
•       Suite of contextual trading analytics
•       Proprietary trading research library
•       Multi-asset class market Impact models
•       Real-time decision support tools
•       Provide domain expertise in solving research-intensive portfolio implementation challenges
•       Present research findings to internal and external clients and constituents
•       Develop and maintain expert-level understanding of market micro structure globally and across asset classes
•       Embrace and promote API-driven solutions, utilizing open source resources and cloud-based architecture
•       Develop research quant libraries
•       Collaborate with internal teams and vendors to implement research in the production environment
 
Requirements
•       Degree in computer science, statistics or similar – PhD highly preferred 
•       3+ years’ experience in research and data science roles
•       Solid coding skills in Python, R, C++ or Java
•       Keen understanding of REST, gRPC and other API-related frameworks, concepts and tools
•       Exposure to and comfort with high performance, low latency computing systems
•       Experience with real-time systems
•       Proficiency with AWS, Azure or other cloud-based environments
•       Handling real-time market data feeds across asset classes and regions
•       Deep knowledge of time series database technologies
•       Experience in PostgreSQL, Redis and other DB solutions
•       Expertise in ML and optimization technologies
•       Deep understanding of financial engineering and mathematical finance concepts
•       Collegial and collaborative disposition – team player!
•       Great presentation skills – be able to present research findings to a wide range of audiences
  Qualifications Bachelor's degree or the equivalent combination of education and experience. Advanced degree in quantitative analysis preferred. 10+ years total work experience preferred. Experience in quantitative finance and technology preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As one of the world's leading investment management organizations and one of the top U.S. wealth managers, BNY Mellon Investment Management combines agility, insight and scale to create and deliver strategies and solutions to address our clients' needs. Encompassing BNY Mellon's investment management firms, wealth management organization and global distribution teams, we draw on deep expertise to collaborate with clients and tailor our best ideas and resources to meet their specific needs. We pride ourselves on providing dedicated service through our network of global professionals who have a deep understanding of local requirements.  
 
With our extensive experience in anticipating and responding to the investment and financial needs of the world's governments, pension plan sponsors, corporations, foundations, endowments, advisors, intermediaries, individuals and families, and family offices, BNY Mellon Investment Management is dedicated to helping clients reach their goals.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Boston Internal Jobcode: 70693 Job: Asset Management Organization: NA Investment Boutiques-HR13428 Requisition Number: 1901005"
8,UK Client Services Team Leader,"
Locations:
London, United Kingdom
","
Job Purpose: 
 
IM EMEA provides access to BNY Mellon Investment Management’s Subsidiaries, comprising primarily of Mutual Funds and Institutional Asset Management. The role sits within the Wholesale Sales division, distributing primarily Mutual Funds, and occasionally Institutional Mandates to Asset Managers, Banks, and Fund of Funds & Large Distributors. Fluency in English is essential. 
 
Responsibilities:

Responsible for oversight of UK Client Service department.
Will liaise on regular basis with counterpart overseeing European Client Service department to ensure standardization of procedures and integration of joint procedures.
Responsible for oversight of daily workload and delivery.
Responsible for oversight of Client take on.
Responsible for management of client due diligence and maintenance of client files.
Responsible for management and oversight of team procedures, ensuring these are kept up to date, communicated and followed.
Work with other group departments in day-to-day work, process improvement, marketing/reporting enhancement and issue resolution.
Works with shared services and outsource providers in management / delivery of day-to-day procedures.
Attend and provide information to risk and other committees as required.
Ensure timely and accurate delivery of client reporting requirements
Constantly look to identify areas for improvement in the delivery of client service.
Keeps Management informed of progress, issues and areas for improvement
Attends fund management presentations and continually develops knowledge of BNY Mellon products, markets and economic issues. Compiles report following fund manager presentations and distributes to Sales Team
Fully understand and adhere to the company’s procedures covering anti financial crime matters, including but not limited to, AML, KYC and sanctions requirements, audit and Sarbanes-Oxley reviews.
Provide regular verbal and written reports to Head of Client Engagement
Generic Management Responsibilities:
 
General

Provide accurate and appropriate management information to Senior Management.
Comply with all corporate policies relevant to the functions managed including Health and Safety Policy.
 
Financial

Manage any delegated budget in a manner that will best serve LOB’s best interests and provide the Finance Department with monthly tracking and projection information.
 
Compliance

Be aware of current regulatory and legal obligations of the function managed.

Report any suspected breaches to the Compliance or Legal departments, as appropriate, immediately on discovery.
 Risk Management 

Monitor, document and report business risks and internal controls of the function managed, alerting Senior Management immediately of any significant changes.
Business Continuity


Maintain and test a current and effective continuity plan to ensure an appropriate response to any disruption to systems, information services, communications and office facilities.
Staff  (if appropriate)


Provide clear direction and leadership to teams managed.

Set professional example to staff.

Supports and encourage staff development, objective setting and appraisal.

Ensure adequate succession plans are in place for the functions managed. Qualifications
Person Specification:
 
Core Competencies:


Building Organizational Talent

Change Leadership

Client Orientation 

Developing Partnerships

Driving Execution

Operational Decision Making

Global Acumen
People Management Competencies:


Attracting & Retaining Organisational Talent

Developing & Coaching Others

Managing for Results
Job Specific Competencies:


Substantial experience in the investment management industry

Client Service experience essential 

Strong process knowledge required

Flexible to the needs of the business

Positive attitude

Adaptability
Technical Skills, Knowledge, Systems Knowledge 


MS Office suite
Academic/Professional Qualifications:

Graduate level education
Investment Management Certificate (IMC) qualification
#LI-DB2 BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater London-London Job: Asset Management Internal Jobcode: 51563 Organization: BNYM IM EMEA Ltd-HR14104 Requisition Number: 1900766"
9,Newton IM EMEA and APAC Relationship Manager,"
Locations:
London, United Kingdom
","Company Overview:
Newton Investment Management Limited is an active investment management firm, using thematic ideas about the long-term investment landscape to create and manage strategies that help secure clients’ futures. Newton thinks on a global basis, with its single London-based investment team working collaboratively across asset classes and regions. The firm builds bold solutions, designed to meet the real-world challenges clients face, and the team manage them responsibly in the broadest sense – through embedding environmental, social and governance considerations, and engaging on issues that affect their clients. Those clients are based around the world, and include pension funds, corporations and charities and, via Newton’s parent company BNY Mellon, individuals. 
 
With offices in London and New York, Newton has £55bn (as at 30 September 2017) under management, including assets managed by Newton Investment Management Limited as dual officers of Newton Capital Management Limited and The Bank of New York Mellon. News and other information about Newton is available at www.newton.co.uk and via Twitter: @NewtonIM
 
Newton employees are bright, inquisitive, thoughtful and collaborative. They are highly motivated to deliver performance and service to clients.  Newton prides itself on being an employer of choice, with a flexible working environment and a commitment to diversity and opportunity among its employees.  
 
Newton is a professional, friendly and collegiate place to work. The firm looks to attract individuals who are keen to work as part of a team, in a meritocratic environment, and who are driven to help make the organisation a great place to work.  
Job Purpose:
The primary objective of the Relationship Manager EMEA is to strengthen Newton’s partnership with BNY Mellon Investment Management EMEA (IM EMEA) and APAC (IM APAC) in order to maximise Newton’s exposure and opportunities in the EMEA & APAC regions and including both institutional and intermediary channels. Collaborating closely with fellow members of the Newton Partnered Distribution team and Newton’s Investment Specialist located in APAC, this multi-faceted role includes the following responsibilities: 

Product advocacy – educate and empower the BNY Mellon IM distribution teams, expand coverage of Newton strategies.

Business development – collaborate with IM EMEA & APAC sales and Newton teams to identify, develop, assist with and monitor business opportunities for Newton.

Relationship management – contribute to the management of the distribution relationship, enhancing processes, influencing the distribution agenda, driving accountability, establishing appropriate governance.

Client servicing – support the servicing of IM EMEA & APAC clients to ensure a high quality level of service which is aligned to Newton’s client service capability where possible.
In order to execute these responsibilities, the Relationship Manager must develop and continually enhance an in-depth knowledge of investment management, the business and the portfolios/strategies most relevant to the EMEA & APAC regions, conveying this knowledge to all key stakeholders as required.  In doing so, the Relationship Manager will ensure that Newton’s solutions, as well as Newton’s/BNY Mellon’s messaging and investment-related material remains timely, accurate, useful and aligned to clients’ needs. The Relationship Manager will partner with the broader Partnered Distribution resource and the BNY Mellon teams to empower BNY Mellon’s business development efforts by assisting with the creation of product-specific training; educating clients and prospects on Newton’s investment process and solutions; and, where required, providing marketing material and associated portfolio information.  They will also support BNY Mellon business development, prospect and client relationship management efforts by providing portfolio messaging support to the BNY Mellon stakeholders. They will monitor and assist with new business opportunities and assist with the accurate tracking of these using Salesforce.The Relationship Manager will assist with Newton-related investment queries from stakeholders, liaising with different parts of both businesses to produce a timely and accurate response.  They may also be required to attend client and prospect meetings, as requested by BNY Mellon and/or Newton, to convey investment knowledge (as outlined above) or to host/coordinate the meeting if required.  This could be for IM EMEA, APAC or NA.Relationship management efforts will focus on contributing to the management of the distribution relationship and assist with the enhancement of processes and communication between both businesses, influencing the distribution agenda, driving accountability and establishing appropriate governance.  They will highlight any perceived opportunities and challenges to business growth or retention in the region to Head of Strategic Relationships EMEA and Newton’s Investment Specialist in APAC.  All meaningful interactions with BNY Mellon or other stakeholders will be documented, keeping other relevant stakeholder informed/copied into emails.  In addition to this, the Relationship Manager will, in collaboration with Newton’s Client Service team, support the servicing of BNY Mellon clients to ensure a high quality level of service, which is aligned to Newton’s client service capability where possible.  They will also assist with the coordination of portfolio manager interactions with BNY Mellon teams and clients/prospects, including visits to region, ensuring full briefing given to portfolio managers and other Newton staff in advance of meetings. 
 
Responsibilities:
 
Product advocacy


Assist with the coordination and production of responses to stakeholder queries in a timely manner – seeking input from the broader Partnered Distribution team, Head of Strategic Relationships EMEA and the Newton investment team as required.  Share responses with colleagues and, where notable, other relevant teams across both businesses to drive efficiency; leverage global expertise; and encourage communication culture, idea generation and best practice.

Assist with the coordination and completion of RFPs and DDQs for opportunities in both the EMEA and APAC regions.

Assist with the coordination and planning for client or prospect meetings and the production of associated material, attending/hosting the meeting as required.

Assist with the education and empowerment of the BNY Mellon distribution teams, expanding coverage of Newton strategies.  Assist with the creation of product training to relevant BNY Mellon colleagues and distribution partners (e.g. intermediaries) as required; lead coordination and implementation of product training programs to meet BNY Mellon’s needs (as outlined in Newton-BNY Mellon Quarterly Boutique Reviews).

Convey knowledge to all stakeholders (defined above) in order to improve their understanding of Newton’s investment offering and portfolios; and support BNY Mellon’s distribution and business development efforts (and, in doing so, contribute to Newton revenue and AUM growth ambitions).

Suggest improvements to existing messaging and materials (e.g. presentation, RFP database) to better connect with local audience based on own views and stakeholder feedback. 

Develop and enhance investment knowledge and a solid understanding of Newton’s investment products and processes.  Identify areas to improve knowledge and understanding, addressing these through close interaction with the Head of Strategic Relationships EMEA and Newton’s Investment Specialist in APAC, as well as the Newton investment team, review of literature and pursuit of relevant qualifications. 

Regular attendance and participation in investment team meetings as required/appropriate (e.g. morning meeting, team meetings).

Understand and ensure compliance with local regulations and reporting requirements.
Business development 


Collaborate with the BNY Mellon sales and Newton teams to identify, develop, assist with and monitor business opportunities for Newton.

Highlight opportunities and challenges to business growth or retention in the region Head of Strategic Relationships EMEA and Newton’s Investment Specialist in APAC.  

Document all meaningful interactions with BNY Mellon or other stakeholders and keep other relevant stakeholder informed/copied into emails.  

Use Salesforce to accurately track Newton’s pipeline in the region, engaging with BNY Mellon to ensure the most timely, accurate and relevant data and MI possible.

Regular attendance and participation in the Newton Weekly Institutional/Intermediary Meeting. 
Relationship management 

Contribute to the management of the distribution relationship through the enhancement of processes to ensure that both businesses collaborate and communicate effectively.

Influence the distribution agenda to maximise Newton’s exposure and opportunities in the region, ensuring that the IM EMEA distribution agenda remains relevant and aligned to Newton’s strategic objectives. 

Driving accountability through engagement with BNY Mellon stakeholders and by helping to establish appropriate governance and review of BNY Mellon’s Newton-related activities.

Work closely with and maintain good working relationships with BNY Mellon and Newton colleagues   
Client servicing


Support the servicing of BNY Mellon clients, in close liaison with Newton’s Client Servicing team, to ensure a high quality level of service that is aligned to Newton’s client service capability where possible.
Assist with the coordination of portfolio manager interactions with BNY Mellon teams and clients/prospects, including visits to region, ensuring full briefing given to portfolio managers and other Newton staff in 
  Qualifications Qualifications/Skills:

Three years’ of experience in the financial services or asset management industry.
Investment Management Certificate.
  #LI-DB2  BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater London-London Job: Asset Management Internal Jobcode: 53954 Organization: Newton-HR06148 Requisition Number: 1901073"
