0,"Prin, Corp Opl Risk","
Locations:
Pittsburgh, Pennsylvania
","
The Operational Risk Aggregation & Portfolio Analysis team is responsible for developing and generating enterprise level Operational Risk reports for Executive Management, the Board, select Legal entities, regulators and the broader community managing operational risks to help understand the enterprise operational risk portfolio to inform strategic decision making.    
Assist with developing strategic reporting approach and report formats, and drive execution and implementation of enhanced Operational Risk reporting. 
Build awareness across the Firm on availability of Operational Risk reporting tools and capabilities.  Build solid relationships with senior management and other stakeholders to define reporting frequency and requirements. Support Team Lead in developing reports, training manuals, and providing training.
Manage communication vehicle for the Operational Risk management community.  Coordinate required Operational Risk communication updates.
Coordinate related Operational Risk Management initiatives as necessary and manage ad hoc requests.
Assist with developing aggregate operational risk reporting for senior management.
  Qualifications Bachelor s degree or the equivalent combination of education and experience is required. 10-12 years of total work experience preferred. Exceptional verbal and written communications skills are essential.  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 85189 Job: Risk Organization: Risk-HR06016 Requisition Number: 1901547"
1,"Senior Specialist, Technology Risk Management","
Locations:
Wroclaw, Poland
"," Overview Of BNY Mellon: 
   
 BNY Mellon is a global financial services company focused on helping clients manage and service their financial assets, operating in 35 countries and serving more than 100 markets. BNY Mellon is a leading provider of financial services for institutions, corporations and high-net-worth individuals, providing superior asset management and wealth management, asset servicing, issuer services, clearing services and treasury services through a worldwide client-focused team. 
   
 Team Overview: 
   
 The role forms part of the Technology Risk Management (TRM) organisation at BNY Mellon. TRM is divided into functional teams globally. 
 The department’s remit includes: 

Risk Assurance
Policy & Awareness
Regulatory & Compliance
Metrics & Reporting
 This role forms part of the Risk Landscape & Control Effectiveness teams, which are a part of Risk Assurance. 
   
   
 Job Purpose: 
   
 Senior Specialist is the most senior, non-manager role in TRM Poland team. The role main responsivities are: 


 Driving the interpretation and enforcement of technology risk policies across the business and evaluating its technology risks. 

 Supporting development of End-to-end technology risks picture of BNYM Services and key technology initiatives.  

 Contributing to the development of the organizational technology risk management framework and strategy, and collaboration with other subject matter experts to determine appropriate methods, policies and procedures for enforcing adherence to the framework.  

 Evaluating design and operational effectiveness of global IT controls, and providing recommendations on risk treatment.  
   
   
 Responsibilities: (Key parts to the job role)

Leading major technology risk and control effectiveness initiatives, projects and assessments.
Supporting management of major technology risk initiatives pertaining to Cyber Security, IT Security Architecture, Information and Data Management, Information Protection, IT Asset Management, Incident Management, and others.
Supporting team heads in managing the department.    Qualifications Must have


 Demonstrated ability to deliver 

 IT Risk experience (+5 years) and/or 

 InfoSec experience (+5 years) 

 Excellent stakeholder management and communication (verbal and written) skills – demonstrated ability to influence a global organization at a senior-most management level 

 Expert level knowledge in 2 or more: Application Security, Governance, Compliance & Audit, Identity & Access Management, Incident Handling & Analysis, Cloud Security, Network Security, Security Testing, Security Architecture, Threat/ Vulnerability Assessment Management, BCM & DR 

 Natural curiosity and confidence with a willingness to respectfully challenge stakeholders 

 Leadership and time management skills 

 At least one information risk and/or security qualification (CISSP, CRISC, CISM or equivalent) 
Good to have


 Windows/Unix/Linux hands on admin/sec experience 

 Network Security hands on experience 

 IT Audit experience 

 Frameworks and best practices knowledge (NIST, ISO 27000, OWASP etc.) 

 Project Management experience 
What we can offer you:


 Full time contract of employment 

 Competitive salary 

 Health & Life Insurance 

 Multisport card / Cinema Tickets / Nursery subsidiary 

 Pension scheme 

 Excellent opportunities for training, growth and professional development 

 Opportunities to engage in diverse projects due to growth of business migrations 

 A multitude of opportunities to get involved in additional charity projects 

 A collaborative culture and great teams 
 
 
 
 
If you apply for this role this means you agree with the following statement:
 
Through my application for a role with BNY Mellon (Poland) sp. z.o.o. (the Company) I hereby authorize the Company to process my personal data for the purposes of recruitment. Furthermore I declare that I am aware of the voluntary submission of data and I am informed about the right to access the data and the right to correct it, pursuant to the Personal Data Protection Act of 29 August 1997 (Journal of Laws [Dz.U] No. 133, item 883)”. I authorise the Company to process my personal data for future recruitment processes.

Furthermore, I authorize BNY Mellon and its’ affiliates, Taleo (UK) Limited to process my personal data.

BNY Mellon and affiliates registration details.-

BNY Mellon (Poland) sp. z.o.o Registered office – Swobodna 3, 50-088 Wroclaw
The Bank of New York Mellon (International) Limited – 1 Canada Square, London, E14 5AL
The Bank of New York Mellon SA/NV – 46 Rue Montoyerstraat, B-1000 Brussels, Belgium
Taleo (UK) Limited Registered office - 78-586 Chiswick High Road, London W4 5RP, United Kingdom, 
Please note that during the recruitment process you may be asked to provide further information and supporting documents. The information provided may be verified and reviewed, to the extent permitted by the law, as to their veracity and accuracy.
 For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Risk and Compliance provide risk and compliance services across all BNY Mellon businesses. Organizationally, Risk and Compliance includes the following groups: Risk Management, Compliance, Global Corporate Security, Information Risk Management and Global Business Continuity.  Risk Management oversees and delivers risk services and ensures new business risks are reviewed and approved.  Risk Management is organized through Chief Risk Offices for each core business and critical operation. Risk managers provide shared support to BNY Mellon for operational risk services for Global Corporate Trust, Depositary Receipts, Treasury Services and Global Operations in EMEA.  Compliance helps ensure BNY Mellon's businesses maintain appropriate processes to comply with applicable laws, regulations, BNY Mellon policies and ethics.  This is accomplished through business- and business partner-specific teams of professionals, under centralized global management.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Poland-Dolnoslaskie-Wroclaw Job: Risk Internal Jobcode: 85301 Organization: Technology Risk Mgmt-HR06032 Requisition Number: 1812491"
2,"Specialist, Control (Control Management - Centralized IOA Oversight Team)","
Locations:
Pittsburgh, Pennsylvania
","Control - IC3 Identifies, analyzes, monitors and minimizes most complex areas of control testing, control and risk education, and operational and risk support activities to the business and manages projects to adjust or create controls required to meet regulatory and corporate expectations. Will assist with team responsibilities for implementing governance and oversight activities for internal operating accounts (IOAs) regardless of business line, system and platform. Standardize, implement, and revise as necessary policy and processes associated with internal operating accounts. Supports data analytics and internal reporting. Leads projects/analyses and may assign work to other team members. Leads the control and risk management testing and reporting. Operating with a high degree of independence, conducts analyses and leads projects to improve internal controls that keep up with regulations and corporate standards. Ensures that existing control are documented. Works with the business to understand the controls currently in place to minimize risk. May help design and deliver risk management training programs to ensure that proper control procedures are understood and followed. Reviews documentation for evidence of successful and efficient performance of control procedures. Identifies deficiencies in data systems and creates processes to improve defenses Assists in analyzing technology and market trends to determine potential resulting risks to the organization and how to address risks across businesses. May supervise the work of junior control professionals Contributes to the achievement of area objectives. Supports multiple, complex projects and owns project timelines. Provides input into the development of controls and protocols for the function.
  Qualifications Bachelor’s degree or equivalent combination of education and work experience required. Proficiency in MS Office software. Advanced degree preferred 5-7 years of total work experience preferred. Experience in the securities or financial services industry is preferred.
  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70321 Job: Risk Organization: CM - Control Operations-HR17544 Requisition Number: 1901225"
3,"IT Risk Analyst,Sr Specialist","
Locations:
Pittsburgh, Pennsylvania
","IT Risk Analyst, Sr Specialist->> Identifies, analyzes, monitors and minimizes highly complex areas of risk that pertain to information technology. Leads coordination with disaster recovery and data security teams. Provides high value input into risk reports on complex issues. Presents reports to the business areas and CTS management. Leads complex projects that involve working with the businesses to improve controls that would mitigate any deficiencies. Ensures controls meet regulatory and organization standards. Develops and improves risk systems, methodologies and limits. Remains aware of CTS and market trends to determine potential risks to the organization. Recommends and leads any resulting change needed to mitigate risk. Contributes to the achievement of area objectives.  Qualifications Bachelor's degree in computer science or a related discipline, or equivalent work experience required, advanced degree preferred, 8-10 years of related experience required, experience in the securities or financial services industry is a plus. ISACA certifications preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 45157 Job: Risk Organization: Office of the CIO-HR06033 Requisition Number: 1901261"
4,"Specialist, Capital Adequacy","
Locations:
Wroclaw, Poland
","BNY Mellon Science represents the strategic centre of excellence for quantitative and analytical work focused on risk mitigation across BNY Mellon globally, delivering valuable insight and risk quantification across the firm. BNY Mellon Science has grown rapidly and today represents a highly motivated and engaged team of skilled professionals with expertise in financial industry practices and regulation demanding deep quantitative talent. The team works closely with colleagues across BNY Mellon to support the firm’s Capital Adequacy, Market Risk and Enterprise Risk modelling and data analytics; alongside quantitative support for the annual Comprehensive Capital Analysis and Review (CCAR) Stress Test. The resources within BNY Mellon Science are working towards supporting other innovative quantitative and analytical solutions for the wider firm as a part of their strategic objectives for 2018 and into the future.
 
 
Overview Of BNY Mellon
 
BNY Mellon is a global financial services company focused on helping clients manage and service their financial assets, operating in 36 countries and serving more than 100 markets. BNY Mellon is a leading provider of financial services for institutions, corporations and high-net-worth individuals, providing superior asset management and wealth management, asset servicing, issuer services, clearing services and treasury services through a worldwide client-focused team. 
 
 
Team Description: (Overview of the team)
 
This is a key role supporting the delivery of the Firm-wide Stress Tests , the Internal Capital Adequacy Assessment Process, and the RRP (Recovery and Resolution plan) capital stress testing assessments for the legal entities of BNY Mellon in the United Kingdom and Ireland. The role will have exposure to the wide range of Business Lines and support multiple projects improving the Economic Capital Analysis and the Capital planning processes.
 
 
Job Purpose: (What the job role involves)
 
The purpose of the team is to assess/analyse the level of capital required to offset the material risk exposures in a business as usual environment and stressed conditions and provide recommendations to the business.
 
 
Responsibilities: (Key parts to the job role)
 
The successful candidate will support the delivery of the ICAAP document, elements of the RRP, and contribute to the performance of stress testing including regulatory stress testing. This role can expect a significant exposure to risk and business leaders within the organisation.
 
 
Deliver firm economic capital assessments, including:


 Analyse/assess the broad range of risks faced by the legal entity and incorporate these into the capital assessments (base case and stressed). 

 Assess vendor provided macro-economic stress scenarios, and propose possible scenarios to the Capital and Stress Testing Committees. 

 Contribute to the performance of internal and regulatory stress tests 

 Perform on-going monitoring, review, assessment of regulatory changes that affect the Entity`s ability to undertake stress testing/ICAAPs. 

 Enhance the stress testing infrastructure to increase efficiency, control and speed of the stress test process (including propose ways to increase efficiency, and lead in its delivery). 

 Participate in projects to further develop the stress test processes including reverse stress testing and leading the improvement of risk models. 

 Participate in end to end enterprise wide stress test process to quantify the capital impacts of various stress scenarios, and propose possible management actions to mitigate/reduce impacts (this includes economic downturn and other stress test scenarios). 

 Conduct stress test tool development and analysis. 

 Reviewing all relevant policies (stress testing, Basel and Capital Adequacy etc.), monitoring any policy gaps and driving initiatives to ensure compliance. 

 Resolve economic capital issues and questions generated from Risk, Treasury and Finance (i.e. in relation to capital management/planning). 

 Maintain and expand detailed ICAAP/Stress Testing procedural documentation. 

 Organise the ICAAP production, contribute to sections of the ICAAP document and support production of other ICAAP sections as required. 

 Contribute to sections of the RRP document and support production of other RRP sections as required. 

 Analyse economic capital results (includes preparing stress testing documentation, and relevant committee packs). 

 Analyse and challenge the Expected Credit Loss under IFRS9, and prepare the committee approval. 
 Qualifications 

 Experience of ICAAP and economic capital stress testing within a regulated institution is a plus. 

 Awareness of Economic Capital and Governance Regulatory requirements. 

 Experience in economic capital modelling and capital stress testing is a plus. (Understanding of capital assessment and stress testing processes necessary). 

 Degree in statistics, business finance, economics, mathematics, or related field. 

 Able to work under tight schedules and consistently meet objectives. 

 Must be able to effectively communicate complex information and recommendations to both technical and non-technical audiences (written and verbal). 

 High level of PC literacy, especially in areas of complex data analysis. 

 Must have strong Excel skills.   

 Proven track record of project delivery with experience to handle multiple projects simultaneously. 

 Excellent interpersonal skills including oral and written communication skills; strong team player, accountable, good organisation and planning skills and a keen commercial instinct. Strong fluency in English. Highly self-motivated, with an ability to work on own initiative within a challenging/dynamic work environment. 

 Ability to interface with various functions in a multi-cultural environment. 

 Good knowledge of the financial services industry, related to regulatory capital management regulation and practices. 

 Experience in Financial Services in banking (retail/wholesale), capital markets, investment management firms, consulting or at the regulator on prudential matters is a plus. 

 Ability to research and interpret internal and external best practice and regulatory requirements, and make enhancements to existing practices. 

 Knowledge of risk management methodologies and techniques (in particular credit, market, operational risk). 

What we can offer you:


 Full time contract of employment 

 Competitive salary 

 Health & Life Insurance 

 Multisport card / Cinema Tickets / Nursery subsidiary 

 Pension scheme 

 Excellent opportunities for training, growth and professional development 

 Opportunities to engage in diverse projects due to growth of business migrations 

 A multitude of opportunities to get involved in additional charity projects 

 A collaborative culture and great teams 

 

If you apply for this role this means you agree with the following statement:
 
Through my application for a role with BNY Mellon (Poland) sp. z.o.o. (the Company) I hereby authorize the Company to process my personal data for the purposes of recruitment. Furthermore I declare that I am aware of the voluntary submission of data and I am informed about the right to access the data and the right to correct it, pursuant to the Personal Data Protection Act of 29 August 1997 (Journal of Laws [Dz.U] No. 133, item 883)”. I authorise the Company to process my personal data for future recruitment processes.

Furthermore, I authorize BNY Mellon and its’ affiliates, Taleo (UK) Limited to process my personal data.

BNY Mellon and affiliates registration details.-

BNY Mellon (Poland) sp. z.o.o Registered office – Swobodna 3, 50-088 Wroclaw
The Bank of New York Mellon (International) Limited – 1 Canada Square, London, E14 5AL
The Bank of New York Mellon SA/NV – 46 Rue Montoyerstraat, B-1000 Brussels, Belgium
Taleo (UK) Limited Registered office - 78-586 Chiswick High Road, London W4 5RP, United Kingdom, 
Please note that during the recruitment process you may be asked to provide further information and supporting documents. The information provided may be verified and reviewed, to the extent permitted by the law, as to their veracity and accuracy.
 BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Poland-Dolnoslaskie-Wroclaw Job: Risk Internal Jobcode: 85215 Organization: Risk-HR06016 Requisition Number: 1901167"
5,"SrGrpMgr, LoB Risk","
Locations:
Pune, India
","
Senior
  Group Manager, Line of Business Risk
Manages a global/regional team of
  less experienced managers responsible for the ongoing independent oversight
  and challenge of day-to-day risk management activities, client, product and
  process change risk assessments and risk reporting for assigned business
  line(s)/entity risk(s) or legal entity facing a moderate level of risk.
  Directs the assessment, monitoring and reporting on risks inherent to
  business activities, including fiduciary, reputational, business and
  strategic risks. Responsible for the integrity of the business line(s)/entity
  risk(s) or legal entity's adherence to the Operational Risk Management Framework.
  Serves on Risk Management Committees to ensure their effectiveness;
  facilitates and encourages informed and constructive debate on key issues.
  May also lead enterprise wide risk governance projects.
Consults on the establishment of
  the enterprise-wide Operational Risk Management framework, the Company Risk
  Appetite Statement and the Corporate Operational Risk Management (CORM)
  policies and procedures. Contributes to the establishment of the assigned business
  line or legal entity's risk appetite statements and ensures alignment with
  the Company Risk Appetite Statement. Assists the assigned business line or
  legal entity with the identification, assessment and mitigation of risks and
  helps to identify and implement controls to manage emerging issues. Monitors
  compliance and assigns routine monitoring responsibilities through less
  experienced managers. Develops routine reports as required and delivers these
  to management, CORM and the Operational Risk Committee (ORC). 
40%
Works with the Business Sponsor to
  identify and document risks and mitigants around accepting new business and
  to gain implementation approval from the appropriate stakeholders and
  governance body. Reviews and approves the business or legal entity's process
  for accepting new business, preparing and maintaining standard documents and
  RFP databases and the process for monitoring adherence to policies and
  procedures. 
15%
Ensures business process and
  product changes are completed appropriately. Recommends modifications to
  decrease risks inherent to the process or product change. Responsible for
  gaining the appropriate approvals for the change and ensuring all required
  documentation is completed. 
25%
Contributes to efforts to develop
  a strong organizational risk culture and further develop the function's
  effectiveness as a second line of defense for the business or legal entity. 
10%
Recruits, directs, motivates and
  develops less experienced managers, maximizing their individual contribution,
  their professional growth and their ability to function effectively with
  their colleagues as a team. Provides feedback at the most critical times.
10%
Manages a large global/regional
  team of less experienced managers. 
Responsible for the achievement of
  goals across multiple regions. Ensures teams are equipped to operationalize
  and attain objectives. Ensures appropriate financial and human resource
  allocation.
Bachelor’s degree or the
  equivalent combination of education and experience is required. 
15+ years of total work
  experience, with 3-5 years of management experience, preferred. 
  Qualifications
Bachelor’s degree or the
  equivalent combination of education and experience is required. 
15+ years of total work
  experience, with 3-5 years of management experience, preferred. 
 BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Risk Internal Jobcode: 85176 Organization: Risk-HR06016 Requisition Number: 1901202"
6,Sr.Princ'l Project/Prgm Mgr,"
Locations:
New York, New York
","Manage portfolio governance,
planning and financial management routines.Identify key program/project
performance indicatorsIdentify key leading and lagging
risk factorsEnsure compliance to all policies
and proceduresMonitor all IT programs for
program performance and perform regular corporate auditsPartner with CIOs and CAOs to
drive program and project execution on behalf of the Head of Technology.Must be able to influence key
programs and risks to drive towards client benefits.Able to provide and prepare
executive summary of portfolio activity for executive committee (EC) and board
level presentations.Proven track record of strong
program and project financial management and routines, and the ability to
transform toward targeted state goals.Must
ensure routines and structures are in place and maintained, with deliverables
tracked, within a substantially large portfolio of technology investments, and
key programs consisting of significant slate of ongoing projects (500+).Leads and provides innovative
direction and guidance for a wide array of activities associated with project
planning and management to ensure that projects are completed on time, within
budget and to client specifications.Manages and oversees the end-to-end
project management activities of highly complex projects involving multiple
systems interfaces that are highly visible to the organization. Owns formal
definition, documentation, and communication of overall program scope and
objectives.Defines and manages the
lifecycle from project initiation through to program closure. Manages and
resolves risks, issues and dependencies.Measures and monitors program actuals,
forecasts, budgets, and updates plans with accurate, up-to-date information in
a timely manner.Follows financial standards
& processes (e.g. monthly external revenue accruals, software
capitalization, procurement & external payments).Reports financial information
and status to the required executive level through steering committees.Secures, leads, motivates and
inspires the internal & external resources required to deliver the program.Establishes the program s
governance (e.g. sponsors, approvers, stakeholders).Manages Program Office
Resources.Acts as the primary interface
between technology infrastructure and a specific business/functional area.Has regular contact among peers
within the firm and externally, including regulators and professional
organizations.Provides advice to internal
clients on the implications of business trends, issues, operating environment
changes and firm or business unit strategy.Ensures project delivery is in conformance with
company methodologies and standards. Contributes to the achievement of Project
Qualifications ·        
Bachelor's
degree, preferably in business management or a related discipline, or
equivalent work experience required, advanced degree preferred. ·        
Project
Management Professional (PMP) certification is beneficial·        
10-12
+ years of project management experience required (L)  12
plus for M·        
Experience
with technology or financial services industry is a plus.·        
Understanding of the principles and frameworks
of successful project management·        
Solid understanding of Agile and waterfall
methodologies·        
Experience in finance/banking industry·        
Proven experience in providing service to
internal stakeholders to achieve successful outcomes.·        
Project delivery expert·        
Excellent oral and written communication skills
as well as excellent presentation skills with ability to conduct presentations
comfortably to large groups.·        
Excellent interpersonal skills·        
Demonstrated capability for problem solving,
decision making, and sound judgment·        
Ability to build strong productive partnerships
across functions








 BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 45213 Job: Risk Organization: Office of the CIO-HR06033 Requisition Number: 1818865"
7,"Executive Manager, Change Mgmt  (Head of Change Mgmt., Risk & Compliance)","
Locations:
New York, New York
"," Accountable
for strategic change in Risk and Compliance capabilities and processes. Manage
the department Change Programs, most often involving technology
development.  Partner with senior Risk and Compliance leadership and
enable their sponsorship of technology teams’ (and others’) execution. Must be
a strategic thinker and business leader, exhibiting ownership and
courageousness. MAKES IT HAPPEN.  Technology says you are demanding but
also the best partner they could have. Capable of managing programs and
portfolios in 8 and 9 digits of value. Player/coach. Capable of both leading
our most important large multi year program and guiding, mentoring, inspiring staff
program/change/process managers. Capable of driving along maturity model. Can work
with best-in-class capabilities and can also help us start the next journey— we
have both. Delegators need not apply. Technologists should also look for other
roles. If you think Excel and Access are the real answer, please do not
apply. 
High focus on
data, reporting, analytics, information solutions. Also expect process
engineering as part of portfolio. 
This role is
accountable for business results. Business deliverables met, on budget, to high
quality, on time and actually creating the value for the user.  Change Management - M5 Provides functional leadership through Change Management managers. Responsible for setting functional strategy, promoting the Change Management function to executive and senior management across the global business and accountable for achievement of functional goals and objectives. Has extensive experience working with complex, high quantity, often contradictory information. Fully understands and is able to influence the commercial environment based on own breadth of experience. Has vast knowledge of competitors products and ensures organization-wide compliance with current regulatory and legal obligations of locations managed. Leads the most complex, global change projects, programs and portfolios of change that cover the full lifecycle and require collaboration with senior management in other specialist functions. Controls projects through senior managers. Enlists the work of senior managers and staff. Develops standard project process/implementation methods for the function. Leads senior team members delivery of quality business solutions within agreed timescales and budgets. Meets with clients post-implementation to confirm satisfaction with services/products delivered and discuss potential for future business. Establishes global resource plans and roadmaps and approves plans and roadmaps drafted by senior managers. Serves as an escalation point for senior managers when workload and resource allocation issues arise. Sets goals and objectives for the Change Management function in alignment with organizational goals and objectives. Has perfected his/her analytical and communication skills. Leads under pressure, innovatively problem solves and is able to effectively attain buy-in from senior level staff and executives within Change Management and across functions to drive solutions forward. Serves as an escalation point and handles escalated issues from the senior staff, other department leads and the most complex clients. Presents issues that may affect the achievement of functional goals and objectives to executive management and proposes solutions. Has strong relationships with internal teams, suppliers and clients. Uses these relationships to ensure project success and build opportunities for future business. Consistently anticipates and manages client expectations. Can see ahead to future possibilities and leads senior managers in translating these into actionable proposals/business plans. Determines next steps based on reports from senior staff on project risks and issues. Uses existing relationships with clients to secure favorable terms for the Bank while ensuring client satisfaction. Has a history of exceptional leadership and manages own projects, programs and decisions in a way that benefits and/or aligns with other parts of the business. Coaches and develops senior managers and staff. Leads the Change Management function. Manages the Change Management function through the work of senior managers. Sets functional timelines, budgets, strategy and policy.  Qualifications Bachelors degree or the equivalent combination of education and experience is required. 15 plus years of total work experience preferred with at least 5-7 years in management preferred. Knowledge of the various functions within financial services/asset servicing industry is preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 70266 Job: Risk Organization: Risk-HR06016 Requisition Number: 1901039"
8,"Senior Specialist, Control (Control Management - Centralized IOA Oversight Team)","
Locations:
Pittsburgh, Pennsylvania
"," Control - IC4 As a subject matter expert, helps ensure that global control teams create a sound control environment and the control standards, risk management systems, and training for staff meet the needs of the business along with those of clients. Will assist with team responsibilities for defining and implementing governance and oversight activities for internal operating accounts (IOAs) regardless of business line, system and platform. Standardize, implement, and revise as necessary policy and processes associated with internal operating accounts. Leads the most complex projects/analyses and may assign work to other team members. Often specializes in a particular control discipline financial, operational or IT process design reviews, controls effectiveness testing, reconcilement processes. Coordinates with global teams to ensure proper control and risk management systems are in place throughout the business. Ensures that location specific regulatory standards are incorporated into control measures. Operating with a high degree of independence, implements programs that improve internal controls to keep up with regulations and corporate standards. Works directly with assigned business unit to understand the controls currently in place to minimize risk. May recommend changes to improve risk and control profile. Designs and delivers risk management training programs to ensure that proper control procedures are understood and followed. Reviews documentation for evidence of successful and efficient performance of control and business recovery procedures. Identifies deficiencies in data systems and creates processes to improve defenses Anticipates and investigates technology and market trends areas that may become future risks to the business and creates controls to mitigate them before they appear. Assists management in the delegation of work Contributes to the achievement of area objectives. Supports multiple, complex projects and owns project timelines. Responsibilities are usually specialized and often have broader impact beyond the business/segment/region they are assigned to advise. Provides input into the development of controls and protocols for the function.  Qualifications Bachelors’ degree or equivalent combination of education and work experience required. Advanced degree preferred 7-10 years of total work experience preferred. Experience in the securities or financial services industry is preferred. Proficiency in MS software is preferred.   For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70320 Job: Risk Organization: CM - Control Operations-HR17544 Requisition Number: 1901097"
9,"Sr. Group Manager, Control","
Locations:
Singapore, Singapore
","Control - M4 Through subordinate managers, oversees multiple large teams responsible for complex responsibilities in identifying, analyzing, monitoring and minimizing business risks. Oversees the development and implementation of control standards in various global locations based on local regulatory requirements. 
 
Directs and oversees teams that are responsible for control testing and reporting on control standards. Architects training on policies and procedures concerning controls and risk management. 
Monitors results on key risks, errors/near misses, reconciliations and root cause analyses as reported by subordinate managers. Analyzes and determines appropriate level management intervention. Establishes policies and procedures for the deployment of control activities throughout the businesses. 
 
Develops the testing protocols required to ensure policies, procedures, and controls are adequate and effectively implemented to curb risks. Ensures team objectives are aligned to functional objectives. 
Works with global operations control office and operational groups to ensure consistent reporting structures are in place in order to coordinate the escalation of issues up to management if required. Projects have a strategic focus and involves collaboration with functional leadership. 
 
Engage with local stakeholders in APAC region to understand risks and issues faced by the Operational areas and determine materiality. Accountable to provide support to local Executive Management across the APAC region in relation to all aspects of the control environment and risk framework. 
 
Engage with Senior Control Managers responsible for the functional operational areas globally to understand and take into consideration local aspects of the control environment, when executing risk & control practices (i.e. RCSA, Control Testing, etc.).
 
Provide clear articulation of the risk and control landscape of APAC Operations into the diverse risk & control local or global scorecards / governance forums.
 
Uses in-depth knowledge of market trends to determine potential risks to the organization. Manages analysis and draws conclusions in order to recommend and direct any resulting change needed to mitigate risk. 
 
Recruits, directs, motivates and develops staff, maximizing their individual contribution, their professional growth and their ability to function effectively with their colleagues as a team. 
 
Directly manages more senior managers and ensures their focus on functional objectives. 
May have matrixed management responsibility and oversee geographically dispersed teams, adding to the complexity of duties. 
 
Responsible for the achievement of goals and objectives. Provides guidance to senior risk managers. 
 
Completion of tasks affects achievement of functional objectives. Bachelors degree or equivalent combination of education and work experience required, advanced degree preferred. 
 
Certified Information Security Management (CISM) or Certified Information Systems Auditor (CISA) security certification is preferred. 
 
10-15 years of total work experience with 3-5 years of management experience preferred. Experience in the securities or financial services industry preferred.
  Qualifications Certified Information Security Management (CISM) or Certified Information Systems Auditor (CISA) security certification is preferred. 
 
10-15 years of total work experience with 3-5 years of management experience preferred. Experience in the securities or financial services industry preferred. BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Singapore-Singapore-Singapore Job: Risk Internal Jobcode: 70316 Organization: CM - Business Control-HR16431 Requisition Number: 1900811"
