0,"Senior Analyst, Client Service","
Locations:
Indianapolis, Indiana
","Client Service - IC2 Works with external clients to resolve moderately complex day-to-day issues and direct them to appropriate resources at BNY Mellon. Supports clients in addressing moderately complex operational and technical issues and ensuring requests are executed. Applies intermediate problem solving skills, experience and judgement to analyze information. Uses communication skills to deliver high quality service to a specialized client base. Provides clients information related to BNY Mellon products and services representing multiple lines of business and geographies and directs them to the appropriate resources, as needed. Leverages a good understanding of broader BNY Mellon services and offerings. Monitors client inquiries, resolves non-routine issues and escalates complex issues to the appropriate team member, as needed. Uses knowledge of client issues and needs to contribute to business development efforts. Participates in internal activities and initiatives designed to improve the client experience. Recommends process improvements. May have people management responsibilities in some geographies. Provides guidance to less experienced team members. Supports multiple, moderately complex client accounts. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred. Experience in an operational area and/or client services preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Indiana-Indianapolis Internal Jobcode: 70105 Job: Corporate Trust Organization: Corporate Trust-HR06320 Requisition Number: 1900482"
1,Representative Client Processing,"
Locations:
Poole, United Kingdom
","Provides quality client service and support to internal clients and occasionally external clients on a daily basis, including phone interaction, problem resolution and account transaction processing in a timely manner. 


 Under direct supervision, performs routine operational tasks in a product or functional area, processing updates to client accounts or company records and ensuring that data is feeding into the right system. 

 Enters data, keying information from checks, interpreting payee information and transcribing into on-line system. 

 Begins monitoring exceptions. 

 May interact with record keepers to verify that client records are in sync with the fund company or another custodian. 

 Executes all correspondent requisites in a timely and accurate manner with an understanding of the underlying business and specific client needs. 

 Responds to client inquiries, escalating non-standard issues to a Team Lead. 

 May communicate with an external third party to research inquiries. 

 Investigates and corrects errors in company records and client accounts. 

 Accurately opens and updates accounts or company records. 

 Works closely with technology and systems teams to ensure the system is efficient and incorporates any necessary risk mitigations 

 Provides product knowledge, market nuances and requirements and technical assistance, as necessary. 

 Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required.  Qualifications 
Bachelors degree preferred.
2-3 years of total work experience preferred.
Experience in brokerage processing preferred.  For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Dorset-Poole Job: Corporate Trust Internal Jobcode: 70611 Organization: Issuer and Loan Services-HR11024 Requisition Number: 1901071"
2,"Specialist, Relationship Mgmt","
Locations:
New York, New York
","Relationship Management - IC2 With guidance, develops the strategic plan for managing and growing existing client relationships, with a focus on revenue retention. Identifies opportunities for incremental account growth. Serves in a consultative role to the client, advising on the best way to achieve short- and long- term strategic objectives. From a global, bank-wide perspective, clients are usually well-established, relatively small, more locally-focused and less complex. May assist a more senior Relationship Manager on large or complex accounts to gain breadth/depth of knowledge. Is the clients advocate and may serve as the ultimate escalation point for client satisfaction. Consult with clients on their strategic vision and how the firm can help them achieve that vision. Promote firm services/product offerings that solve client challenges and achieve account growth. Research client issues and bring to resolution. May be assigned as owner/expert of a particular process or product. Conduct frequent and regular check-ins with assigned clients, ensuring their continued satisfaction ensuring continued satisfaction and strategic alignment with firm services/product offerings. Continually evaluate client needs and ensure sustained client engagement. Develop, track and report on relationship strategy/results for assigned client portfolio. Work closely with business development teams to ensure relationship management strategy is executed by account management and client service teams. Keep abreast of client account activity occurring throughout the firm and may serve as the ultimate escalation point for client satisfaction. Conduct service review meetings and assist in client training, sharing of market information/experience. May assist with prospecting new clients in a similar industry or segment of existing clients. May work with other Relationship Managers and/or marshal firm-wide resources (marketing, legal, compliance, etc.) to ensure client needs are being addressed and to proactively inform clients of industry developments or firm thought leadership. Ensures client onboarding and/or risk management activities are conducted and captured (KYC, BAC, etc.). In some regional/local markets may manage relationships with regulators directly. Research and analyze the business environment of assigned clients, industry trends and competitor services/offerings. No direct reports. In some regions, may have oversight over client services Responsible for achievement of organic, incremental growth (revenue, asset) goals within assigned client portfolio. Manages overall relationship profitability of small, non-complex clients. Continues to receive advice and coaching from senior team members/management. Bachelors degree or the equivalent combination of education and experience is required. Advanced/graduate degree preferred. 3-5 years of total work experience preferred. Financial Services experience with a particular client type or product (Hedge, Pension, etc.) preferred as is prior experience in Relationship Management, Client Services or Account Management. Applicable local/regional licenses or certifications as required by the business. As global firm, bi-lingual capabilities are helpful as is an understanding of local/cultural nuances important for client trust. Qualifications 3-5 years of total work experience preferred. Financial Services experience with a particular client type or product (Hedge, Pension, etc.) preferred as is prior experience in Relationship Management, Client Services or Account Management. Applicable local/regional licenses or certifications as required by the business. As global firm, bi-lingual capabilities are helpful as is an understanding of local/cultural nuances important for client trust. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 70060 Job: Corporate Trust Organization: Corporate Trust-HR06320 Requisition Number: 1817211"
3,"Senior Analyst, Client Service","
Locations:
New Albany, Ohio
","Client Service - IC2 Works with external clients to resolve moderately complex day-to-day issues and direct them to appropriate resources at BNY Mellon. Supports clients in addressing moderately complex operational and technical issues and ensuring requests are executed. Applies intermediate problem solving skills, experience and judgement to analyze information. Uses communication skills to deliver high quality service to a specialized client base. Provides clients information related to BNY Mellon products and services representing multiple lines of business and geographies and directs them to the appropriate resources, as needed. Leverages a good understanding of broader BNY Mellon services and offerings. Monitors client inquiries, resolves non-routine issues and escalates complex issues to the appropriate team member, as needed. Uses knowledge of client issues and needs to contribute to business development efforts. Participates in internal activities and initiatives designed to improve the client experience. Recommends process improvements. May have people management responsibilities in some geographies. Provides guidance to less experienced team members. Supports multiple, moderately complex client accounts. Bachelors degree or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred. Experience in an operational area and/or client services preferred. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred. Experience in an operational area and/or client services preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Ohio-New Albany Internal Jobcode: 70105 Job: Corporate Trust Organization: Corporate Trust-HR06320 Requisition Number: 1901019"
4,"Rep, Client Processing","
Locations:
Poole, United Kingdom
"," Client Processing  
 Provides quality client service and support to internal clients and occasionally external clients on a daily basis, including phone interaction, problem resolution and account transaction processing in a timely manner.  
   
 Under direct supervision, performs routine operational tasks in a product or functional area, processing updates to client accounts or company records and ensuring that data is feeding into the right system.  
   
 Enters data, keying information from checks, interpreting payee information and transcribing into on-line system. Begins monitoring exceptions.  
   
 May interact with record keepers to verify that client records are in sync with the fund company or another custodian.  
   
 Executes all correspondent requisites in a timely and accurate manner with an understanding of the underlying business and specific client needs.  
   
 Responds to client inquiries, escalating non-standard issues to a Team Lead.  
   
 May communicate with an external third party to research inquiries.  
   
 Investigates and corrects errors in company records and client accounts.  
   
 Accurately opens and updates accounts or company records.  
   
 Works closely with technology and systems teams to ensure the system is efficient and incorporates any necessary risk mitigations. 
   
 Provides product knowledge, market nuances and requirements and technical assistance, as necessary.  
   
 No direct reports.  
   
 Responsible for the quality and completion of own work.   Qualifications    
 High school/secondary school or the equivalent combination of education and experience is required.  
   
 Bachelors degree preferred.  
   
 2-3 years of total work experience preferred.  
   
 Experience in brokerage processing preferred.  BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Dorset-Poole Job: Corporate Trust Internal Jobcode: 70611 Organization: Issuer and Loan Services-HR11024 Requisition Number: 1901130"
5,"Specialist, Client Service","
Locations:
Houston, Texas
","Client Service - IC4 Works with external clients to resolve the most complex day-to-day issues and direct them to appropriate resources at BNY Mellon. Leads team members in providing support to major clients in addressing and resolving complex operational and technical issues and ensuring requests are executed. Applies advanced problem solving skills, judgement, and experience to analyze information. Uses developed communication skills to deliver high quality service to a specialized client base. Provides key individuals at assigned clients information related to BNY Mellons products and services representing a broad array of lines of business and geographies and leverages an in-depth understanding of broader BNY Mellon services and offerings. Proactively assists clients in reviewing potential business needs and directs them to appropriate resources at BNY Mellon. Resolves the most complex or non-routine client issues or inquires, as needed. Uses in-depth knowledge of client issues and needs to contribute to business development efforts. Uses broad understanding of BNY Mellon products and services to best propose expanded offerings to clients for front office consideration. Leads and participates in internal activities and initiatives designed to improve the client experience. Uses knowledge of client services best practices and BNY Mellon client needs to help develop process improvements. No direct reports. Provides guidance to less experienced team members. Supports multiple, complex client accounts. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 7-10 years of total work experience preferred. Experience in an operational area and/or client services preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Texas-Houston Internal Jobcode: 70103 Job: Corporate Trust Organization: Corporate Trust-HR06320 Requisition Number: 1900376"
6,"Specialist, Client Service","
Locations:
Pittsburgh, Pennsylvania
","Client Service - IC4 Works with external clients to resolve the most complex day-to-day issues and direct them to appropriate resources at BNY Mellon. Leads team members in providing support to major clients in addressing and resolving complex operational and technical issues and ensuring requests are executed. Applies advanced problem solving skills, judgement, and experience to analyze information. Uses developed communication skills to deliver high quality service to a specialized client base. Provides key individuals at assigned clients information related to BNY Mellons products and services representing a broad array of lines of business and geographies and leverages an in-depth understanding of broader BNY Mellon services and offerings. Proactively assists clients in reviewing potential business needs and directs them to appropriate resources at BNY Mellon. Resolves the most complex or non-routine client issues or inquires, as needed. Uses in-depth knowledge of client issues and needs to contribute to business development efforts. Uses broad understanding of BNY Mellon products and services to best propose expanded offerings to clients for front office consideration. Leads and participates in internal activities and initiatives designed to improve the client experience. Uses knowledge of client services best practices and BNY Mellon client needs to help develop process improvements. No direct reports. Provides guidance to less experienced team members. Supports multiple, complex client accounts. Bachelors degree or the equivalent combination of education and experience is required. 7-10 years of total work experience preferred. Experience in an operational area and/or client services preferred. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 7-10 years of total work experience preferred. Experience in an operational area and/or client services preferred BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70103 Job: Corporate Trust Organization: Corporate Trust-HR06320 Requisition Number: 1900708"
7,"Inter. Rep, Client Processing","
Locations:
Chennai, India
","Client Processing - S4 Applies expertise and judgement in providing quality, and occasionally complex client service and support to internal and external clients on a daily basis, including phone interaction, problem resolution, transaction processing (i.e., STP, manual), reconciliations and accounting services, and updates to client accounts in a timely manner. Performs a variety of operational tasks in a product or functional area, including processing updates to client accounts or company records and interpreting and handling exceptions. Investigates and corrects errors in client accounts. Conducts independent analysis and policy interpretation. Responsible for reconciliations, including reconciling cash breaks, position differences, and gathering and compiling data. Serves as the primary point of contact for clients and executes all correspondent requisites in a timely and accurate manner with an understanding of the underlying business and specific client needs. Maintains correspondent accounts in accordance with applicable regulations and policies, ensuring regulatory compliance and minimizing exposure related to assigned processing tasks. Accurately opens and updates accounts or company records. Works closely with technology and systems teams to ensure the system is efficient and incorporates any necessary risk mitigations. Provides product knowledge, market nuances and requirements and technical assistance, as necessary. May review and check work of other Client Processing Support staff and help resolve escalated issues. No direct reports. Provides guidance to less experienced Client Processing Support staff, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 3-5 years of total work experience preferred. Experience in brokerage processing preferred. Qualifications Inter. Rep, Client Processing For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Tamil Nadu-Chennai Job: Corporate Trust Internal Jobcode: 70610 Organization: Issuer and Loan Services-HR11024 Requisition Number: 1900520"
8,"Manager, Client Service","
Locations:
Wroclaw, Poland
","Overview Of BNY Mellon:
 
BNY Mellon is a global financial services company focused on helping clients manage and service their financial assets, operating in 36 countries and serving more than 100 markets. BNY Mellon is a leading provider of financial services for institutions, corporations and high-net-worth individuals, providing superior asset management and wealth management, asset servicing, issuer services, clearing services and treasury services through a worldwide client-focused team. 
 
 
Overview of Corporate Trust:
 
With global reach and a comprehensive suite of scalable administrative, operational and infrastructure capabilities, BNY Mellon Corporate Trust help clients to drive business growth and maximize efficiency through our core services of trustee, paying agency, custodian, collateral administrator and other fiduciary offerings. Backed by the power of BNY Mellon at every phase of the investment lifecycle, our global footprint and deep expertise deliver insight-driven solutions directly to clients.
 
 
Overview of Team:
 
We currently have over 100 people employed in Corporate Trust Global Client Services based in Wexford and Dublin. The team continues to grow as we take on new business. We work very closely with our colleagues in other locations like India, UK, Poland, the US and other locations to streamline and align processes. We work closely with the Corporate Trust Global Client Service team who have overall responsibility for the operational relationship with the client. 
 
Job Description:
Position Summary

The Client Service Lead Manager reports to the Group Manager and manages the daily activities of assigned Client Service Representatives, ensuring that activities are conducted in accordance with the Firm and Corporate Trust policies and procedures and preferred practices. He/she constantly ensures that risks are being identified and actively managed. He/she will collaborate with Lead Managers in other locations to identify and resolve issues while serving as a high-level escalation point for complex situations and ensuring that they are brought to a successful resolution.  

The Lead Manager will quickly address and resolve problems, possess strong decision-making and organizational skills, and will communicate effectively with Client Service Specialists, internal shared service partners and with internal and external clients.  The Lead Manager will also actively assist the Group Manager with developing and driving new strategic plan initiatives.

Essential Functions – Key Roles & Responsibilities


 Hire, coach and provide professional guidance to team members, establish and evaluate performance/development goals/conduct PMP reviews and work to attract and retain talent within the group. Ensure that the team has the appropriate training to perform well and exceed in their role 

 Transaction Management:  Continuous dialogue and open communication with Client Service Managers and Group Manager on status of work being completed by team 

 Employee Development:  Oversight of training and development plans for all assigned employees 

 Planning:  Manage Staff Resourcing based on business requirements ensure adequate cover in place to meeting deliverables providing excellent client service delivery 

 Identify and resolve issues while serving as a high-level escalation point for complex situations and ensure that they are brought to a successful resolution 

 Partner with Global Group Managers to identify and streamline business operations. Support the efforts to enhance controls by standardizing relevant business processes and consistently managing/monitoring those activities to ensure quality and accuracy.  Support key business programs, including business and process improvements which drive greater operational efficiencies and superior client service. 

 Serve as an escalation point and communicate effectively with other internal shared services, external investment managers, brokers and clients.  This role sets the directions and tones for the client service administration elements of our business and therefore drives overall client relationships and risk management.  

 Business Liaison: Build and lead effective relationships with offshore operational support teams to help ensure client service excellence. Track and measure performance of key support teams through analysing and interpreting key MIS/KPI data. Partner with these groups to ensure continuous process improvements are being achieved. 
  
Partner Management 


 To proactively monitor and manage the activities performed within our business partners  

 To hold regular  meetings and escalate any concerns  

 To monitor and control SLAs, quality indicators, and give regular feedback to Group Manager 
 Qualifications What we are looking for:


 Minimum 5 years Corporate Trust or related financial markets/securities industry experience. 

 Experience in Loans (syndicated, bi-lateral, real estate)  very desirable 

 Solid understanding of the product(s) administered by the group and thorough understanding of risk management and control practices.    

 Excellent leadership skills, ability to lead dynamic team 

 Ability to quickly address issues – strong decision making  

 Strong Financial Services Technical Skills  

 Effective interpersonal, oral and written communication skills 

 Excellent analytical, organisational and time management skills with the ability to meet tight deadlines 

 Proficiency in using Microsoft packages particularly Excel 

 


If you apply for this role this means you agree with the following statement:
 
Through my application for a role with BNY Mellon (Poland) sp. z.o.o. (the Company) I hereby authorize the Company to process my personal data for the purposes of recruitment. Furthermore I declare that I am aware of the voluntary submission of data and I am informed about the right to access the data and the right to correct it, pursuant to the Personal Data Protection Act of 29 August 1997 (Journal of Laws [Dz.U] No. 133, item 883)”. I authorise the Company to process my personal data for future recruitment processes.

Furthermore, I authorize BNY Mellon and its’ affiliates, Taleo (UK) Limited to process my personal data.

BNY Mellon and affiliates registration details.-

BNY Mellon (Poland) sp. z.o.o Registered office – Swobodna 3, 50-088 Wroclaw
The Bank of New York Mellon (International) Limited – 1 Canada Square, London, E14 5AL
The Bank of New York Mellon SA/NV – 46 Rue Montoyerstraat, B-1000 Brussels, Belgium
Taleo (UK) Limited Registered office - 78-586 Chiswick High Road, London W4 5RP, United Kingdom, 
Please note that during the recruitment process you may be asked to provide further information and supporting documents. The information provided may be verified and reviewed, to the extent permitted by the law, as to their veracity and accuracy. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.BNY Mellon Corporate Trust provides the infrastructure, technology and processing services needed to navigate the debt capital markets. We partner with financial institutions, corporations, insurers, governments and not-for-profit organizations at all stages of the deal lifecycle - from issuance to maturity. With global reach and a comprehensive suite of scalable administrative, operational and infrastructure capabilities, we help clients drive business growth and maximize impact. We create customized solutions for our clients' debt-related needs, drawing on our range of core services, including trustee, paying agency, escrow and other fiduciary offeringsBNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Poland-Dolnoslaskie-Wroclaw Job: Corporate Trust Internal Jobcode: 70101 Organization: Corporate Trust-HR06320 Requisition Number: 1819118"
9,Sr Specialist Client Service,"
Locations:
Dublin, Ireland
"," Client Service - IC5  
 Works with external clients to resolve the most complex day-to-day issues and direct them to appropriate resources at BNY Mellon. May resolve atypical issues or escalate to management as appropriate.  
 May lead staff on specific projects. Leads team members in providing support to major clients whose partnership with BNY Mellon may have a broad impact on the business in addressing and resolving complex operational and technical issues and ensuring requests are executed.  
 Applies advanced problem solving skills, judgement, and extensive experience to analyze information. Uses masterful communication skills to deliver high quality service to a specialized client base.  
 Provides key individuals at assigned clients information related to BNY Mellons products and services representing a broad array of lines of business and geographies and leverages an expert understanding of broader BNY Mellon services and offerings. Leads clients in reviewing potential business needs and directs them to appropriate resources at BNY Mellon.  
 Resolves the most complex or non-routine client issues or inquires, as needed. Leads resolution of issues escalated by more junior team members. Uses extensive knowledge of client issues and needs to lead business development efforts. Uses expert understanding of BNY Mellon products and services to best propose expanded offerings to clients for front office consideration.  
 Leads internal activities and initiatives designed to improve the client experience. Uses knowledge of client services best practices and BNY Mellon client needs to lead the teams development of process improvements.  
 No direct reports. Provides guidance to less experienced team members. May assign work to more junior team members. Supports multiple, complex client accounts.   Qualifications Bachelors degree or the equivalent combination of education and experience is required. 10-12 years of total work experience preferred. Experience in an operational area and/or client services preferred. BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Ireland-Leinster-Dublin Job: Corporate Trust Internal Jobcode: 70102 Organization: Corporate Trust-HR06320 Requisition Number: 1901033"
