0,Sr. Director- Wealth Manager,"
Locations:
Philadelphia, Pennsylvania
","The Senior Director Wealth Manager serves as the trusted advisor to our high net worth clients and their families. In this role, the incumbent provides comprehensive guidance to our largest and most complex clients regarding investment, trust and estate, insurance, tax and banking needs. S/He works with clients to design and implement asset allocation strategies and financial plans that meet their unique circumstances, risk tolerance, goals and objectives. S/He develops thoughtful strategies that enhance client service delivery and manage risk. The incumbent will work cooperatively within a team environment to harness all of the firm s resources on behalf of the client. Additionally, the Sr. Director - Wealth Manager will collaborate on potential new business opportunities; and enhance and expand the firm s relationships with Centers of Influence within the community. In partnership with Wealth Directors, Wealth Manager Fiduciary Specialists and Private Bankers, he/she will be responsible for developing current and future fee business. Qualifications The ideal candidate will have an undergraduate degree or equivalent work experience with at least 10+ years of experience in the investment management industry. Prior experience managing large and complex family relationships preferred. An advanced degree or professional certification preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Philadelphia Internal Jobcode: 31078 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1900737"
1,Wealth Manager I Fiduciary Specialist,"
Locations:
Philadelphia, Pennsylvania
","The Wealth Manager I - Fiduciary Specialist serves as the trusted advisor to high net worth clients and their families, as well as charitable trusts and foundations. In this role, the Wealth Manager I - Fiduciary Specialist will have responsibility for administering, and may manage, client relationships primarily comprised of trust accounts. S/he will need to interpret and understand trust instruments and related legal documents governing each relationship working with internal and external resources as necessary. S/he will meet with co-trustees and beneficiaries to ensure BNY Mellon, N.A. is adhering to the highest fiduciary standards. S/he will work with co-trustees to establish investment objectives, exercise fiduciary discretion and communicate appropriately with beneficiaries. In this role, the incumbent will be expected to assess, identify and address risk related to BNY Mellon s role as a fiduciary. The Wealth Manager I-Fiduciary Specialist will provide support to their local Wealth Managers and Wealth Directors with existing client relationships; collaborate on potential new opportunities; and enhance and expand the firm s relationships with Centers of Influence within the community. In partnership with Wealth Directors, Wealth Managers, and Private Bankers he/she will be responsible for developing current and future fee business and driving BNY Mellon Trustee and Executor appointments.  Qualifications The incumbent will have an undergraduate degree or equivalent work experience with 4 plus years of experience in fiduciary administration, including fiduciary taxation, and have managed larger client relationships. The qualified candidate must be self motivated and possess very strong interpersonal communication and presentation skills, as well as excellent written and verbal communication skills as this position deals directly with key client prospects as well as executives from external referral networks. CTFA, CFP preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Philadelphia Internal Jobcode: 33253 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1900738"
2,Associate Wealth Manager,"
Locations:
Greenville, Delaware
","The Associate Wealth Manager works with the Wealth Managers to provide comprehensive guidance to clients regarding investment, tax, banking, insurance, and trust and estate needs. This includes communicating the investment strategy directly to the client. Additional responsibilities include, calculating wealth projections, recommending and executing portfolio rebalancing programs, verifying client objectives, analyzing investment performance and identifying opportunities to expand relationships. The incumbent may also have independent responsibility for managing some small client relationships. Qualifications The ideal candidate will have an undergraduate degree or equivalent work experience and at least 2-4 years of experience in the investment industry. Progress towards an advanced degree or professional certification is expected. Strong analytical and problem solving skills, experience working in a highly detail oriented environment, strong proficiency with Microsoft Office, proven verbal and written communication skills are also preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Delaware-Greenville Internal Jobcode: 01263 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1900773"
3,Associate Wealth Manager,"
Locations:
Philadelphia, Pennsylvania
","The Associate Wealth Manager works with the Wealth Managers to provide comprehensive guidance to clients regarding investment, tax, banking, insurance, and trust and estate needs. This includes communicating the investment strategy directly to the client. Additional responsibilities include, calculating wealth projections, recommending and executing portfolio rebalancing programs, verifying client objectives, analyzing investment performance and identifying opportunities to expand relationships. The incumbent may also have independent responsibility for managing some small client relationships. Qualifications The ideal candidate will have an undergraduate degree or equivalent work experience and at least 2-4 years of experience in the investment industry. Progress towards an advanced degree or professional certification is expected. Strong analytical and problem solving skills, experience working in a highly detail oriented environment, strong proficiency with Microsoft Office, proven verbal and written communication skills are also preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Philadelphia Internal Jobcode: 01263 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1900769"
4,Sr. Portfolio Analyst,"
Locations:
Philadelphia, Pennsylvania
","The Senior Portfolio Analyst will assist the Wealth Managers with managing all aspects of our client relationships. Associates work with our internal partners in Private Banking, Service Delivery, Trading and Marketing to meet our clients wealth management needs. Daily responsibilities include, but are not limited to, preparing client presentation materials, monitoring cash balances, facilitating transfers, gifts and opening new accounts. Associates will interact directly with our clients to address questions and resolve any outstanding issues. Additionally, Senior Portfolio Analysts assist Wealth Managers in developing investment strategies, policy statements and managing client portfolios, as well as assisting Wealth Managers adhere to BNY Mellon risk and compliance standards. Qualifications The qualified candidate will have an undergraduate degree or equivalent work experience with 1 - 3 years of investment industry experience preferred. Strong analytical and problem solving skills, experience working in a highly detail oriented environment, strong proficiency with Microsoft Office, proven verbal and written communication skills are also preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Philadelphia Internal Jobcode: 07030 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1900778"
5,Wealth Management Associate Fiduciary Specialist,"
Locations:
New York, New York
","The Associate Fiduciary Specialist Family Office works with the Fiduciary Officers in the Family Office Group to provide comprehensive guidance to clients regarding trust and estate needs. This includes communicating with trust grantors and beneficiaries where BNY Mellon is a named trustee regarding discretionary disbursements and other matters relating to their trusts. Additional responsibilities include, calculating income projections and disbursements, interpreting provisions in applicable trust documents and identifying opportunities to expand relationships. The incumbent may also have independent responsibility for overseeing some small client relationships. Qualifications The ideal candidate will have an undergraduate degree or equivalent work experience and at least 2-4 years of experience in the financial services or legal industries. Strong analytical and problem solving skills, experience working in a highly detail oriented environment, strong proficiency with Microsoft Office, proven verbal and written communication skills are also preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As one of the nation's leading wealth managers, BNY Mellon Wealth Management is dedicated to helping individuals, families, planned giving programs, endowments, foundations and other institutions with all of their wealth and investment planning needs. By providing integrated products, services and solutions, we help them capitalize on opportunity while managing risk. Backed by more than two centuries of experience, we understand our clients' needs and deliver customized strategies to help them reach their goals.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 33670 Job: Wealth Management Organization: Family Office-HR15014 Requisition Number: 1809917"
6,Regional President I,"
Locations:
Chicago, Illinois
","Oversees all aspects of Private Wealth Management product, service, and sales delivery in an expansion or start up region. Full P&L responsibility for portfolio management and sales in region. Management of staff (typically 10-30 employees including indirect reports). Development of regional strategy and execution. Reporting to a National Director, the President of the Region will participate in the determination of the business' overall strategic plan and will lead the translation and implementation of that plan into a regional strategy to increase market share and profitability. The Regional President will also work with The Bank of New York Mellon's separate Investment Policy Group to develop investment policies and programs that maximize portfolio performance consistent with client objectives.   Qualifications Ten years or more experience in investment management/financial services industry preferred; but may also be an individual with high business/community profile, consistent with heading up a foundation, professional services firm or cultural institutional with asset management knowledge. Knowledge consistent with a bachelor s degree as well as advanced knowledge or experience consistent with MBA and/or CFA. May also have Juris Doctorate. Minimum five years experience in managing senior professionals, preferably investment or financial services professionals. Proven ability to develop and execute strategy including units over which incumbent does not have direct management responsibility, as well as proven track record of P&L management/growth. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As one of the nation's leading wealth managers, BNY Mellon Wealth Management is dedicated to helping individuals, families, planned giving programs, endowments, foundations and other institutions with all of their wealth and investment planning needs. By providing integrated products, services and solutions, we help them capitalize on opportunity while managing risk. Backed by more than two centuries of experience, we understand our clients' needs and deliver customized strategies to help them reach their goals.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Illinois-Chicago Internal Jobcode: 05439 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1716835"
7,Estate Settlement Regional Manager,"
Locations:
Ft Lauderdale, Florida
","The incumbent will lead a regional area estate team in the management of assigned client relationships and will be fully accountable for all legal and administrative aspects of the team's assigned accounts. The incumbent also will manage the administration of up to 10 of the region's largest and most complex estates and will be accountable for new business goals to include both current and future fee business. The incumbent will be required to participate in one or more project committees or task forces and in one or more permanently established, standing committees. The incumbent also will actively participate in developing and meeting individual, regional and line of business goals along with managing the professional development of 5-10 associates. Qualifications The incumbent will have an advanced degree with 15+ years in the corporate fiduciary industry or equivalent work experience. The incumbent will possess an array of skills to include investment management and accounting experience, legal knowledge, tax experience, business acumen, and organizational ability. Must have a working knowledge of Microsoft Office Products. Must have ability to interface with all levels of management and clients. The incumbent will either lead a regional area estate team or will manage and be accountable for all legal/administrative aspects of the most complex estates in the region. The incumbent also will be accountable for new business goals to include both current and future fee business. The incumbent will be required to participate in one or more project committees or task forces and in one or more permanently established, standing committees. The incumbent also will actively participate in developing and meeting individual, regional and line of business goals along with managing the professional development of 5-10 associates. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Florida-Ft Lauderdale Internal Jobcode: 03888 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1901151"
8,Senior Director - Team Leader,"
Locations:
Philadelphia, Pennsylvania
","The Senior Director Team Leader leads a group of Wealth Managers and Sr. Wealth Managers responsible for an assigned group of client relationships. S/He, along with the team, serves as the trusted advisor to high net worth clients and their families and provides comprehensive guidance to their clients regarding investment, trust and estate, insurance, tax and banking needs. The Senior Director Team Leader will develop thoughtful strategies that enhance client service delivery and manage risk. The Team Leader is also responsible for managing the revenues and expenses of a cost center and all of the people assigned to that cost center. The incumbent will have previous leadership experience in the wealth management industry. Additionally, s/he will have a demonstrated track record of success working with referral partners including legal, accounting and insurance advisors. In this role, the incumbent will be expected to assess, identify and address risk related to BNY Mellon's role as a wealth management provider. Qualifications The ideal candidate will have an undergraduate degree or equivalent work experience with 10+ years of experience in the investment management industry. Prior experience managing large and complex family relationships preferred. An advanced degree or professional certification is also preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As one of the nation's leading wealth managers, BNY Mellon Wealth Management is dedicated to helping individuals, families, planned giving programs, endowments, foundations and other institutions with all of their wealth and investment planning needs. By providing integrated products, services and solutions, we help them capitalize on opportunity while managing risk. Backed by more than two centuries of experience, we understand our clients' needs and deliver customized strategies to help them reach their goals.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Philadelphia Internal Jobcode: 01284 Job: Wealth Management Organization: WM US Markets-HR14164 Requisition Number: 1809453"
9,"Senior Analyst, Client Service - Family Office","
Locations:
Boston, Massachusetts
","Works with external clients to resolve moderately complex day-to-day issues and direct them to appropriate resources at BNY Mellon. Supports clients in addressing moderately complex operational and technical issues and ensuring requests are executed. Applies intermediate problem solving skills, experience and judgement to analyze information. Uses communication skills to deliver high quality service to a specialized client base. Provides clients information related to BNY Mellon products and services representing multiple lines of business and geographies and directs them to the appropriate resources, as needed. Leverages a good understanding of broader BNY Mellon services and offerings. Monitors client inquiries, resolves non-routine issues and escalates complex issues to the appropriate team member, as needed. Uses knowledge of client issues and needs to contribute to business development efforts. Participates in internal activities and initiatives designed to improve the client experience. Recommends process improvements. May have people management responsibilities in some geographies. Provides guidance to less experienced team members. Supports multiple, moderately complex client accounts. Qualifications Bachelors degree or the equivalent combination of education and experience is required. 3-5 years of total work experience preferred. Experience in an operational area and/or client services preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.As one of the nation's leading wealth managers, BNY Mellon Wealth Management is dedicated to helping individuals, families, planned giving programs, endowments, foundations and other institutions with all of their wealth and investment planning needs. By providing integrated products, services and solutions, we help them capitalize on opportunity while managing risk. Backed by more than two centuries of experience, we understand our clients' needs and deliver customized strategies to help them reach their goals.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Boston Internal Jobcode: 70105 Job: Wealth Management Organization: Family Office-HR15014 Requisition Number: 1813401"
