job ID,institution,Job Catagory,Job Number,List ID,CountMethod,URL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,capitalOne,Analytics,75,1,wordcount,https://www.capitalonecareers.com/search-jobs,('financial':533),('customers':1453),('identity':452),('data':19131),('institutions':0),('market':1399),('services':633),('platforms':12),('customer':2610),('digital':186),('traditional':4),('key':3559),('bank':1852),('risk':871),('insurance':0),('products':966),('alternative':0),('investors':0),('payment':24),('investment':32),('banks':12),('economic':301),('payments':24),('forum':0),('capital':8341),('uncertainties':0),('implications':8),('future':275),('time':917),('access':91),('systems':16),('findings':84),('providers':4),('lending':140),('management':1074),('based':668),('insurers':0),('transactions':0),('processes':16),('provide':945),('system':20),('dlt':0),('potential':48),('business':4312),('technology':1009),('process':414),('regulatory':80),('state':4372),('scenario':0),('opportunities':579),('risks':20),('intermediaries':0),('regulators':0),('user':99),('states':3821),('users':12),('solutions':251),('introduction':0),('incumbents':0),('service':1181),('asset':150),('high':240),('conclusion':0),('platform':115),('global':8),('equity':0),('fis':0),('smart':4),('credit':1376),('industry':143),('cost':0),('trade':241),('infrastructure':59),('models':204),('trading':0),('transfer':0),('real':362),('transaction':58),('funding':8),('automated':0),('product':2612),('markets':0),('banking':944),('individual':12),('online':0),('case':44),('ecosystem':4),('attributes':0),('firms':0),('scale':135),('mobile':150),('ability':875),('entities':182),('current':254),('wealth':0),('role':793),('investor':0),('crowdfunding':0),('assets':150),('distributed':124)
2,capitalOne,Analytics,75,2,TF/IDF,https://www.capitalonecareers.com/search-jobs,('report':48),('authentication':0),('manufacturers':0),('power':522),('connected':0),('demand':52),('gain':163),('create':1699),('lower':0),('partners':655),('circa':0),('flows':0),('case':44),('change':525),('increasingly':20),('major':208),('share':1907),('forces':4),('offering':12),('forbes':0),('usage':12),('increased':12),('subject':79),('challenger':0),('externalization':0),('paths':0),('impact':311),('opportunities':579),('merchants':0),('user':99),('adoption':16),('context':87),('core':166),('technologies':76),('pressure':0),('signs':75),('futures':0),('supporting':135),('trade':241),('venture':0),('advice':0),('alternative':0),('executive':428),('high':240),('matter':32),('regulation':152),('entrants':0),('quantitative':602),('studies':0),('ecosystems':0),('experience':2331),('officer':308),('retail':261),('model':642),('open':470),('team':1929),('trading':0),('card':976),('experts':0),('lead':1750),('system':20),('users':12),('chain':8),('channels':173),('approach':212),('time':917),('focus':300),('wealth':0),('crowdfund':0),('frastructure':59),('lend':215),('offerings':8),('ecosystem':4),('processes':16),('early':4),('fintech':0),('strategy':1058),('techs':0),('offer':180),('provide':945),('emerging':24),('increasing':24),('continued':0),('funding':8),('incumbent':0),('low':356),('models':204),('distributors':0),('insurtechs':0),('chief':304),('critical':124),('director':220),('potential':48),('underwriting':32),('access':91),('innovation':734),('role':793),('transactions':0),('growth':136),('competition':0)
3,capitalOne,Analytics,75,3,TextRank,https://www.capitalonecareers.com/search-jobs,('banks':12),('banked':0),('customized':0),('customization':8),('customs':0),('marketing':1064),('provides':24),('provide':945),('providing':24),('insurance':0),('insurers':0),('insure':0),('insurer':0),('insuring':0),('insured':0),('payments':24),('financially':0),('financials':0),('risk':871),('risks':20),('risking':0),('platform':115),('customer adoption':0),('retail banking':4),('data':19131),('increasing':24),('increase':28),('increased':12),('increases':0),('services':633),('servicing':4),('deutsche bank':0),('managing':24),('manager':1682),('manage':2980),('managers':40),('managed':16),('manageable':0),('manages':4),('product':2612),('products':966),('production':0),('productivity':12),('global financial institutions provided':0),('digital':186),('digit':186),('digitization':0),('incumbent service providers':0),('process':414),('processing':79),('processed':0),('institute':0),('institution':4),('accounts shifting customers':0),('transactions':0),('transacting':0),('transact':58),('institutional investors':0),('lowering market':0),('regulators':0),('regulated':8),('regulator':80),('regulation':152),('regulate':8),('regulates':0),('regulating':0),('investor':0),('ceo':8),('investing':8),('invest':72),('invested':0),('investments':16),('investable':0),('invests':0),('bases':4),('base':905),('based':668),('technology':1009),('technologically':0),('regulatory':80),('identities':24),('worlds':0),('information':1317),('inform':1457),('informed':8),('investment solution':0),('standardize processes':0),('keys':75),('provider especially':0),('requiring':0),('required':2029),('requires':111),('requirements':303),('require':2822),('requirement':303),('identity solutions':0),('capitalize':0),('capitals':0),('capitalization':0),('traditional':4)
4,capitalOne,BranchAmbassador,75,1,wordcount,https://www.capitalonecareers.com/search-jobs,('financial':1729),('customers':2631),('identity':450),('data':16843),('institutions':0),('market':382),('services':1275),('platforms':0),('customer':6773),('digital':300),('traditional':0),('key':2823),('bank':4222),('risk':150),('insurance':0),('products':1050),('alternative':0),('investors':0),('payment':0),('investment':0),('banks':0),('economic':0),('payments':0),('forum':0),('capital':7728),('uncertainties':0),('implications':0),('future':75),('time':2712),('access':79),('systems':0),('findings':0),('providers':0),('lending':0),('management':300),('based':453),('insurers':0),('transactions':225),('processes':0),('provide':900),('system':4),('dlt':0),('potential':0),('business':377),('technology':978),('process':300),('regulatory':0),('state':3805),('scenario':0),('opportunities':565),('risks':0),('intermediaries':0),('regulators':0),('user':75),('states':3265),('users':0),('solutions':375),('introduction':0),('incumbents':0),('service':3380),('asset':150),('high':225),('conclusion':0),('platform':0),('global':75),('equity':0),('fis':0),('smart':0),('credit':0),('industry':75),('cost':110),('trade':225),('infrastructure':0),('models':0),('trading':0),('transfer':225),('real':453),('transaction':225),('funding':0),('automated':0),('product':1658),('markets':0),('banking':2795),('individual':0),('online':225),('case':225),('ecosystem':0),('attributes':0),('firms':0),('scale':75),('mobile':300),('ability':450),('entities':150),('current':150),('wealth':0),('role':1200),('investor':0),('crowdfunding':0),('assets':150),('distributed':0)
5,capitalOne,BranchAmbassador,75,2,TF/IDF,https://www.capitalonecareers.com/search-jobs,('report':0),('authentication':0),('manufacturers':0),('power':378),('connected':0),('demand':0),('gain':75),('create':1425),('lower':0),('partners':0),('circa':0),('flows':0),('case':225),('change':300),('increasingly':0),('major':0),('share':1803),('forces':0),('offering':0),('forbes':0),('usage':0),('increased':0),('subject':75),('challenger':0),('externalization':0),('paths':0),('impact':75),('opportunities':565),('merchants':0),('user':75),('adoption':75),('context':75),('core':75),('technologies':0),('pressure':0),('signs':75),('futures':0),('supporting':75),('trade':225),('venture':0),('advice':0),('alternative':0),('executive':225),('high':225),('matter':0),('regulation':375),('entrants':0),('quantitative':0),('studies':0),('ecosystems':0),('experience':2637),('officer':225),('retail':675),('model':0),('open':603),('team':1732),('trading':0),('card':225),('experts':225),('lead':456),('system':4),('users':0),('chain':0),('channels':450),('approach':0),('time':2712),('focus':0),('wealth':0),('crowdfund':0),('frastructure':0),('lend':75),('offerings':0),('ecosystem':0),('processes':0),('early':0),('fintech':0),('strategy':77),('techs':0),('offer':600),('provide':900),('emerging':0),('increasing':0),('continued':0),('funding':0),('incumbent':0),('low':450),('models':0),('distributors':0),('insurtechs':0),('chief':225),('critical':0),('director':0),('potential':0),('underwriting':0),('access':79),('innovation':228),('role':1200),('transactions':225),('growth':300),('competition':0)
6,capitalOne,BranchAmbassador,75,3,TextRank,https://www.capitalonecareers.com/search-jobs,('banks':0),('banked':0),('customized':0),('customization':0),('customs':0),('marketing':75),('provides':0),('provide':900),('providing':0),('insurance':0),('insurers':0),('insure':0),('insurer':0),('insuring':0),('insured':0),('payments':0),('financially':0),('financials':0),('risk':150),('risks':0),('risking':0),('platform':0),('customer adoption':0),('retail banking':0),('data':16843),('increasing':0),('increase':0),('increased':0),('increases':0),('services':1275),('servicing':2),('deutsche bank':0),('managing':0),('manager':332),('manage':632),('managers':0),('managed':0),('manageable':0),('manages':0),('product':1658),('products':1050),('production':0),('productivity':0),('global financial institutions provided':0),('digital':300),('digit':300),('digitization':0),('incumbent service providers':0),('process':300),('processing':75),('processed':0),('institute':0),('institution':0),('accounts shifting customers':0),('transactions':225),('transacting':0),('transact':225),('institutional investors':0),('lowering market':0),('regulators':0),('regulated':0),('regulator':0),('regulation':375),('regulate':0),('regulates':0),('regulating':0),('investor':0),('ceo':0),('investing':75),('invest':150),('invested':0),('investments':0),('investable':0),('invests':0),('bases':0),('base':453),('based':453),('technology':978),('technologically':0),('regulatory':0),('identities':0),('worlds':0),('information':1203),('inform':1203),('informed':0),('investment solution':0),('standardize processes':0),('keys':75),('provider especially':0),('requiring':0),('required':2025),('requires':300),('requirements':225),('require':2925),('requirement':225),('identity solutions':0),('capitalize':0),('capitals':0),('capitalization':0),('traditional':0)
7,capitalOne,DataScience,75,1,wordcount,https://www.capitalonecareers.com/search-jobs,('financial':607),('customers':1371),('identity':450),('data':27478),('institutions':44),('market':220),('services':609),('platforms':214),('customer':2418),('digital':188),('traditional':52),('key':4271),('bank':1447),('risk':482),('insurance':0),('products':611),('alternative':16),('investors':4),('payment':20),('investment':8),('banks':32),('economic':56),('payments':4),('forum':0),('capital':8499),('uncertainties':0),('implications':0),('future':223),('time':1163),('access':115),('systems':56),('findings':4),('providers':0),('lending':4),('management':857),('based':380),('insurers':0),('transactions':134),('processes':94),('provide':873),('system':60),('dlt':0),('potential':28),('business':1248),('technology':1377),('process':811),('regulatory':24),('state':5122),('scenario':0),('opportunities':573),('risks':8),('intermediaries':0),('regulators':24),('user':147),('states':4475),('users':20),('solutions':395),('introduction':0),('incumbents':0),('service':1024),('asset':166),('high':40),('conclusion':0),('platform':345),('global':8),('equity':0),('fis':0),('smart':140),('credit':550),('industry':361),('cost':0),('trade':225),('infrastructure':14),('models':322),('trading':0),('transfer':0),('real':466),('transaction':270),('funding':4),('automated':0),('product':2055),('markets':36),('banking':1026),('individual':258),('online':0),('case':44),('ecosystem':0),('attributes':0),('firms':8),('scale':481),('mobile':158),('ability':293),('entities':150),('current':278),('wealth':4),('role':685),('investor':4),('crowdfunding':0),('assets':158),('distributed':130)
8,capitalOne,DataScience,75,2,TF/IDF,https://www.capitalonecareers.com/search-jobs,('report':132),('authentication':0),('manufacturers':0),('power':454),('connected':36),('demand':4),('gain':93),('create':1703),('lower':0),('partners':100),('circa':0),('flows':8),('case':44),('change':326),('increasingly':0),('major':8),('share':1975),('forces':0),('offering':24),('forbes':0),('usage':24),('increased':0),('subject':91),('challenger':0),('externalization':0),('paths':0),('impact':259),('opportunities':573),('merchants':0),('user':147),('adoption':12),('context':75),('core':79),('technologies':450),('pressure':0),('signs':75),('futures':0),('supporting':77),('trade':225),('venture':0),('advice':0),('alternative':16),('executive':304),('high':40),('matter':24),('regulation':150),('entrants':0),('quantitative':522),('studies':0),('ecosystems':0),('experience':2835),('officer':302),('retail':12),('model':1353),('open':810),('team':1415),('trading':0),('card':1081),('experts':0),('lead':1468),('system':60),('users':20),('chain':0),('channels':0),('approach':40),('time':1163),('focus':48),('wealth':4),('crowdfund':0),('frastructure':14),('lend':79),('offerings':24),('ecosystem':0),('processes':94),('early':44),('fintech':0),('strategy':797),('techs':0),('offer':334),('provide':873),('emerging':135),('increasing':0),('continued':4),('funding':4),('incumbent':0),('low':412),('models':322),('distributors':0),('insurtechs':0),('chief':300),('critical':76),('director':110),('potential':28),('underwriting':0),('access':115),('innovation':642),('role':685),('transactions':134),('growth':20),('competition':0)
9,capitalOne,DataScience,75,3,TextRank,https://www.capitalonecareers.com/search-jobs,('banks':32),('banked':0),('customized':0),('customization':0),('customs':0),('marketing':111),('provides':4),('provide':873),('providing':20),('insurance':0),('insurers':0),('insure':0),('insurer':0),('insuring':0),('insured':0),('payments':4),('financially':0),('financials':0),('risk':482),('risks':8),('risking':0),('platform':345),('customer adoption':0),('retail banking':4),('data':27478),('increasing':0),('increase':12),('increased':0),('increases':12),('services':609),('servicing':4),('deutsche bank':0),('managing':52),('manager':1377),('manage':2390),('managers':72),('managed':68),('manageable':0),('manages':4),('product':2055),('products':611),('production':200),('productivity':0),('global financial institutions provided':0),('digital':188),('digit':188),('digitization':0),('incumbent service providers':0),('process':811),('processing':344),('processed':0),('institute':4),('institution':44),('accounts shifting customers':0),('transactions':134),('transacting':0),('transact':270),('institutional investors':0),('lowering market':0),('regulators':24),('regulated':0),('regulator':56),('regulation':150),('regulate':0),('regulates':0),('regulating':0),('investor':4),('ceo':4),('investing':8),('invest':216),('invested':0),('investments':0),('investable':0),('invests':0),('bases':152),('base':1071),('based':380),('technology':1377),('technologically':0),('regulatory':24),('identities':0),('worlds':0),('information':1311),('inform':1363),('informed':0),('investment solution':0),('standardize processes':0),('keys':75),('provider especially':0),('requiring':0),('required':2025),('requires':87),('requirements':241),('require':2728),('requirement':241),('identity solutions':0),('capitalize':0),('capitals':0),('capitalization':0),('traditional':52)
10,capitalOne,Finance,75,1,wordcount,https://www.capitalonecareers.com/search-jobs,('financial':1459),('customers':1309),('identity':450),('data':17453),('institutions':0),('market':515),('services':709),('platforms':16),('customer':1827),('digital':4),('traditional':12),('key':3051),('bank':1836),('risk':1207),('insurance':0),('products':519),('alternative':8),('investors':4),('payment':20),('investment':48),('banks':12),('economic':48),('payments':0),('forum':4),('capital':8614),('uncertainties':0),('implications':24),('future':75),('time':1441),('access':83),('systems':277),('findings':12),('providers':24),('lending':32),('management':1817),('based':352),('insurers':0),('transactions':52),('processes':336),('provide':1217),('system':501),('dlt':0),('potential':52),('business':1498),('technology':1107),('process':1259),('regulatory':340),('state':3942),('scenario':16),('opportunities':607),('risks':108),('intermediaries':0),('regulators':32),('user':103),('states':3300),('users':0),('solutions':139),('introduction':0),('incumbents':0),('service':1108),('asset':178),('high':300),('conclusion':8),('platform':119),('global':24),('equity':24),('fis':12),('smart':0),('credit':60),('industry':179),('cost':84),('trade':276),('infrastructure':12),('models':128),('trading':48),('transfer':4),('real':346),('transaction':248),('funding':87),('automated':0),('product':1112),('markets':251),('banking':1072),('individual':104),('online':0),('case':20),('ecosystem':0),('attributes':0),('firms':0),('scale':79),('mobile':150),('ability':569),('entities':170),('current':254),('wealth':0),('role':845),('investor':12),('crowdfunding':0),('assets':158),('distributed':0)
