,keyword,occurence
0,ability,842
1,access,92
2,activities,12
3,alternative,0
4,asset,144
5,assets,144
6,attributes,0
7,automated,0
8,bank,1803
9,banking,924
10,banks,12
11,based,648
12,benefits,388
13,business,4287
14,capabilities,124
15,capital,8018
16,card,891
17,contract,4
18,control,24
19,cost,0
20,costs,0
21,credit,1339
22,customer,2448
23,customers,1372
24,data,18327
25,digital,186
26,directly,32
27,ecosystem,4
28,entities,168
29,equity,0
30,experience,2268
31,financial,516
32,firms,0
33,focus,292
34,funding,8
35,future,252
36,global,0
37,high,228
38,identity,434
39,impact,296
40,improve,472
41,increase,28
42,incumbents,0
43,individual,12
44,industry,148
45,infrastructure,71
46,institutions,0
47,insurance,0
48,intermediaries,0
49,investment,40
50,investors,0
51,key,3440
52,large,188
53,management,1064
54,market,1372
55,markets,0
56,mobile,144
57,models,188
58,number,36
59,offer,172
60,online,0
61,opportunities,552
62,payment,16
63,payments,16
64,platform,111
65,platforms,12
66,potential,48
67,process,368
68,processes,20
69,product,2511
70,products,919
71,provide,912
72,providers,4
73,real,346
74,regulators,0
75,regulatory,80
76,required,1956
77,risk,912
78,role,752
79,scale,124
80,service,1147
81,services,626
82,set,1124
83,shift,132
84,smart,4
85,solutions,212
86,state,4210
87,system,20
88,systems,16
89,technology,1043
90,time,732
91,trade,228
92,trading,0
93,traditional,12
94,transaction,4
95,transactions,4
96,transfer,0
97,user,104
98,users,16
99,wealth,0
