,keyword,occurence
0,ability,276
1,access,118
2,activities,8
3,asset,164
4,assets,156
5,attributes,0
6,automated,0
7,bank,1420
8,banks,32
9,based,368
10,benefits,374
11,business,1390
12,capital,8422
13,card,1053
14,competition,0
15,contract,0
16,cost,0
17,costs,0
18,credit,638
19,crowdfunding,0
20,customer,2381
21,customers,1348
22,data,27120
23,digital,176
24,ecosystem,0
25,entities,150
26,equity,0
27,externalisation,0
28,financial,602
29,fintechs,0
30,firms,16
31,focus,60
32,funding,4
33,future,226
34,global,4
35,high,36
36,http,3922
37,https,3108
38,identity,442
39,impact,250
40,incumbents,0
41,individual,266
42,industry,392
43,infrastructure,14
44,institutions,36
45,insurance,0
46,insurers,0
47,intermediaries,0
48,investment,8
49,investors,8
50,key,4086
51,large,344
52,loan,8
53,management,919
54,managers,64
55,market,249
56,markets,40
57,models,318
58,number,8
59,offer,338
60,online,0
61,payment,16
62,payments,4
63,platform,286
64,platforms,175
65,potential,44
66,process,775
67,processes,114
68,product,1950
69,products,584
70,provide,876
71,providers,0
72,proxy,0
73,real,446
74,regulators,32
75,regulatory,24
76,risk,490
77,robo,0
78,scale,428
79,scenario,0
80,service,1058
81,services,642
82,shift,78
83,smart,156
84,solutions,362
85,state,4922
86,strategies,24
87,system,72
88,systems,60
89,technology,1358
90,time,964
91,trade,222
92,trading,0
93,traditional,40
94,transaction,202
95,transactions,122
96,transfer,0
97,user,138
98,users,20
99,wealth,8
