,keyword,occurence
0,ability,557
1,access,93
2,activities,108
3,alternative,4
4,asset,170
5,assets,154
6,attributes,0
7,automated,0
8,bank,1658
9,banking,1020
10,banks,8
11,based,340
12,benefits,369
13,business,1658
14,capabilities,48
15,capital,8317
16,card,640
17,contract,283
18,control,588
19,cost,112
20,costs,16
21,credit,186
22,customer,1773
23,customers,1271
24,data,16753
25,digital,8
26,directly,52
27,ecosystem,0
28,entities,160
29,equity,8
30,experience,1871
31,financial,1679
32,firms,0
33,focus,68
34,funding,32
35,future,77
36,global,32
37,high,236
38,identity,440
39,impact,221
40,improve,261
41,increase,8
42,incumbents,0
43,individual,100
44,industry,193
45,infrastructure,8
46,institutions,0
47,insurance,4
48,intermediaries,0
49,investment,32
50,investors,8
51,key,2865
52,large,72
53,management,1850
54,market,434
55,markets,192
56,mobile,146
57,models,128
58,number,0
59,offer,8
60,online,0
61,opportunities,595
62,payment,32
63,payments,4
64,platform,119
65,platforms,16
66,potential,68
67,process,1221
68,processes,344
69,product,1034
70,products,467
71,provide,1193
72,providers,16
73,real,328
74,regulators,28
75,regulatory,228
76,required,2051
77,risk,1293
78,role,811
79,scale,77
80,service,1157
81,services,766
82,set,1032
83,shift,73
84,smart,0
85,solutions,153
86,state,3833
87,system,509
88,systems,297
89,technology,1124
90,time,1173
91,trade,266
92,trading,44
93,traditional,12
94,transaction,107
95,transactions,48
96,transfer,4
97,user,117
98,users,4
99,wealth,0
