,keyword,occurence
0,ability,531
1,access,95
2,activities,144
3,asset,154
4,assets,154
5,attributes,0
6,automated,0
7,bank,1292
8,banks,0
9,based,456
10,benefits,435
11,business,1009
12,capital,8515
13,card,697
14,competition,0
15,contract,35
16,cost,12
17,costs,0
18,credit,116
19,crowdfunding,0
20,customer,1677
21,customers,1169
22,data,17102
23,digital,67
24,ecosystem,0
25,entities,164
26,equity,0
27,externalisation,0
28,financial,314
29,fintechs,0
30,firms,4
31,focus,196
32,funding,4
33,future,123
34,global,36
35,high,284
36,http,3999
37,https,3158
38,identity,436
39,impact,171
40,incumbents,0
41,individual,88
42,industry,123
43,infrastructure,0
44,institutions,0
45,insurance,12
46,insurers,0
47,intermediaries,0
48,investment,16
49,investors,0
50,key,3171
51,large,36
52,loan,12
53,management,1003
54,managers,252
55,market,187
56,markets,8
57,models,4
58,number,4
59,offer,48
60,online,28
61,payment,20
62,payments,0
63,platform,20
64,platforms,16
65,potential,68
66,process,680
67,processes,92
68,product,998
69,products,437
70,provide,1135
71,providers,16
72,proxy,0
73,real,336
74,regulators,0
75,regulatory,12
76,risk,278
77,robo,0
78,scale,83
79,scenario,4
80,service,1215
81,services,798
82,shift,79
83,smart,4
84,solutions,175
85,state,3718
86,strategies,124
87,system,212
88,systems,184
89,technology,1018
90,time,1365
91,trade,333
92,trading,0
93,traditional,12
94,transaction,0
95,transactions,0
96,transfer,0
97,user,203
98,users,120
99,wealth,0
