,keyword,occurence
0,ability,502
1,access,141
2,activities,4
3,asset,154
4,assets,150
5,attributes,0
6,automated,0
7,bank,4051
8,banks,0
9,based,457
10,benefits,931
11,business,421
12,capital,7844
13,card,251
14,competition,0
15,contract,2
16,cost,100
17,costs,0
18,credit,48
19,crowdfunding,0
20,customer,6330
21,customers,2555
22,data,16891
23,digital,356
24,ecosystem,0
25,entities,150
26,equity,0
27,externalisation,0
28,financial,1775
29,fintechs,0
30,firms,0
31,focus,4
32,funding,0
33,future,75
34,global,71
35,high,233
36,http,4011
37,https,3182
38,identity,450
39,impact,75
40,incumbents,0
41,individual,48
42,industry,75
43,infrastructure,0
44,institutions,0
45,insurance,0
46,insurers,0
47,intermediaries,0
48,investment,0
49,investors,0
50,key,2843
51,large,75
52,loan,14
53,management,368
54,managers,0
55,market,444
56,markets,4
57,models,0
58,number,0
59,offer,580
60,online,217
61,payment,0
62,payments,0
63,platform,0
64,platforms,0
65,potential,12
66,process,300
67,processes,0
68,product,1618
69,products,1018
70,provide,920
71,providers,8
72,proxy,0
73,real,461
74,regulators,0
75,regulatory,4
76,risk,154
77,robo,0
78,scale,75
79,scenario,0
80,service,3102
81,services,1231
82,shift,75
83,smart,0
84,solutions,347
85,state,3831
86,strategies,4
87,system,6
88,systems,0
89,technology,978
90,time,2466
91,trade,225
92,trading,0
93,traditional,0
94,transaction,201
95,transactions,201
96,transfer,201
97,user,75
98,users,0
99,wealth,0
