,keyword,occurence
0,alternative payment,0
1,bank,1568
2,banking,932
3,banks,9
4,base,302
5,based,302
6,bases,0
7,business,1473
8,businesses,57
9,capital,7513
10,capitalize,3
11,com,13854
12,continued,3
13,cost,80
14,crowdfund,0
15,crowdfunded,0
16,crowdfunding,0
17,custom,8076
18,customer adoption,0
19,customers,1343
20,customization,18
21,customized,0
22,data,17053
23,digit,727
24,digital,724
25,digitally,0
26,digitization,0
27,financial,339
28,fintech,18
29,fintechs,12
30,firm,296
31,firms,0
32,fund,3
33,funded,0
34,funding,0
35,implications,0
36,increase,6
37,increased,0
38,increases,0
39,increasing,21
40,incumbent,0
41,incumbents,0
42,institutions provided,0
43,insurance,18
44,insure,0
45,insurer,0
46,insurers,0
47,introduct,0
48,introduction,0
49,invest,81
50,invested,0
51,investing,9
52,investment,21
53,investments,3
54,investor,0
55,investors,0
56,invests,18
57,key,2753
58,keys,74
59,manage,5265
60,managed,6
61,management,1898
62,manager,3190
63,managers,283
64,managing,75
65,market,400
66,marketing,166
67,markets,24
68,new challenge,0
69,offer,39
70,offered,0
71,offering,6
72,payments,45
73,platform,442
74,platforms,137
75,product,6998
76,production,18
77,products,1229
78,provide,856
79,provider,9
80,provides,0
81,providing,6
82,regulate,3
83,regulated,3
84,regulation,152
85,regulations,152
86,regulator,6
87,regulators,0
88,retrieved,0
89,risk,196
90,risking,0
91,risks,6
92,service providers,0
93,services,653
94,significantly lower technological,0
95,solution,263
96,solutions,233
97,source,368
98,technologically,3
99,technologies,153
