0,"Principal,BusPlanningAnalysis","
Locations:
New York, New York
","Business Planning and Analysis - IC5 Conducts unprecedented or complex analyses and reporting in support of general business operations, special projects/initiatives and/or strategic/operational planning activities. Often assigned as a project lead on business unit initiatives of strategic importance. Will enlist support from and lead junior staff or peers. Defines and develops analytical approaches to unprecedented and complex issues. Determines where measurement gaps exist and devises new metrics or reports to fill those gaps. Reviews operational data/metrics, analyzes and synthesizes the data, then compiles into reports or presentations. Navigates the entire firm in order to effectively complete tasks. Develops consultative partnerships with internal teams and leaders to understand their strategic objectives, key performance indicators and reporting requirements. Communicates with internal teams and leaders to stay abreast of organization and function operations and is familiar with company practices relevant to metrics, performance indicators, reporting protocols, etc. Leads special projects/initiatives that are of strategic importance for the function or business unit. Is a resource to more junior staff on complex or unprecedented issues. Is considered the technical leader for any ad-hoc reporting or project needs in the function or business unit. Collaborates with and supports senior leaders and their teams to ensure analytical and reporting needs are aligned, and supports business and operating results. No direct reports. Provides guidance to less experienced staff. Leads projects including assigning work and monitoring quality and completion. Contributes to the achievement of function or business unit objectives. Work product supports data-driven decision-making by team, functional or business unit leaders.  Qualifications Bachelors degree or the equivalent combination of education and experience is required. 10-12 years of total work experience preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 70156 Job: Human Resources Organization: HR Solutions Center-HR06284 Requisition Number: 1901047"
1,"Senior Representative, HR Admin","
Locations:
Tokyo, Japan
"," The Senior Representative, HR Administrator / Recruitment administrator will be responsible for a full range of administrative and / or clerical assignments. This will often include undertaking complex or unprecedented assignments and offering support on a range of tasks to the business and HR. This includes but is not limited to: 


 Offering country, regional or subject matter support in relation to recruitment system, background checks and/ or visa applications for Japan Investment Management 

 Executes requests in support to regional clients who include but are not limited to employees, managers, candidates, retirees, Communities of Expertise (CoE) and HR Business Partners (HRBP) 

 Provides technical support, test system functionality and work with end users to provide system support and troubleshoot system problems 

 Provide support for routine and ad-hoc data request from internal clients, regulators and audit exercises  

 Documents and maintains administrative procedures to ensure compliance to internal governance policy 

 Scheduling interviews taking place within the business to include booking rooms and video – conferencing across multiple tome zones and locations  

 Assists with on boarding and off boarding tasks to include preparing and drafting offer letter packs and dealing with HR Information System 

 Direct sourcing via various recruitment platforms, to include screening candidates for Investment Management 

 Support Japan Payroll and benefits administrations; and reporting for Japan regulatory authorities 

 As a member to regional support team in handling enquires from HR service portal till completion, escalate as necessary  Qualifications


 Secondary education (high school diploma or equivalent) or equivalent work experience required. Bachelor's preferred 

 3 years of experience working in HR preferred 

 Excellent communication and problem solving skills 

 Strong interpersonal skills and the ability to interact at all levels of the organization with diplomacy and professionalism 

 Ability to manage multiple and conflicting priorities in a fast paced environment, while meeting deadlines 

 Ability to adapt to change as it occurs in numerous areas within HR 

 Aptitude to manage large call/email volume 

 Ability to work independently and maintain confidentiality 

 Ability to handle sensitive and confidential employee data with discretion and professionalism/ Strong PC skills, including Microsoft Office, PeopleSoft, Taleo   BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Japan-Tokyo-To-Tokyo Job: Human Resources Internal Jobcode: 75110 Organization: HRBP IM MG-HR08345 Requisition Number: 1900500"
2,Senior Recruiter - Technology,"
Multiple Locations:
Jersey City, New Jersey; New York, New York
","Responsible for partnering with hiring managers, HRBP s and Recruiting Administration/Ops to seek out, assess, attract and hire the best talent - both internally and externally - for both exempt and non-exempt positions. Concentration will be on more complex/higher level recruitment efforts. He/she will learn and administer all staffing-related policies and procedures, including redeployment activity and BNY Mellon's diversity recruitment emphasis. The incumbent may supervise other recruiters, sourcer or as needed. Specialist recruiting administration. He/she will learn and develop external candidate sourcing methodologies including partnering with community agencies, search firm liaison activities and internet tools utilization. In addition, he/she will facilitate internal mobility through BNY Mellon My Career, which will include career counseling. Incumbents will coach and counsel lower-level recruiters. Qualifications
The global competences required to perform this function in rank order are: Client orientation Driving for results Client focus Developing partnerships Bachelor's degree or equivalent work experience is required with 6-9 years of progressive related experience with demonstrated knowledge of technical and legal aspects of HR; may have supervisory experience. Must have business knowledge consistent with being able to administer actions on behalf of the assigned business or business partner group. Must maintain knowledge of competitors (may have high regional focus) and implications for business. Must be able to identify people implications of function actions. Strong implementation, communication and change management skills required An advanced degree or a certification that is consistent with local practice such as SPHR in the US is preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Human Resources is invested in helping BNY Mellon achieve business success by building a winning, high-performance culture that stems from great talent, leadership, learning and diversity; and partnering with employees to provide the tools and resources necessary to support successful career growth and help ensure employees' wellbeing.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 32707 Job: Human Resources Organization: HR Technology-HR16446 Requisition Number: 1900855"
3,"Representative, HR Serv Del","
Locations:
Pittsburgh, Pennsylvania
","The Recruiting Administrator will perform a range of
administrative and clerical assignments supporting talent acquisition. Executes
requests in support of clients including Recruiters, Hiring Managers, HR
Business Partners (HRBP) and Communities of Excellence. She/he will accurately
enter employee information and/or data changes into HR information systems.
She/he will be responsible for ensuring that proper documentation is collected,
validated and input to the I9 systems. Duties may also include: 
•
Coordinating and scheduling interviews with candidates •
Onboarding new employees 
• Validating credentials for I9s 
• Execute assignments in a timely manner 
• Interaction with junior and senior level
recruiters 
Collaborate
with recruiters, managers, and administrators gathering information for
scheduling interviews  #LI-BW1 Qualifications
Secondary education (high school diploma or equivalent) or
equivalent work experience preferred.  0 to 2 years of experience working
in HR or related fields preferred. Excellent communication and problem solving
skills. Strong interpersonal skills and the ability to interact at all levels
of the organization with diplomacy and professionalism. Ability to manage
multiple and conflicting priorities in a fast paced environment, while meeting
deadlines. Ability to adapt to change as it occurs in numerous areas within HR.
Aptitude to manage large call/email volume. Ability to work independently and
maintain confidentiality. Ability to handle sensitive and confidential employee
data with discretion and professionalism/ Strong PC skills, including Microsoft
Office BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 75041 Job: Human Resources Organization: HR Solutions Center-HR06284 Requisition Number: 1900242"
4,HR Advisor,"
Locations:
Chennai, India
","'Under moderate guidance, delivers and executes a full spectrum of HR solutions and services to a specified internal client group. Supports the execution and delivery of HR solutions of core COE-designed processes including Talent and Development, Compensation & Mobility, Employee Relations, M&A and Special Projects across a specified internal client group. Work includes but not limited to moderately complex support of Year-End Compensation Planning, Annual Talent review and Succession planning, Performance Management and Manager Feedback across a specified client group and in daily activities such as new hire offers/internal promotions assisting with development plans, etc. Intake and triage within set guidelines on sensitive and non-complex Employee Relations cases, manager inquiries, etc. Supports in the delivery of adhoc reporting & analysis, M&A work and special projects. No direct reports. Modified based upon local regulations/requirements. Bachelor s Degree preferred or the equivalent combination of education and experience. 3+ years of progressive related experience preferred with demonstrated success in Talent Management, Organizational Design, Change Management, Workforce Planning, Talent Acquisition, or Total Rewards Planning ' Qualifications MBA BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Tamil Nadu-Chennai Job: Human Resources Internal Jobcode: 33440 Organization: HR CSD-HR16444 Requisition Number: 1818555"
5,Spec'st Bus.Analysis Cons't (Business Analyst),"
Locations:
Pittsburgh, Pennsylvania
","Specialist Business Analysis Consultant->> Analyzes, defines and prioritizes the business requirements, functional specifications and operational architecture for up to and including highly complex strategic, global programs. Provides consultation to IT and business management on applying technology to business opportunities and planning and implementing cross-functional applications or systems. May allocate/coordinate work within a team/project. Elicits, challenges, and prioritizes requirements using standard processes and templates, and translates into functional design and use case documents. Develops project scope, objectives, constraints and assumptions for a given large, strategic, multi-year project. Participates and provides guidance in development of the technical design, test plans, and user documentation. Consults internal business groups on requirements, functional architecture and implementation. Tracks scope and change throughout the remainder of the initiative utilizing formal requirements management principles, including change control and requirements traceability. Gathers and analyzes information to assist in development of recommendations to address strategic business objectives that span multiple, global business and technology areas. Participates in industry forums and keeps current on domain knowledge for their specific business and application areas of expertise. Applies experiences with existing software and/or systems development processes to develop better processes to be used in the future. Actively influences software development process improvement initiatives. Provides senior level consultation to internal business groups on process improvement projects designed to improve their business results. Contributes to the achievement of related teams' objectives.  Qualifications Bachelor's degree in business or technical-related discipline, or equivalent work experience required, advanced degree preferred, 6-8 years of experience in providing consulting advice to senior IT and business management required, experience in the securities or financial services industry is a plus. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 45141 Job: Human Resources Organization: HR Solutions Center-HR06284 Requisition Number: 1900929"
6,"Exec Mgr, Recruitment (Head of Talent Acquisition – Operations Business)","
Locations:
New York, New York
","

The Global Head of Talent Acquisition –Operations will shape the TA vision and strategy for the Operations (Client Service Delivery) business.  This key leadership role will oversee the Recruiting strategy and execution to support the business goals. He/she will lead, coach and develop a global recruiting team.  This person would oversee the full life cycle recruiting, sourcing, marketing & branding, and diverse candidate pipeline development strategies to ensure that the business is attracting top talent focused on supporting our client’s operational needs.  They will drive the best in class practices in recruitment and operational standards, drive efficiencies and foster an environment that focuses on client management and delivery.

The ideal candidate has had global recruiting experience and has either supported a large scale, global operations and/or technology business within a financial services firm.  He or she is highly capable to handle the strategic recruitment of the role but also must execute on recruiting with a roll up their sleeves, can do attitude.  This person will quickly develop effective partnerships with both their team as well as with executive committee members, as well as other key HR Partners across the centers of excellence (Compensation, HRBP, and Talent).

Responsibilities:
·        Champion vision, mission and strategy of global TA road map and discipline
·        Utilize knowledge of business needs/priorities to develop a technology recruiting strategy that ensure a diverse pipeline of talent
·        Build a strong employer brand and strategy to attract and yield high quality candidates 
·        Work closely with Marketing Communications to develop recruiting collaterals and support materials to communicate value proposition leveraged through social networking, career sites, job descriptions and other employment related tools/resources
·        Partner and build relationships with business stakeholders and HR CoE’s to create a robust and efficient recruiting process 
·        Create and share data driven analysis and insights with Executive Committee member of Operations (i.e. recruiting dashboards, hiring forecasts)
·        Continue to optimize sourcing capabilities by reviewing and researching the best in class recruiting technologies 
·        Provide leadership, training, coaching and support to a global recruiting team 
 Qualifications Advance degree or equivalent work experience. Advanced degree or certification. 16+ years of progressive related experience with demonstrated knowledge of technical and legal aspects of HR;; minimum 10+ years of supervisory/management experience 
 
 #LI-LY1  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New York-New York Internal Jobcode: 75113 Job: Human Resources Organization: HR CSD-HR16444 Requisition Number: 1901293"
7,"Exec Mgr, Recruitment - Head of Talent Acquisition, Technology","
Multiple Locations:
Jersey City, New Jersey; New York, New York
","
 The Global Head of Talent Acquisition –Technology will shape the TA vision and strategy for the Technology business.  This key leadership role will oversee the Recruiting strategy and execution to support the business. He/She will lead, coach and develop a global recruiting team.  This person would oversee the full life cycle recruiting, sourcing, marketing & branding, and diverse candidate pipeline development strategies to ensure that the business is attracting top technology talent.  They will drive the best in class practices in recruitment and operational standards, drive efficiencies and foster an environment that focuses on client management and delivery. 
  
 The ideal candidate has had global recruiting experience and has either supported a technology business or at a technology company.  He or she is highly capable to handle the strategic recruitments of the role but also must execute on recruiting with a roll up their sleeves, can do attitude.  This person will quickly develop effective partnerships with both their team as well as with executive committee members, as well as other key HR Partners across the centers of excellence (Compensation, HRBP, and Talent). 
 
Responsibilities:
 
 Champion vision, mission and strategy of global TA road map and discipline 
 Utilize knowledge of business needs/priorities to develop a technology recruiting strategy that ensure a diverse pipeline of talent 
 Build a strong employer brand and strategy to attract and yield high quality candidates  
 Work closely with Marketing Communications to develop recruiting collaterals and support materials to communicate value proposition leveraged through social networking, career sites, job descriptions and other employment related tools/resources 
 Partner and build relationships with business stakeholders and HR CoE’s to create a robust and efficient recruiting process  
 Create and share data driven analysis and insights with Executive Committee member of Technology (i.e. recruiting dashboards, hiring forecasts) 
 Continue to optimize sourcing capabilities by reviewing and researching the best in class recruiting technologies  
 Provide leadership, training, coaching and support to a global recruiting team  
 Build strong, working relationships with hiring managers/key stakeholders 
 Develop and champion diversity strategy  
 Manage recruiting budget and agency relationships/contracts/costs Qualifications
Minimum Qualifications: 
 Advanced degree or equivalent work experience 
 16+ years of progressive related experience with demonstrated knowledge of technical and legal aspects of HR 
  Minimum 10+ years of supervisory/management experience  
 Preferred Skills/Qualifications: 
 Experience working in Financial Services or Technology company facing off to Technology executives is highly preferred  
 Ability to develop and drive a competitive high volume recruiting strategy to meet the business needs 
 Global experience is highly desired 
 Superior influencing and negotiation skills 
 Proven experience executing a marketing/branding strategy for attracting Technology Talent 
 Business savvy 
 Advanced knowledge of the best in class sourcing tools, social media partnerships, and technology platforms needed to attract talent into an organization as well as experience implementing them in large scale organizations 
 Ability to lead and manage large, global teams in a matrixed environment 
 Solid analytical skills, ability to analyze data and deliver insights and solutions to recruiting challenges  
 Excellent client management skills, has gravitas to face off to C level executives  
    BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-New Jersey-Jersey City Internal Jobcode: 75113 Job: Human Resources Organization: HR Technology-HR16446 Requisition Number: 1815016"
8,"Principal, Prog & Proj Mgmt","
Locations:
Pittsburgh, Pennsylvania
","Project/Program Management - IC5 Leads and provides some direction and guidance for a wide array of activities associated with project planning and management to ensure that projects are completed on time, within budget and to internal client specifications.  Manages and oversees the end-to-end project management activities such as project reporting, project planning, issue/risk identification and tracking, scope management, estimation, internal client management, relationship management and other project documentation preparation for projects of high complexity. Directs and controls all work performed. Reports and escalates progress/issues to Sr. management, as needed. Develops detailed project plans and schedules projects, including goals, risks and resource allocation. Monitors project results for significant deviations. Manages vendor and client relations to ensure that service expectations are developed and met. Maintains regular contact with clients and coordinates and reports on project progress and accomplishments. May provide input for (project) team member performance appraisals. Works with all required functions and groups to effectively plan and execute the project. May coordinate resources across organizational boundaries. Serves as a liaison between clients and internal groups to ensure delivery of projects on time, within budget, and to specification. Manages communication with business leaders at a detailed functional level and discusses/resolves issues. Manages client expectations and ensures project delivery. Contributes to the achievement of function objectives  Qualifications Bachelors degree or the equivalent combination of education and experience in business management or related field is required. 10-12 years of total work experience in Project Management preferred. Project Management Professional (PMP) certification and/or Prince2 certification is preferred. Excellent written and verbal communication skills required. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70183 Job: Human Resources Organization: HR Compensation & Benefits-HR06282 Requisition Number: 1900515"
9,Recuiting Manager - Wealth Management,"
Locations:
Boston, Massachusetts
","
We are in search of an
experienced Recruiting Manager who will be responsible for the full-cycle recruitment
process and strategy for the Wealth Management business, with a focus on the
west coast talent needs.  The ideal
candidate is highly experienced, and provides high touch recruitment advice to the
business leaders.  This role is an
individual contributor role, however there may be opportunities to manage in
the future.  
 
Key responsibilities
include:

Develop and execute on a
     Recruiting strategy that meets the business goals 
Create a compelling candidate
     experience 
Ability to recruit for a wide
     range of roles, from junior level Analysts to senior level Portfolio
     Managers
Partner with the business stakeholders
     to ensure successful results
Build a diverse pipeline of
     talent
Manage an efficient and effective
     process, utilizing our Taleo ATS and other tools, such as LinkedIn and
     Avature
Key Competencies: Client
     Orientation, Driving execution, building organizational talent 
Experience with direct
     sourcing, but comfortable flexing to a contingency/retained search
     approach when necessary
 Qualifications Minimum Qualifications
·        
Bachelor's degree
or equivalent work experience required with 10 years of progressive related experience
with demonstrated knowledge of technical and legal aspects of HR
·        
Must have business
knowledge consistent with being able to administer actions on behalf of the
assigned business or business partner group
·        
Must maintain
knowledge of competitors (may have high regional focus) and implications for
business. Must be able to identify people implications of function actions
·        
This role is a
manager of managers; knowledge, communication, business and change management
skills of a high level are required 
·        
Represents the HR
function on business related issues such as conferences, M&A activities. An
advanced degree or certification with the certification consistent with local
practice such as SPHR in the US is preferred
 
Desired Skills and
Experience
·        
Proven track
record covering Wealth Management recruiting highly desired
·        
Leadership skills and experience
·        
Strong multi-tasker
·        
Highly Motivated 
·        
Client-focused
·        
Proactive, self-starter 
·        
Superior communication skills, with an ability to influence For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Human Resources is invested in helping BNY Mellon achieve business success by building a winning, high-performance culture that stems from great talent, leadership, learning and diversity; and partnering with employees to provide the tools and resources necessary to support successful career growth and help ensure employees' wellbeing.BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Boston Internal Jobcode: 32705 Job: Human Resources Organization: HRBP IM MG-HR08345 Requisition Number: 1900232"
