0,"Inter. Rep, Client Processing","
Locations:
Orlando, Florida
","Client Processing - S4 Applies expertise and judgement in providing quality, and occasionally complex client service and support to internal and external clients on a daily basis, including phone interaction, problem resolution, transaction processing (i.e., STP, manual), reconciliations and accounting services, and updates to client accounts in a timely manner. Performs a variety of operational tasks in a product or functional area, including processing updates to client accounts or company records and interpreting and handling exceptions. Investigates and corrects errors in client accounts. Conducts independent analysis and policy interpretation. Responsible for reconciliations, including reconciling cash breaks, position differences, and gathering and compiling data. Serves as the primary point of contact for clients and executes all correspondent requisites in a timely and accurate manner with an understanding of the underlying business and specific client needs. Maintains correspondent accounts in accordance with applicable regulations and policies, ensuring regulatory compliance and minimizing exposure related to assigned processing tasks. Accurately opens and updates accounts or company records. Works closely with technology and systems teams to ensure the system is efficient and incorporates any necessary risk mitigations. Provides product knowledge, market nuances and requirements and technical assistance, as necessary. May review and check work of other Client Processing Support staff and help resolve escalated issues. No direct reports. Provides guidance to less experienced Client Processing Support staff, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required.  Qualifications Bachelors degree preferred. 3-5 years of total work experience preferred. Experience in brokerage processing preferred. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Florida-Orlando Internal Jobcode: 70610 Job: Asset Servicing Organization: CCM Operating Company-HR17484 Requisition Number: 1900389"
1,"Analyst, Fund/Client Accounting","
Locations:
Wroclaw, Poland
"," Team description:The Exchange Traded Fund (ETF) team is responsible for the fund accounting/administration services for the ETF clients administered by BNY Mellon.  This  operational team is responsible for the accurate and timely calculation of Net Asset Values (NAV’s) and Portfolio Composition Files of our ETF clients. As a successful candidate you will be given opportunity to acquire and develop knowledge from related fields.  
   
 You will be responsible for: 

Preparation of the NAV and fund accounting related activities. 
Calculation of Fund Accounting related numerical data for inclusion in Client and BNYM reporting. 
Maintain checklists and procedure documents relating to client and BNY Mellon reporting. 
Escalate to Supervisor any client related queries. 
Accurate record keeping - including source data, client & internal communications, client approval / sign off of information etc. 
Escalate any significant operational issues which arise in a timely manner. Ensure good knowledge of the various ETF Services functions applicable to an ETF product. 
Provide Authorized Participant support and ensure the team is providing complete and accurate data to exchanges and AP’s, clients and all relevant parties. 
Ensure work allocated by supervisors is completed in a timely, accurate fashion within agreed deadlines. 
Adhere to BNY Mellon standard procedures and controls in accordance with the ETF Procedures Manual.
What we offer apart from BNYM packages:

Extensive training package on financial markets, systems, fund accounting. Working in an international environment, both within the Poland team, as well as in other teams. 
Familiarize with corporate culture. 
Working and learning from professionals. 
Multiple behavioral training 
If you like:

Working in a group & practice your English 
Comparing information from different sources to make decisions 
Develop your analytical skills 
Working in dynamic work environment with exposure to deadlines 
Working with Excel 
 We are waiting for you!  Qualifications We are looking for candidates who have:

1 years’ experience in the financial services, preferably in Fund Administration Industry.
Proficiency in English
Customer service skills.
Ability to multi-task, manage multiple projects and meet deadlines.
Strong clerical and keyboard skills  with particular focus on accuracy and attention to detail.
Proficiency in using Microsoft packages particularly Excel. Knowledge of Visual Basic would be beneficial but not essential.
Excellent teamwork, interpersonal, oral and written communication skills.
Excellent analytical, organizational and time management skills.
Motivated team members with the ability to adapt and learn quickly.
   
 Our offer for you:

Excellent opportunities for training, growth and professional development
Mentoring and job shadowing programs 
A multitude of opportunities to get involved in additional charity projects and engagement groups (mountain trips, football team etc.)
Language training course
Onsite kindergarten
Employee Referral Program
Health Promotion: Wellbeing and Innovation Centre, Wellbeing programs
   
 What is more:

Full time contract of employment
Competitive salary
Health & Life Insurance
Private medical care
Multisport card / Cinema Tickets / Nursery subsidiary
Pension scheme
Location: Aquarius Building ul. Swobodna 3.
Working hours: 9:00-17:15 BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Poland-Dolnoslaskie-Wroclaw Job: Asset Servicing Internal Jobcode: 70510 Organization: Structured Funds-HR13245 Requisition Number: 1901205"
2,Fund Administration Manager,"
Locations:
Grand Cayman, Cayman Islands
","The Fund Administration Manager (FAM) is responsible for assisting the General Manager (GM) in managing and overseeing the day to day trust related legal and administration activities of our fiduciary responsibilities related to BNY Mellon s Offshore Fund Management subsidiary, BNY Mellon Fund Management (Cayman) Limited (BNYM Cayman). The position requires in depth knowledge and skills in the areas of institutional trust, legal and fund administration and regulatory environment to successfully assist with the management of BNY Mellon s Cayman Fund Administration and Trust business. This position reports to the GM. Responsibilities include: Participate in the development and oversight of new business conversion plans, trust/fund restructurings and liquidations, and coordinate the ongoing delivery of trust services. Maintain and monitor Cayman Trust work practices and procedures ensuring fiduciary obligations are met and fiduciary risks are identified, assessed and mitigated. Assist in the legal review, drafting, editing and negotiation of fund/trust documents and be able to identify non-standard matters that are outside BNYM Cayman s service model and risk profile and ability to assess materiality of such non-standard matters. Attend and participate in fund meetings. Responsible for ensuring timely registration and filing of trusts/funds with the Cayman Islands Monetary Authority and assisting with retail Japanese fund filings in accordance with client deadlines. Provide support, advice and guidance on matters relating to establishing, restructuring and liquidating trusts/funds in accordance with Cayman regulatory environment. Responsible for the maintenance of all fund legal records (i.e. physical and digital records) including the maintenance of intercompany agreements. Responsible for training and supervision of support administrative staff. Liaise with Trustee s client and internal counsel, legal advisers, investment managers, local regulators, affiliated delegates. Qualifications Responsible for ensuring timely registration and filing of trusts/funds with the Cayman Islands Monetary Authority and assisting with retail Japanese fund filings in accordance with client deadlines. Provide support, advice and guidance on matters relating to establishing, restructuring and liquidating trusts/funds in accordance with Cayman regulatory environment. Responsible for the maintenance of all fund legal records (i.e. physical and digital records) including the maintenance of intercompany agreements. Responsible for training and supervision of support administrative staff. Liaise with Trustee s client and internal counsel, legal advisers, investment managers, local regulators, affiliated delegates. BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Cayman Islands-Grand Cayman- Job: Asset Servicing Internal Jobcode: 52522 Organization: AS Global Front Office-HR16987 Requisition Number: 1816233"
3,"Inter. Rep, Client Processing","
Locations:
Pune, India
","Client Processing - S4 Applies expertise and judgement in providing quality, and occasionally complex client service and support to internal and external clients on a daily basis, including phone interaction, problem resolution, transaction processing (i.e., STP, manual), reconciliations and accounting services, and updates to client accounts in a timely manner. Performs a variety of operational tasks in a product or functional area, including processing updates to client accounts or company records and interpreting and handling exceptions. Investigates and corrects errors in client accounts. Conducts independent analysis and policy interpretation. Responsible for reconciliations, including reconciling cash breaks, position differences, and gathering and compiling data. Serves as the primary point of contact for clients and executes all correspondent requisites in a timely and accurate manner with an understanding of the underlying business and specific client needs. Maintains correspondent accounts in accordance with applicable regulations and policies, ensuring regulatory compliance and minimizing exposure related to assigned processing tasks. Accurately opens and updates accounts or company records. Works closely with technology and systems teams to ensure the system is efficient and incorporates any necessary risk mitigations. Provides product knowledge, market nuances and requirements and technical assistance, as necessary. May review and check work of other Client Processing Support staff and help resolve escalated issues. No direct reports. Provides guidance to less experienced Client Processing Support staff, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 3-5 years of total work experience preferred. Experience in brokerage processing preferred. Qualifications Client Processing - S4 Applies expertise and judgement in providing quality, and occasionally complex client service and support to internal and external clients on a daily basis, including phone interaction, problem resolution, transaction processing (i.e., STP, manual), reconciliations and accounting services, and updates to client accounts in a timely manner. Performs a variety of operational tasks in a product or functional area, including processing updates to client accounts or company records and interpreting and handling exceptions. Investigates and corrects errors in client accounts. Conducts independent analysis and policy interpretation. Responsible for reconciliations, including reconciling cash breaks, position differences, and gathering and compiling data. Serves as the primary point of contact for clients and executes all correspondent requisites in a timely and accurate manner with an understanding of the underlying business and specific client needs. Maintains correspondent accounts in accordance with applicable regulations and policies, ensuring regulatory compliance and minimizing exposure related to assigned processing tasks. Accurately opens and updates accounts or company records. Works closely with technology and systems teams to ensure the system is efficient and incorporates any necessary risk mitigations. Provides product knowledge, market nuances and requirements and technical assistance, as necessary. May review and check work of other Client Processing Support staff and help resolve escalated issues. No direct reports. Provides guidance to less experienced Client Processing Support staff, as needed. Responsible for the quality and completion of own work. High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree preferred. 3-5 years of total work experience preferred. Experience in brokerage processing preferred. For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.Client Service Delivery (CSD) brings together BNY Mellon's key operational areas into one global team to better support the company's businesses and serve clients around the world.  CSD helps clients to conduct business, service assets, and engage in transactions in 35 countries and more than 100 markets. At every stage of the investments lifecycle - creating, trading, clearing, settling, holding, servicing, managing, distributing and restructuring assets - CSD is working to make BNY Mellon the recognized industry service quality and productivity leader.  Client Service Delivery manages investment monitoring, measurement and processing services for our clients. Our solutions include Securities Operations, Fund Administration, Transfer Agency, Outsourcing, Performance Measurement and other related services.BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: India-Maharashtra-Pune Job: Asset Servicing Internal Jobcode: 70610 Organization: Securities Service Delivery-HR06423 Requisition Number: 1900745"
4,"Specialist, Fund/ClientAccting","
Locations:
Frankfurt, Germany
","Conducts accounting services on behalf of assigned clients and complex funds including determining net asset values, calculating fund performance, allocating expenses and preparing reports. May lead work of junior team members for assigned client or fund. 

Performs highly complex Fund/Client Accounting responsibilities in the areas of driving Service Improvement plans, targeting efficiencies, enhancing processes and specialist review functions. 
Provides input into methodologies and checks complex work done by more junior team members.
Provides guidance and reviews work related to cash and asset reconciliations relating to complex accounts or transactions. Resolves reconciliation of accounts for the most complex or atypical transactions and reviews work of junior team members.  
Drafts reports for clients regarding the performance of highly complex funds.  
Provides guidance on report structure.
Regularly interacts with clients in answering questions and resolving multifaceted issues regarding fund reports and accounting processes.
Evaluates GAAP and/or IFRS rules to determine impact of new regulations on BNY Mellon fund accounting practices. Qualifications

Bachelor’s degree in accounting or the equivalent combination of education and experience is required.
7-10 years of total work experience preferred
Big 4 accounting firm experience preferred.         BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: Germany-Hessen-Frankfurt Job: Asset Servicing Internal Jobcode: 70507 Organization: AIS Operations-HR08997 Requisition Number: 1810656"
5,"Manager, Middle Office","
Locations:
Manchester, United Kingdom
","Manages a team of Middle Office staff responsible for researching and analyzing transactions on behalf of assigned clients. Handles reconciliations and inquiries. Also responsible for oversight of processing, trend analysis, client engagement, TPG review (SLA), process improvement, industry specialist, architecturally aware, incident management, and on shore recovery (processing). Manages the performance of assigned staff and sets team priorities. Manages day to day work of Middle Office team responsible for researching and analyzing transactions on behalf of more complex assigned clients. Handles reconciliations and inquiries. Manages the performance of assigned staff and sets team priorities. Manages relationships with assigned clients and ensures all questions are answered and issues with transactions are resolved. Manages processes and provides oversight of team to ensure that records are maintained in accordance with departmental policies and procedures. Communicates with internal stakeholders and clients to ensure needs are being addressed by the Middle Office function and provides input to Unit Managers. Supports evaluation of new clients and determine how to allocate that client against the various teams. Makes decisions on how to implement new clients in relatively straightforward situations. Provides input to Unit Managers. Recruits, directs, motivates and develops staff, maximizing their individual contribution, their professional growth and their ability to function effectively with their colleagues as a team. Receives input from Middle Office Team Leader. Manages a team of Middle Office staff. Responsible for the achievement of team goals and objectives, talent management and supervision of Middle Office staff. Qualifications  Bachelors degree in finance or the equivalent combination of education and experience is required.   BNY Mellon is an Equal Employment Opportunity Employer.  Primary Location: United Kingdom-Greater Manchester-Manchester Job: Asset Servicing Internal Jobcode: 70544 Organization: MOCSD Service Delivery-HR17225 Requisition Number: 1818330"
6,"Manager, Corporate Actions","
Locations:
Everett, Massachusetts
","Manages a small Corporate Actions team responsible for providing corporate action-related custody and accounting processing. Manages the daily transactional workflow within the team and aligns team resources accordingly to complete the daily tasks. Identifies areas requiring analysis of operations and resolution for more efficient operations. Approves the work product and operational output of staff to ensure accuracy on corporate actions activity. Reviews files for completion and compliance with execution of risk controls. Coordinates with internal departments and external sub custodians, custodians, depositories, agents and brokers to ensure that daily work meets organizational standards. Provides training for new team members and cross-training of all team members. Ensures adequate staffing allocation, performance and personnel management of team. Responsible for development of policies and procedures and management of written supervisory procedures. Recruits, directs, motivates and develops staff, maximizing their individual contribution, their professional growth and their ability to function effectively with their colleagues as a team. Supervises a small team. Responsible for achievement of team goals. Ensures team is equipped to operationalize and attain team objectives. Manage the human resources of the team, including coaching, performance management and career development. May manage financial resources of the team (budgets, expenses, etc.). Qualifications Bachelors degree or the equivalent combination of education and experience is required. 4-5 years of total work experience with at least 0-1 years in management preferred. Experience in brokerage processing is preferred. Applicable local/regional licenses or certifications as required by the business. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Everett Internal Jobcode: 70448 Job: Asset Servicing Organization: Service Directors-HR16351 Requisition Number: 1901139"
7,"Sr. Analyst, Client Processing","
Locations:
Dallas, Texas
","Client Processing - IC2

Performs routine and non-routine client service and transactional support functions.  Provides analytics and reporting services, working to improve and automate transaction processing systems. Advises organizational units/teams to ensure timely delivery of service, or resolution of issue. Provides direction to lower-level service roles in the successful delivery of support or service.

Processes account related transactions per scheduled events/client authenticated direction.  Answers inquiries and resolves problems or issues.  Assesses needs and suggests/promotes alternative approaches to service models.

Participates in straightforward product development, product enhancement, and system testing  to ensure that products continue to accurately and efficiently process high value transactions. Solves problems based on an understanding and knowledge of the intricacies of the system.

Integrates in-depth area knowledge with a solid understanding of industry standards and practices to provide solutions to internal and external clients.

Manages situations which may require adaptation of response or extensive research according to internal or external client response.

May be responsible for allocating and checking work of support team members.   May be responsible for specific supervisory review, training and approval actions.

Contributes to the achievement of team objectives   Qualifications Bachelors degree or the equivalent combination of education and experience is required. 3-5 years of total work experience is preferred. Experience in brokerage processing is preferred. Applicable local/regional licenses or certifications as required by the business. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Texas-Dallas Internal Jobcode: 70605 Job: Asset Servicing Organization: Issuer and Loan Services-HR11024 Requisition Number: 1901334"
8,"Team Lead, Corporate Actions","
Locations:
Everett, Massachusetts
","Corporate Actions - S6 Serves as a team supervisor/manager for the day-to-day operations of a medium to large-sized corporate actions team. Manages the day-to-day activities and initiatives of the team and aligns team resources accordingly to complete the daily tasks. Serves as first line supervisor for assignment of tasks and resolution of issues. Supports and completes client inquiries and requests. Resolves complex, escalated issues from subordinate staff. Directs, motivates and develops staff, maximizing their individual contribution, their professional growth and their ability to function effectively with their colleagues as a team. Ensures the volume of work produced meets product/service standards and exceeds quality standards, and is properly reviewed and documented. Provides product knowledge and technical assistance on moderately complex problems. Acts as the teams initial point of contact for issues requiring escalation. Participates in the recruiting process. Instructs, assigns, directs and reviews the work of corporate actions analysts. Prepares performance reviews and provides ongoing feedback to staff. Supervises a medium to large-sized corporate actions team. Responsible for specific supervisory review and approval actions. Responsible for the quality and completion of own work. Helps develop and contributes to the achievement of team objectives. Associates degree in a related discipline or equivalent combination of education and experience is required. Bachelors degree preferred. 7 plus years of technical and/or management experience preferred. Experience in the securities or financial services industry is preferred. Applicable local/regional licenses or certifications as required by the business. Qualifications Bachelors degree preferred. 7 plus years of technical and/or management experience preferred. Experience in the securities or financial services industry is preferred. Applicable local/regional licenses or certifications as required by the business. BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Massachusetts-Everett Internal Jobcode: 70453 Job: Asset Servicing Organization: Service Directors-HR16351 Requisition Number: 1901141"
9,"Sr. Rep, Middle Office","
Locations:
Pittsburgh, Pennsylvania
","Middle Office - S3 Independently provides accounting and trading support activities for funds of higher complexity. Performs reviews of more complex documents processed from across the Bank to confirm compliance with established processes and procedures. Reviews work of more junior colleagues and provides technical assistance on complex matters. Independently performs complex functions supporting accounting, trading and client services activities including book-keeping and data review. Reviews high volume of documents to ensure processors followed established procedures and took on minimal risk. Leverages strong knowledge of processes of procedures to confirm findings. Reviews findings of more junior staff. Tracks fund data and trades. Maintains records of high complexity in accordance with department policies and procedures. Provides requested data to team members as necessary. Searches for fail points in processes and provides error reports to clients in compliance with established service level agreements. Escalates external errors. Correction of internal errors is at the discretion of the client. Independently reviews for exceptions and may provide guidance to more junior level team members. If exceptions are found, confirms that internal and client procedures were followed, processing was on time and in line with FCC regulations and no unnecessary steps were taken. Prepares system-generated reports or templates consisting of multiple or advanced data sets and conducts general data validation and reconciliation. Reviews work of junior team members. No direct reports. Provides guidance to less experienced Middle Office support staff, as needed. Responsible for the quality and completion of own work. Qualifications  High school/secondary school or the equivalent combination of education and experience is required. Bachelors degree a plus, mutual fund industry background preferred. 2-3 years of total work experience preferred. Experience in accounting support or the mutual fund industry preferred.  BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.Minorities/Females/Individuals With Disabilities/Protected Veterans.  Primary Location: United States-Pennsylvania-Pittsburgh Internal Jobcode: 70550 Job: Asset Servicing Organization: MOCSD Service Delivery-HR17225 Requisition Number: 1900717"
