,keyword,occurence
0,ability,450
1,access,79
2,activities,0
3,alternative,0
4,asset,150
5,assets,150
6,attributes,0
7,automated,0
8,bank,4214
9,banking,2787
10,banks,0
11,based,453
12,benefits,975
13,business,377
14,capabilities,0
15,capital,7728
16,card,225
17,contract,0
18,control,0
19,cost,110
20,costs,0
21,credit,0
22,customer,6751
23,customers,2631
24,data,16845
25,digital,300
26,directly,0
27,ecosystem,0
28,entities,150
29,equity,0
30,experience,2637
31,financial,1729
32,firms,0
33,focus,0
34,funding,0
35,future,75
36,global,75
37,high,225
38,identity,450
39,impact,75
40,improve,375
41,increase,0
42,incumbents,0
43,individual,0
44,industry,75
45,infrastructure,0
46,institutions,0
47,insurance,0
48,intermediaries,0
49,investment,0
50,investors,0
51,key,2823
52,large,75
53,management,300
54,market,408
55,markets,0
56,mobile,300
57,models,0
58,number,0
59,offer,600
60,online,225
61,opportunities,565
62,payment,0
63,payments,0
64,platform,0
65,platforms,0
66,potential,0
67,process,300
68,processes,0
69,product,1658
70,products,1050
71,provide,900
72,providers,0
73,real,457
74,regulators,0
75,regulatory,0
76,required,2025
77,risk,150
78,role,1200
79,scale,75
80,service,3358
81,services,1275
82,set,825
83,shift,75
84,smart,0
85,solutions,375
86,state,3810
87,system,4
88,systems,0
89,technology,978
90,time,2542
91,trade,225
92,trading,0
93,traditional,0
94,transaction,225
95,transactions,225
96,transfer,225
97,user,75
98,users,0
99,wealth,0
