,keyword,occurence
0,alternative payment,0
1,bank,1420
2,banking,1022
3,banks,32
4,base,1060
5,based,368
6,bases,160
7,business,1390
8,businesses,48
9,capital,8422
10,capitalize,0
11,com,13648
12,continued,8
13,cost,0
14,crowdfund,0
15,crowdfunded,0
16,crowdfunding,0
17,custom,7737
18,customer adoption,0
19,customers,1348
20,customization,0
21,customized,0
22,data,27120
23,digit,176
24,digital,176
25,digitally,0
26,digitization,0
27,financial,602
28,fintech,0
29,fintechs,0
30,firm,316
31,firms,16
32,fund,4
33,funded,0
34,funding,4
35,implications,0
36,increase,12
37,increased,0
38,increases,12
39,increasing,0
40,incumbent,0
41,incumbents,0
42,institutions provided,0
43,insurance,0
44,insure,0
45,insurer,0
46,insurers,0
47,introduct,0
48,introduction,0
49,invest,212
50,invested,0
51,investing,4
52,investment,8
53,investments,0
54,investor,8
55,investors,8
56,invests,0
57,key,4086
58,keys,74
59,manage,2623
60,managed,72
61,management,919
62,manager,1560
63,managers,64
64,managing,60
65,market,249
66,marketing,114
67,markets,40
68,new challenge,0
69,offer,338
70,offered,4
71,offering,28
72,payments,4
73,platform,286
74,platforms,175
75,product,1950
76,production,192
77,products,584
78,provide,876
79,provider,0
80,provides,8
81,providing,12
82,regulate,0
83,regulated,0
84,regulation,146
85,regulations,146
86,regulator,60
87,regulators,32
88,retrieved,0
89,risk,490
90,risking,0
91,risks,16
92,service providers,0
93,services,642
94,significantly lower technological,0
95,solution,370
96,solutions,362
97,source,728
98,technologically,0
99,technologies,430
