,keyword,occurence
0,alternative payment,0
1,bank,1292
2,banking,956
3,banks,0
4,base,689
5,based,456
6,bases,8
7,business,1009
8,businesses,12
9,capital,8515
10,capitalize,0
11,com,14279
12,continued,4
13,cost,12
14,crowdfund,0
15,crowdfunded,0
16,crowdfunding,0
17,custom,6075
18,customer adoption,0
19,customers,1169
20,customization,0
21,customized,0
22,data,17102
23,digit,67
24,digital,67
25,digitally,4
26,digitization,0
27,financial,314
28,fintech,0
29,fintechs,0
30,firm,308
31,firms,4
32,fund,20
33,funded,0
34,funding,4
35,implications,0
36,increase,12
37,increased,4
38,increases,0
39,increasing,0
40,incumbent,0
41,incumbents,0
42,institutions provided,0
43,insurance,12
44,insure,0
45,insurer,0
46,insurers,0
47,introduct,0
48,introduction,0
49,invest,24
50,invested,0
51,investing,4
52,investment,16
53,investments,0
54,investor,0
55,investors,0
56,invests,0
57,key,3171
58,keys,83
59,manage,2593
60,managed,4
61,management,1003
62,manager,1298
63,managers,252
64,managing,320
65,market,187
66,marketing,115
67,markets,8
68,new challenge,0
69,offer,48
70,offered,0
71,offering,12
72,payments,0
73,platform,20
74,platforms,16
75,product,998
76,production,16
77,products,437
78,provide,1135
79,provider,28
80,provides,36
81,providing,56
82,regulate,0
83,regulated,0
84,regulation,140
85,regulations,140
86,regulator,12
87,regulators,0
88,retrieved,0
89,risk,278
90,risking,0
91,risks,8
92,service providers,0
93,services,798
94,significantly lower technological,0
95,solution,179
96,solutions,175
97,source,759
98,technologically,16
99,technologies,8
