,keyword,occurence
0,ability,604
1,access,111
2,activities,33
3,asset,148
4,assets,148
5,attributes,0
6,automated,18
7,bank,1568
8,banks,9
9,based,302
10,benefits,770
11,business,1473
12,capital,7513
13,card,735
14,competition,6
15,contract,12
16,cost,80
17,costs,3
18,credit,125
19,crowdfunding,0
20,customer,2391
21,customers,1343
22,data,17053
23,digital,724
24,ecosystem,21
25,entities,148
26,equity,6
27,externalisation,0
28,financial,339
29,fintechs,12
30,firms,0
31,focus,117
32,funding,0
33,future,98
34,global,0
35,high,425
36,http,4366
37,https,3404
38,identity,475
39,impact,173
40,incumbents,0
41,individual,54
42,industry,167
43,infrastructure,86
44,institutions,0
45,insurance,18
46,insurers,0
47,intermediaries,0
48,investment,21
49,investors,0
50,key,2753
51,large,267
52,loan,44
53,management,1898
54,managers,283
55,market,400
56,markets,24
57,models,57
58,number,15
59,offer,39
60,online,21
61,payment,63
62,payments,45
63,platform,442
64,platforms,137
65,potential,12
66,process,488
67,processes,39
68,product,6998
69,products,1229
70,provide,856
71,providers,3
72,proxy,0
73,real,284
74,regulators,0
75,regulatory,3
76,risk,196
77,robo,3
78,scale,137
79,scenario,0
80,service,1083
81,services,653
82,shift,77
83,smart,3
84,solutions,233
85,state,3567
86,strategies,57
87,system,78
88,systems,27
89,technology,1183
90,time,1180
91,trade,240
92,trading,0
93,traditional,0
94,transaction,18
95,transactions,3
96,transfer,3
97,user,260
98,users,54
99,wealth,0
