,keyword,occurence
0,ability,636
1,access,126
2,activities,224
3,asset,227
4,assets,176
5,attributes,4
6,automated,4
7,bank,1613
8,banks,28
9,based,436
10,benefits,390
11,business,1919
12,capital,8085
13,card,897
14,competition,0
15,contract,6
16,cost,8
17,costs,4
18,credit,758
19,crowdfunding,0
20,customer,1776
21,customers,1198
22,data,17329
23,digital,51
24,ecosystem,0
25,entities,156
26,equity,4
27,externalisation,0
28,financial,711
29,fintechs,0
30,firms,0
31,focus,136
32,funding,4
33,future,86
34,global,84
35,high,475
36,http,3922
37,https,3108
38,identity,440
39,impact,218
40,incumbents,0
41,individual,72
42,industry,270
43,infrastructure,47
44,institutions,4
45,insurance,111
46,insurers,0
47,intermediaries,0
48,investment,8
49,investors,0
50,key,2958
51,large,36
52,loan,160
53,management,2799
54,managers,136
55,market,184
56,markets,4
57,models,24
58,number,4
59,offer,28
60,online,8
61,payment,8
62,payments,8
63,platform,40
64,platforms,24
65,potential,104
66,process,1437
67,processes,436
68,product,936
69,products,482
70,provide,1138
71,providers,0
72,proxy,0
73,real,423
74,regulators,32
75,regulatory,399
76,risk,4496
77,robo,8
78,scale,90
79,scenario,8
80,service,1565
81,services,1155
82,shift,106
83,smart,8
84,solutions,226
85,state,3932
86,strategies,24
87,system,252
88,systems,148
89,technology,1080
90,time,1078
91,trade,226
92,trading,4
93,traditional,4
94,transaction,123
95,transactions,24
96,transfer,4
97,user,110
98,users,28
99,wealth,0
