job no,job title,institution,URL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,Agile Delivery Lead,capitalOne,https://www.capitalonecareers.com/job/mclean/agile-delivery-lead/1732/10879016,0,0,3,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Director - Special Assets, Commercial Credit Risk & Analytics",capitalOne,https://www.capitalonecareers.com/job/mclean/director-special-assets-commercial-credit-risk-and-analytics/1732/10879014,0,0,5,0,4,3,0,0,0,3,0,0,0,0,2,1,0,0,1,3,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,2,0,13,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,5,0,1,4,7
2,Risk Manager - Commercial Credit Risk & Analytics,capitalOne,https://www.capitalonecareers.com/job/new-york/risk-manager-commercial-credit-risk-and-analytics/1732/10879015,0,0,4,2,11,3,0,0,0,1,1,0,0,0,1,2,0,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,6,11
3,"Manager, Commercial Card Fraud Operations - Richmond, VA",capitalOne,https://www.capitalonecareers.com/job/richmond/manager-commercial-card-fraud-operations-richmond-va/1732/10877498,0,0,3,0,3,1,0,0,0,1,1,0,0,0,3,10,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,6,3,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,7,14
4,Business Analysis Manager - Pricing & Economics,capitalOne,https://www.capitalonecareers.com/job/wilmington/business-analysis-manager-pricing-and-economics/1732/10877499,0,0,3,0,3,2,0,0,0,7,0,0,0,0,0,1,0,0,0,4,6,0,0,0,1,0,0,0,0,0,3,4,1,0,1,1,0,1,9,0,0,3,0,0,2,0,0,3,0,5,0,2,0,0,1,0,0,0,0,0,1,13,0,0,0,3,2,0,0,0,0,0,2,0,19,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,9
5,Software Engineer (Cloud),capitalOne,https://www.capitalonecareers.com/job/richmond/software-engineer-cloud/1732/10877490,0,0,3,2,1,3,0,0,0,1,0,2,0,0,1,2,0,1,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,1,1,0,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,0,0,1
6,"Software Engineer, Senior Manager",capitalOne,https://www.capitalonecareers.com/job/vienna/software-engineer-senior-manager/1732/10877491,0,0,4,1,0,2,0,0,0,1,0,0,2,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,3
7,Machine Learning Data Engineer,capitalOne,https://www.capitalonecareers.com/job/plano/machine-learning-data-engineer/1732/10877492,0,0,3,8,0,3,0,0,0,1,0,1,0,0,1,1,0,1,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
8,Branch Ambassador - West University Branch- Houston West,capitalOne,https://www.capitalonecareers.com/job/houston/branch-ambassador-west-university-branch-houston-west/1732/10877481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"McCracken/Strategy Owner - Loan Servicing Principal Associate - Bethesda, MD",capitalOne,https://www.capitalonecareers.com/job/bethesda/mccracken-strategy-owner-loan-servicing-principal-associate-bethesda-md/1732/10877482,0,0,5,1,1,1,0,0,0,1,0,3,0,1,1,3,0,12,3,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,2,0,0,0,1,0,6,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,18,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,3
10,"Commercial Card, Fraud Operations Leader - Richmond or McLean, VA",capitalOne,https://www.capitalonecareers.com/job/richmond/commercial-card-fraud-operations-leader-richmond-or-mclean-va/1732/10877484,0,0,5,4,9,1,0,0,0,1,0,0,0,1,1,28,1,2,6,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,5,0,0,0,0,8,0,0,1,2,0,4,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,15,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,17
11,Business Analysis Manager - Card,capitalOne,https://www.capitalonecareers.com/job/mclean/business-analysis-manager-card/1732/10877507,0,0,3,0,3,2,0,0,0,4,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,0,0,3,4,1,0,1,1,0,0,4,0,0,3,0,0,0,0,0,3,0,3,0,2,0,0,1,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,19,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,2,7
12,Sr. Business Analyst - Pricing & Economics,capitalOne,https://www.capitalonecareers.com/job/wilmington/sr-business-analyst-pricing-and-economics/1732/10877510,0,0,3,0,3,1,0,0,0,7,0,0,0,0,0,1,0,0,0,3,6,0,0,0,1,0,0,0,0,0,3,5,0,0,0,1,0,1,9,0,0,1,0,0,2,0,0,3,0,5,0,2,0,0,1,0,0,0,0,0,1,11,0,0,0,3,4,0,0,0,0,0,2,0,17,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3
13,"Sr. Manager, Learning and Development Walmart Partnership",capitalOne,https://www.capitalonecareers.com/job/richmond/sr-manager-learning-and-development-walmart-partnership/1732/10877511,0,0,3,1,0,2,2,0,2,2,0,0,1,0,2,2,0,2,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,4,0,0,2,0,0,4,0,0,1,0,4,0,2,0,0,1,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,3,1,0,4,0,0,0,4,11
14,Senior Business Analyst - Card,capitalOne,https://www.capitalonecareers.com/job/mclean/senior-business-analyst-card/1732/10877485,0,0,3,0,3,1,0,0,0,4,0,0,0,0,1,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,3,5,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,3,0,3,0,2,0,0,1,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
15,"Manager, Digital Product Management",capitalOne,https://www.capitalonecareers.com/job/richmond/manager-digital-product-management/1732/10877486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
